ܢܦܠ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܢܦܰܠ,ܐܶܬܢܦܶܠ,ܢܰܦܶܠ,ܐܶܬܢܰܦܰܠ,ܐܰܦܶܠ,ܐܶܬܬܰܦܰܠ
perfect,3FS,ܢܶܦܠܰܬ,ܐܶܬܢܰܦܠܰܬ,ܢܰܦܠܰܬ,ܐܶܬܢܰܦܠܰܬ,ܐܰܦܠܰܬ,ܐܶܬܬܰܦܠܰܬ
perfect,2MS,ܢܦܰܠܬ,ܐܶܬܢܦܶܠܬ,ܢܰܦܶܠܬ,ܐܶܬܢܰܦܰܠܬ,ܐܰܦܶܠܬ,ܐܶܬܬܰܦܰܠܬ
perfect,2FS,ܢܦܰܠܬܝ,ܐܶܬܢܦܶܠܬܝ,ܢܰܦܶܠܬܝ,ܐܶܬܢܰܦܰܠܬܝ,ܐܰܦܶܠܬܝ,ܐܶܬܰܦܰܠܬܝ
perfect,1CS,ܢܶܦܠܶܬ,ܐܶܬܢܰܦܠܶܬ,ܢܰܦܠܶܬ,ܐܶܬܢܰܦܠܶܬ,ܐܰܦܠܶܬ,ܐܶܬܰܦܠܶܬ
perfect,3MP,ܢܦܰܠܘ,ܐܶܬܢܦܶܠܘ,ܢܰܦܶܠܘ,ܐܶܬܢܰܦܰܠܘ,ܐܰܦܶܠܘ,ܐܶܬܬܰܦܰܠܘ
perfect,3FP,ܢܦܰܠ̈ܝ,ܐܶܬܢܦܶܠ̈ܝ,ܢܰܦܶܠ̈ܝ,ܐܶܬܢܰܦܰܠ̈ܝ,ܐܰܦܶܠ̈ܝ,ܐܶܬܬܰܦܰܠ̈ܝ
perfect,2MP,ܢܦܰܠܬܽܘܢ,ܐܶܬܢܦܶܠܬܽܘܢ,ܢܰܦܶܠܬܽܘܢ,ܐܶܬܢܰܦܰܠܬܽܘܢ,ܐܰܦܶܠܬܽܘܢ,ܐܶܬܬܰܦܰܠܬܽܘܢ
perfect,2FP,ܢܦܰܠܬ̈ܶܝܢ,ܐܶܬܢܦܶܠ̈ܬܶܝܢ,ܢܰܦܶܠܬ̈ܶܝܢ,ܐܶܬܢܰܦܰܠ̈ܬܶܝܢ,ܐܰܦܶܠܬ̈ܶܝܢ,ܐܶܬܬܰܦܰܠ̈ܬܶܝܢ
perfect,1CP,ܢܦܰܠܢ,ܐܶܬܢܦܶܠܢ,ܢܰܦܶܠܢ,ܐܶܬܢܰܦܰܠܢ,ܐܰܦܶܠܢ,ܐܶܬܬܰܦܰܠܢ
imperfect,3MS,ܢܶܦܽܘܠ,ܢܶܬܢܦܶܠ,ܢܢܰܦܶܠ,ܢܶܬܢܰܦܰܠ,ܢܰܦܶܠ,ܢܶܬܬܰܦܰܠ
imperfect,3FS,ܬܶܦܽܘܠ,ܬܶܬܢܦܶܠ,ܬܢܰܦܶܠ,ܬܶܬܢܰܦܰܠ,ܬܰܦܶܠ,ܬܶܬܬܰܦܰܠܝ
imperfect,2MS,ܬܶܦܽܘܠ,ܬܶܬܢܦܶܠ,ܬܢܰܦܶܠ,ܬܶܬܢܰܦܰܠ,ܬܰܦܶܠ,ܬܶܬܬܰܦܰܠ
imperfect,2FS,ܬܶܦܠܺܝܢ,ܬܶܬܢܰܦܠܺܝܢ,ܬܢܰܦܠܺܝܢ,ܬܶܬܢܰܦܠܺܝܢ,ܬܰܦܠܺܝܢ,ܬܶܬܬܰܦܠܺܝܢ
imperfect,1CS,ܐܶܦܽܘܠ,ܐܶܬܢܦܶܠ,ܐܶܢܰܦܶܠ,ܐܶܬܢܰܦܰܠ,ܐܰܦܶܠ,ܐܶܬܬܰܦܰܠ
imperfect,3MP,ܢܶܦܠܽܘܢ,ܢܶܬܢܰܦܠܽܘܢ,ܢܢܰܦܠܽܘܢ,ܢܶܬܢܰܦܠܽܘܢ,ܢܰܦܠܽܘܢ,ܢܶܬܬܰܦܠܽܘܢ
imperfect,3FP,ܢܶ̈ܦܠܳܢ,ܢܶܬܢܰܦܠ̈ܳܢ,ܢܢܰܦܠ̈ܳܢ,ܢܶܬܢܰܦܠ̈ܳܢ,ܢܰܦܠ̈ܳܢ,ܢܶܬܬܰܦܠ̈ܳܢ
imperfect,2MP,ܬܶܦܠܽܘܢ,ܬܶܬܢܰܦܠܽܘܢ,ܬܢܰܦܠܽܘܢ,ܬܶܬܢܰܦܠܽܘܢ,ܬܰܦܠܽܘܢ,ܬܶܬܬܰܦܠܽܘܢ
imperfect,2FP,ܬܶ̈ܦܠܳܢ,ܬܶܬܢܰܦܠ̈ܳܢ,ܬܢܰܦܠ̈ܳܢ,ܬܶܬܢܰܦܠ̈ܳܢ,ܬܰܦܠ̈ܳܢ,ܬܶܬܬܰܦܠ̈ܳܢ
