ܢܦܩ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܢܦܰܩ,ܐܶܬܢܦܶܩ,ܢܰܦܶܩ,ܐܶܬܢܰܦܰܩ,ܐܰܦܶܩ,ܐܶܬܬܰܦܰܩ
perfect,3FS,ܢܶܦܩܰܬ,ܐܶܬܢܰܦܩܰܬ,ܢܰܦܩܰܬ,ܐܶܬܢܰܦܩܰܬ,ܐܰܦܩܰܬ,ܐܶܬܬܰܦܩܰܬ
perfect,2MS,ܢܦܰܩܬ,ܐܶܬܢܦܶܩܬ,ܢܰܦܶܩܬ,ܐܶܬܢܰܦܰܩܬ,ܐܰܦܶܩܬ,ܐܶܬܬܰܦܰܩܬ
perfect,2FS,ܢܦܰܩܬܝ,ܐܶܬܢܦܶܩܬܝ,ܢܰܦܶܩܬܝ,ܐܶܬܢܰܦܰܩܬܝ,ܐܰܦܶܩܬܝ,ܐܶܬܰܦܰܩܬܝ
perfect,1CS,ܢܶܦܩܶܬ,ܐܶܬܢܰܦܩܶܬ,ܢܰܦܩܶܬ,ܐܶܬܢܰܦܩܶܬ,ܐܰܦܩܶܬ,ܐܶܬܰܦܩܶܬ
perfect,3MP,ܢܦܰܩܘ,ܐܶܬܢܦܶܩܘ,ܢܰܦܶܩܘ,ܐܶܬܢܰܦܰܩܘ,ܐܰܦܶܩܘ,ܐܶܬܬܰܦܰܩܘ
perfect,3FP,ܢܦܰܩ̈ܝ,ܐܶܬܢܦܶܩ̈ܝ,ܢܰܦܶܩ̈ܝ,ܐܶܬܢܰܦܰܩ̈ܝ,ܐܰܦܶܩ̈ܝ,ܐܶܬܬܰܦܰܩ̈ܝ
perfect,2MP,ܢܦܰܩܬܽܘܢ,ܐܶܬܢܦܶܩܬܽܘܢ,ܢܰܦܶܩܬܽܘܢ,ܐܶܬܢܰܦܰܩܬܽܘܢ,ܐܰܦܶܩܬܽܘܢ,ܐܶܬܬܰܦܰܩܬܽܘܢ
perfect,2FP,ܢܦܰܩܬ̈ܶܝܢ,ܐܶܬܢܦܶܩ̈ܬܶܝܢ,ܢܰܦܶܩܬ̈ܶܝܢ,ܐܶܬܢܰܦܰܩ̈ܬܶܝܢ,ܐܰܦܶܩܬ̈ܶܝܢ,ܐܶܬܬܰܦܰܩ̈ܬܶܝܢ
