ܢܩܦ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܢܩܰܦ,ܐܶܬܢܩܶܦ,ܢܰܩܶܦ,ܐܶܬܢܰܩܰܦ,ܐܰܩܶܦ,ܐܶܬܬܰܩܰܦ
perfect,3FS,ܢܶܩܦܰܬ,ܐܶܬܢܰܩܦܰܬ,ܢܰܩܦܰܬ,ܐܶܬܢܰܩܦܰܬ,ܐܰܩܦܰܬ,ܐܶܬܬܰܩܦܰܬ
perfect,2MS,ܢܩܰܦܬ,ܐܶܬܢܩܶܦܬ,ܢܰܩܶܦܬ,ܐܶܬܢܰܩܰܦܬ,ܐܰܩܶܦܬ,ܐܶܬܬܰܩܰܦܬ
perfect,2FS,ܢܩܰܦܬܝ,ܐܶܬܢܩܶܦܬܝ,ܢܰܩܶܦܬܝ,ܐܶܬܢܰܩܰܦܬܝ,ܐܰܩܶܦܬܝ,ܐܶܬܰܩܰܦܬܝ
perfect,1S,ܢܶܩܦܶܬ,ܐܶܬܢܰܩܦܶܬ,ܢܰܩܦܶܬ,ܐܶܬܢܰܩܦܶܬ,ܐܰܩܦܶܬ,ܐܶܬܰܩܦܶܬ
perfect,3MP,ܢܩܰܦܘ,ܐܶܬܢܩܶܦܘ,ܢܰܩܶܦܘ,ܐܶܬܢܰܩܰܦܘ,ܐܰܩܶܦܘ,ܐܶܬܬܰܩܰܦܘ
perfect,3FP,ܢܩܰܦ̈ܝ,ܐܶܬܢܩܶܦ̈ܝ,ܢܰܩܶܦ̈ܝ,ܐܶܬܢܰܩܰܦ̈ܝ,ܐܰܩܶܦ̈ܝ,ܐܶܬܬܰܩܰܦ̈ܝ
perfect,2MP,ܢܩܰܦܬܽܘܢ,ܐܶܬܢܩܶܦܬܽܘܢ,ܢܰܩܶܦܬܽܘܢ,ܐܶܬܢܰܩܰܦܬܽܘܢ,ܐܰܩܶܦܬܽܘܢ,ܐܶܬܬܰܩܰܦܬܽܘܢ
perfect,2FP,ܢܩܰܦܬ̈ܶܝܢ,ܐܶܬܢܩܶܦ̈ܬܶܝܢ,ܢܰܩܶܦܬ̈ܶܝܢ,ܐܶܬܢܰܩܰܦ̈ܬܶܝܢ,ܐܰܩܶܦܬ̈ܶܝܢ,ܐܶܬܬܰܩܰܦ̈ܬܶܝܢ
perfect,1P,ܢܩܰܦܢ,ܐܶܬܢܩܶܦܢ,ܢܰܩܶܦܢ,ܐܶܬܢܰܩܰܦܢ,ܐܰܩܶܦܢ,ܐܶܬܬܰܩܰܦܢ
imperfect,3MS,ܢܶܩܽܘܦ,ܢܶܬܢܩܶܦ,ܢܢܰܩܶܦ,ܢܶܬܢܰܩܰܦ,ܢܰܩܶܦ,ܢܶܬܬܰܩܰܦ
imperfect,3FS,ܬܶܩܽܘܦ,ܬܶܬܢܩܶܦ,ܬܢܰܩܶܦ,ܬܶܬܢܰܩܰܦ,ܬܰܩܶܦ,ܬܶܬܬܰܩܰܦܝ
imperfect,2MS,ܬܶܩܽܘܦ,ܬܶܬܢܩܶܦ,ܬܢܰܩܶܦ,ܬܶܬܢܰܩܰܦ,ܬܰܩܶܦ,ܬܶܬܬܰܩܰܦ
imperfect,2FS,ܬܶܩܦܺܝܢ,ܬܶܬܢܰܩܦܺܝܢ,ܬܢܰܩܦܺܝܢ,ܬܶܬܢܰܩܦܺܝܢ,ܬܰܩܦܺܝܢ,ܬܶܬܬܰܩܦܺܝܢ
imperfect,1S,ܐܶܩܽܘܦ,ܐܶܬܢܩܶܦ,ܐܶܢܰܩܶܦ,ܐܶܬܢܰܩܰܦ,ܐܰܩܶܦ,ܐܶܬܬܰܩܰܦ
imperfect,3MP,ܢܶܩܦܽܘܢ,ܢܶܬܢܰܩܦܽܘܢ,ܢܢܰܩܦܽܘܢ,ܢܶܬܢܰܩܦܽܘܢ,ܢܰܩܦܽܘܢ,ܢܶܬܬܰܩܦܽܘܢ
imperfect,3FP,ܢܶ̈ܩܦܳܢ,ܢܶܬܢܰܩܦ̈ܳܢ,ܢܢܰܩܦ̈ܳܢ,ܢܶܬܢܰܩܦ̈ܳܢ,ܢܰܩܦ̈ܳܢ,ܢܶܬܬܰܩܦ̈ܳܢ
imperfect,2MP,ܬܶܩܦܽܘܢ,ܬܶܬܢܰܩܦܽܘܢ,ܬܢܰܩܦܽܘܢ,ܬܶܬܢܰܩܦܽܘܢ,ܬܰܩܦܽܘܢ,ܬܶܬܬܰܩܦܽܘܢ
imperfect,2FP,ܬܶ̈ܩܦܳܢ,ܬܶܬܢܰܩܦ̈ܳܢ,ܬܢܰܩܦ̈ܳܢ,ܬܶܬܢܰܩܦ̈ܳܢ,ܬܰܩܦ̈ܳܢ,ܬܶܬܬܰܩܦ̈ܳܢ
imperfect,1P,ܢܶܩܽܘܦ,ܢܶܬܢܩܶܦ,ܢܢܰܩܶܦ,ܢܶܬܢܰܩܰܦ,ܢܰܩܶܦ,ܢܶܬܬܰܩܰܦ
imperative,MS,ܩܽܘܦ,ܐܶܬܢܰܩܦ,ܢܰܩܶܦ,ܐܶܬܢܰܩܰܦ,ܐܰܩܶܦ,ܐܶܬܬܰܩܰܦ
imperative,FS,ܩܽܘܦܝ,ܐܶܬܢܰܩܦܝ,ܢܰܩܶܦܝ,ܐܶܬܢܰܩܰܦܝ,ܐܰܩܶܦܝ,ܐܶܬܬܰܩܰܦܝ
imperative,MP,ܩܽܘܦܘ,ܐܶܬܢܰܩܦܘ,ܢܰܩܶܦܘ,ܐܶܬܢܰܩܰܦܘ,ܐܰܩܶܦܘ,ܐܶܬܬܰܩܰܦܘ
imperative,FP,ܩܽܘܦ̈ܝ,ܐܶܬܢܰܩܦ̈ܝ,ܢܰܩܶܦ̈ܝ,ܐܶܬܢܰܩܰܦ̈ܝ,ܐܰܩܶܦ̈ܝ,ܐܶܬܬܰܩܰܦ̈ܝ
active-participle,MS,ܢܳܩܶܦ,ܡܶܬܢܩܶܦ,ܡܢܰܩܶܦ,ܡܶܬܢܰܩܰܦ,ܡܰܩܶܦ,ܡܶܬܬܰܩܰܦ
active-participle,FS,ܢܳܩܦܳܐ,ܡܶܬܢܰܩܦܳܐ,ܡܢܰܩܦܳܐ,ܡܶܬܢܰܩܦܳܐ,ܡܰܩܦܳܐ,ܡܶܬܬܰܩܦܳܐ
active-participle,MP,ܢܳܩܦܺܝܢ,ܡܶܬܢܰܩܦܺܝܢ,ܡܢܰܩܦܺܝܢ,ܡܶܬܢܰܩܦܺܝܢ,ܡܰܩܦܺܝܢ,ܡܶܬܬܰܩܦܺܝܢ
active-participle,FP,ܢܳܩ̈ܦܳܢ,ܡܶܬܢܰܩܦ̈ܳܢ,ܡܢܰܩܦ̈ܳܢ,ܡܶܬܢܰܩܦ̈ܳܢ,ܡܰܩܦ̈ܳܢ,ܡܶܬܬܰܩܦ̈ܳܢ
passive-participle,MS,ܢܩܺܝܦ,,ܡܢܰܩܰܦ,,ܡܰܩܰܦ,
passive-participle,FS,ܢܩܺܝܦܳܐ,,ܡܢܰܩܦܳܐ,,ܡܰܩܦܳܐ,
passive-participle,MP,ܢܩܺܝܦܺܝܢ,,ܡܢܰܩܦܺܝܢ,,ܡܰܩܦܺܝܢ,
passive-participle,FP,ܢܩܺܝܦ̈ܳ,,ܡܢܰܩ̈ܦܳܢ,,ܡܰܩ̈ܦܳܢ,
infinitive,,ܡܶܩܰܦ,ܡܶܬܢܩܳܦܽܘ,ܡܢܰܩܳܦܽܘ,ܡܶܬܢܰܩܳܦܽܘ,ܡܰܩܳܦܽܘ,ܡܶܬܬܰܩܳܦܽܘ
