ܢܩܫ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܢܩܰܫ,ܐܶܬܢܩܶܫ,ܢܰܩܶܫ,ܐܶܬܢܰܩܰܫ,ܐܰܩܶܫ,ܐܶܬܬܰܩܰܫ
perfect,3FS,ܢܶܩܫܰܬ,ܐܶܬܢܰܩܫܰܬ,ܢܰܩܫܰܬ,ܐܶܬܢܰܩܫܰܬ,ܐܰܩܫܰܬ,ܐܶܬܬܰܩܫܰܬ
perfect,2MS,ܢܩܰܫܬ,ܐܶܬܢܩܶܫܬ,ܢܰܩܶܫܬ,ܐܶܬܢܰܩܰܫܬ,ܐܰܩܶܫܬ,ܐܶܬܬܰܩܰܫܬ
perfect,2FS,ܢܩܰܫܬܝ,ܐܶܬܢܩܶܫܬܝ,ܢܰܩܶܫܬܝ,ܐܶܬܢܰܩܰܫܬܝ,ܐܰܩܶܫܬܝ,ܐܶܬܰܩܰܫܬܝ
perfect,1CS,ܢܶܩܫܶܬ,ܐܶܬܢܰܩܫܶܬ,ܢܰܩܫܶܬ,ܐܶܬܢܰܩܫܶܬ,ܐܰܩܫܶܬ,ܐܶܬܰܩܫܶܬ
perfect,3MP,ܢܩܰܫܘ,ܐܶܬܢܩܶܫܘ,ܢܰܩܶܫܘ,ܐܶܬܢܰܩܰܫܘ,ܐܰܩܶܫܘ,ܐܶܬܬܰܩܰܫܘ
perfect,3FP,ܢܩܰܫ̈ܝ,ܐܶܬܢܩܶܫ̈ܝ,ܢܰܩܶܫ̈ܝ,ܐܶܬܢܰܩܰܫ̈ܝ,ܐܰܩܶܫ̈ܝ,ܐܶܬܬܰܩܰܫ̈ܝ
perfect,2MP,ܢܩܰܫܬܽܘܢ,ܐܶܬܢܩܶܫܬܽܘܢ,ܢܰܩܶܫܬܽܘܢ,ܐܶܬܢܰܩܰܫܬܽܘܢ,ܐܰܩܶܫܬܽܘܢ,ܐܶܬܬܰܩܰܫܬܽܘܢ
perfect,2FP,ܢܩܰܫܬ̈ܶܝܢ,ܐܶܬܢܩܶܫ̈ܬܶܝܢ,ܢܰܩܶܫܬ̈ܶܝܢ,ܐܶܬܢܰܩܰܫ̈ܬܶܝܢ,ܐܰܩܶܫܬ̈ܶܝܢ,ܐܶܬܬܰܩܰܫ̈ܬܶܝܢ
perfect,1CP,ܢܩܰܫܢ,ܐܶܬܢܩܶܫܢ,ܢܰܩܶܫܢ,ܐܶܬܢܰܩܰܫܢ,ܐܰܩܶܫܢ,ܐܶܬܬܰܩܰܫܢ
