ܝܒܠ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܝܺܒܰܠ,ܐܶܬܺܝܒܶܠ,ܝܰܒܶܠ,ܐܶܬܝܰܒܰܠ,ܐܰܘܒܶܠ,ܐܶܬܬܰܘܒܰܠ
perfect,3FS,ܝܶܒܠܰܬ,ܐܶܬܝܰܒܠܰܬ,ܝܰܒܠܰܬ,ܐܶܬܝܰܒܠܰܬ,ܐܰܘܒܠܰܬ,ܐܶܬܬܰܘܒܠܰܬ
perfect,2MS,ܝܺܒܰܠܬ,ܐܶܬܺܝܒܶܠܬ,ܝܰܒܶܠܬ,ܐܶܬܝܰܒܰܠܬ,ܐܰܘܒܶܠܬ,ܐܶܬܬܰܘܒܰܠܬ
perfect,2FS,ܝܺܒܰܠܬܝ,ܐܶܬܺܝܒܶܠܬܝ,ܝܰܒܶܠܬܝ,ܐܶܬܝܰܒܰܠܬܝ,ܐܰܘܒܶܠܬܝ,ܐܶܬܰܝܘܰܠܬܝ
perfect,1CS,ܝܶܒܠܶܬ,ܐܶܬܝܰܒܠܶܬ,ܝܰܒܠܶܬ,ܐܶܬܝܰܒܠܶܬ,ܐܰܘܒܠܶܬ,ܐܶܬܰܝܘܠܶܬ
perfect,3MP,ܝܺܒܰܠܘ,ܐܶܬܺܝܒܶܠܘ,ܝܰܒܶܠܘ,ܐܶܬܝܰܒܰܠܘ,ܐܰܘܒܶܠܘ,ܐܶܬܬܰܘܒܰܠܘ
perfect,3FP,ܝܺܒܰܠ̈ܝ,ܐܶܬܺܝܒܶܠ̈ܝ,ܝܰܒܶܠ̈ܝ,ܐܶܬܝܰܒܰܠ̈ܝ,ܐܰܘܒܶܠ̈ܝ,ܐܶܬܬܰܘܒܰܠ̈ܝ
perfect,2MP,ܝܺܒܰܠܬܽܘܢ,ܐܶܬܺܝܒܶܠܬܽܘܢ,ܝܰܒܶܠܬܽܘܢ,ܐܶܬܝܰܒܰܠܬܽܘܢ,ܐܰܘܒܶܠܬܽܘܢ,ܐܶܬܬܰܘܒܰܠܬܽܘܢ
perfect,2FP,ܝܺܒܰܠܬ̈ܶܝܢ,ܐܶܬܺܝܒܶܠ̈ܬܶܝܢ,ܝܰܒܶܠܬ̈ܶܝܢ,ܐܶܬܝܰܒܰܠ̈ܬܶܝܢ,ܐܰܘܒܶܠܬ̈ܶܝܢ,ܐܶܬܬܰܘܒܰܠ̈ܬܶܝܢ
