ܝܕܥ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܝܺܕܰܥ,ܐܶܬܺܝܕܶܥ,ܝܰܕܶܥ,ܐܶܬܝܰܕܰܥ,ܐܰܘܕܶܥ,ܐܶܬܬܰܘܕܰܥ
perfect,3FS,ܝܶܕܥܰܬ,ܐܶܬܝܰܕܥܰܬ,ܝܰܕܥܰܬ,ܐܶܬܝܰܕܥܰܬ,ܐܰܘܕܥܰܬ,ܐܶܬܬܰܘܕܥܰܬ
perfect,2MS,ܝܺܕܰܥܬ,ܐܶܬܺܝܕܶܥܬ,ܝܰܕܶܥܬ,ܐܶܬܝܰܕܰܥܬ,ܐܰܘܕܶܥܬ,ܐܶܬܬܰܘܕܰܥܬ
perfect,2FS,ܝܺܕܰܥܬܝ,ܐܶܬܺܝܕܶܥܬܝ,ܝܰܕܶܥܬܝ,ܐܶܬܝܰܕܰܥܬܝ,ܐܰܘܕܶܥܬܝ,ܐܶܬܰܝܘܰܥܬܝ
perfect,1S,ܝܶܕܥܶܬ,ܐܶܬܝܰܕܥܶܬ,ܝܰܕܥܶܬ,ܐܶܬܝܰܕܥܶܬ,ܐܰܘܕܥܶܬ,ܐܶܬܰܝܘܥܶܬ
perfect,3MP,ܝܺܕܰܥܘ,ܐܶܬܺܝܕܶܥܘ,ܝܰܕܶܥܘ,ܐܶܬܝܰܕܰܥܘ,ܐܰܘܕܶܥܘ,ܐܶܬܬܰܘܕܰܥܘ
perfect,3FP,ܝܺܕܰܥ̈ܝ,ܐܶܬܺܝܕܶܥ̈ܝ,ܝܰܕܶܥ̈ܝ,ܐܶܬܝܰܕܰܥ̈ܝ,ܐܰܘܕܶܥ̈ܝ,ܐܶܬܬܰܘܕܰܥ̈ܝ
perfect,2MP,ܝܺܕܰܥܬܽܘܢ,ܐܶܬܺܝܕܶܥܬܽܘܢ,ܝܰܕܶܥܬܽܘܢ,ܐܶܬܝܰܕܰܥܬܽܘܢ,ܐܰܘܕܶܥܬܽܘܢ,ܐܶܬܬܰܘܕܰܥܬܽܘܢ
perfect,2FP,ܝܺܕܰܥܬ̈ܶܝܢ,ܐܶܬܺܝܕܶܥ̈ܬܶܝܢ,ܝܰܕܶܥܬ̈ܶܝܢ,ܐܶܬܝܰܕܰܥ̈ܬܶܝܢ,ܐܰܘܕܶܥܬ̈ܶܝܢ,ܐܶܬܬܰܘܕܰܥ̈ܬܶܝܢ
perfect,1P,ܝܺܕܰܥܢ,ܐܶܬܺܝܕܶܥܢ,ܝܰܕܶܥܢ,ܐܶܬܝܰܕܰܥܢ,ܐܰܘܕܶܥܢ,ܐܶܬܬܰܘܕܰܥܢ
imperfect,3MS,ܢܺܐܕܽܘܥ,ܢܶܬܺܝܕܶܥ,ܢܝܰܕܶܥ,ܢܶܬܝܰܕܰܥ,ܢܰܘܕܶܥ,ܢܶܬܬܰܘܕܰܥ
imperfect,3FS,ܬܺܐܕܽܘܥ,ܬܶܬܺܝܕܶܥ,ܬܝܰܕܶܥ,ܬܶܬܝܰܕܰܥ,ܬܰܘܕܶܥ,ܬܶܬܬܰܘܕܰܥܝ
imperfect,2MS,ܬܺܐܕܽܘܥ,ܬܶܬܺܝܕܶܥ,ܬܝܰܕܶܥ,ܬܶܬܝܰܕܰܥ,ܬܰܘܕܶܥ,ܬܶܬܬܰܘܕܰܥ
imperfect,2FS,ܬܺܐܕܥܺܝܢ,ܬܶܬܝܰܕܥܺܝܢ,ܬܝܰܕܥܺܝܢ,ܬܶܬܝܰܕܥܺܝܢ,ܬܰܘܕܥܺܝܢ,ܬܶܬܬܰܘܕܥܺܝܢ
imperfect,1S,ܐܶܝܕܽܘܥ,ܐܶܬܺܝܕܶܥ,ܐܶܝܰܕܶܥ,ܐܶܬܝܰܕܰܥ,ܐܰܘܕܶܥ,ܐܶܬܬܰܘܕܰܥ
imperfect,3MP,ܢܺܐܕܥܽܘܢ,ܢܶܬܺܝܰܕܥܽܘܢ,ܢܝܰܕܥܽܘܢ,ܢܶܬܝܰܕܥܽܘܢ,ܢܰܘܕܥܽܘܢ,ܢܶܬܬܰܘܕܥܽܘܢ
imperfect,3FP,ܢܺܐܕ̈ܥܳܢ,ܢܶܬܺܝܰܕܥ̈ܳܢ,ܢܝܰܕܥ̈ܳܢ,ܢܶܬܝܰܕܥ̈ܳܢ,ܢܰܘܕܥ̈ܳܢ,ܢܶܬܬܰܘܕܥ̈ܳܢ
imperfect,2MP,ܬܺܐܕܥܽܘܢ,ܬܶܬܺܝܰܕܥܽܘܢ,ܬܝܰܕܥܽܘܢ,ܬܶܬܝܰܕܥܽܘܢ,ܬܰܘܕܥܽܘܢ,ܬܶܬܬܰܘܕܥܽܘܢ
imperfect,2FP,ܬܺܐ̈ܕܥܳܢ,ܬܶܬܺܝܰܕܥ̈ܳܢ,ܬܝܰܕܥ̈ܳܢ,ܬܶܬܝܰܕܥ̈ܳܢ,ܬܰܘܕܥ̈ܳܢ,ܬܶܬܬܰܘܕܥ̈ܳܢ
imperfect,1P,ܢܺܐܕܽܘܥ,ܢܶܬܺܝܕܶܥ,ܢܝܰܕܶܥ,ܢܶܬܝܰܕܰܥ,ܢܰܘܕܶܥ,ܢܶܬܬܰܘܕܰܥ
imperative,MS,ܝܺܕܽܘܥ,ܐܶܬܝܰܕܥ,ܝܰܕܶܥ,ܐܶܬܝܰܕܰܥ,ܐܰܘܕܶܥ,ܐܶܬܬܰܘܕܰܥ
imperative,FS,ܝܺܕܽܘܥܝ,ܐܶܬܝܰܕܥܝ,ܝܰܕܶܥܝ,ܐܶܬܝܰܕܰܥܝ,ܐܰܘܕܶܥܝ,ܐܶܬܬܰܘܕܰܥܝ
imperative,MP,ܝܺܕܽܘܥܘ,ܐܶܬܝܰܕܥܘ,ܝܰܕܶܥܘ,ܐܶܬܝܰܕܰܥܘ,ܐܰܘܕܶܥܘ,ܐܶܬܬܰܘܕܰܥܘ
imperative,FP,ܝܺܕܽܘܥ̈ܝ,ܐܶܬܝܰܕܥ̈ܝ,ܝܰܕܶܥ̈ܝ,ܐܶܬܝܰܕܰܥ̈ܝ,ܐܰܘܕܶܥ̈ܝ,ܐܶܬܬܰܘܕܰܥ̈ܝ
active-participle,MS,ܝܳܕܶܥ,ܡܶܬܺܝܕܶܥ,ܡܝܰܕܶܥ,ܡܶܬܝܰܕܰܥ,ܡܰܘܕܶܥ,ܡܶܬܬܰܘܕܰܥ
active-participle,FS,ܝܳܕܥܳܐ,ܡܶܬܝܰܕܥܳܐ,ܡܝܰܕܥܳܐ,ܡܶܬܝܰܕܥܳܐ,ܡܰܘܕܥܳܐ,ܡܶܬܬܰܘܕܥܳܐ
active-participle,MP,ܝܳܕܥܺܝܢ,ܡܶܬܝܰܕܥܺܝܢ,ܡܝܰܕܥܺܝܢ,ܡܶܬܝܰܕܥܺܝܢ,ܡܰܘܕܥܺܝܢ,ܡܶܬܬܰܘܕܥܺܝܢ
active-participle,FP,ܝܳܕ̈ܥܳܢ,ܡܶܬܝܰܕܥ̈ܳܢ,ܡܝܰܕܥ̈ܳܢ,ܡܶܬܝܰܕܥ̈ܳܢ,ܡܰܘܕܥ̈ܳܢ,ܡܶܬܬܰܘܕܥ̈ܳܢ
passive-participle,MS,ܝܺܕܺܝܥ,,ܡܝܰܕܰܥ,,ܡܰܘܕܰܥ,
