ܝܠܕ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܝܺܠܰܕ,ܐܶܬܺܝܠܶܕ,ܝܰܠܶܕ,ܐܶܬܝܰܠܰܕ,ܐܰܘܠܶܕ,ܐܶܬܬܰܘܠܰܕ
perfect,3FS,ܝܶܠܕܰܬ,ܐܶܬܝܰܠܕܰܬ,ܝܰܠܕܰܬ,ܐܶܬܝܰܠܕܰܬ,ܐܰܘܠܕܰܬ,ܐܶܬܬܰܘܠܕܰܬ
perfect,2MS,ܝܺܠܰܕܬ,ܐܶܬܺܝܠܶܕܬ,ܝܰܠܶܕܬ,ܐܶܬܝܰܠܰܕܬ,ܐܰܘܠܶܕܬ,ܐܶܬܬܰܘܠܰܕܬ
perfect,2FS,ܝܺܠܰܕܬܝ,ܐܶܬܺܝܠܶܕܬܝ,ܝܰܠܶܕܬܝ,ܐܶܬܝܰܠܰܕܬܝ,ܐܰܘܠܶܕܬܝ,ܐܶܬܰܝܘܰܕܬܝ
perfect,1CS,ܝܶܠܕܶܬ,ܐܶܬܝܰܠܕܶܬ,ܝܰܠܕܶܬ,ܐܶܬܝܰܠܕܶܬ,ܐܰܘܠܕܶܬ,ܐܶܬܰܝܘܕܶܬ
perfect,3MP,ܝܺܠܰܕܘ,ܐܶܬܺܝܠܶܕܘ,ܝܰܠܶܕܘ,ܐܶܬܝܰܠܰܕܘ,ܐܰܘܠܶܕܘ,ܐܶܬܬܰܘܠܰܕܘ
perfect,3FP,ܝܺܠܰܕ̈ܝ,ܐܶܬܺܝܠܶܕ̈ܝ,ܝܰܠܶܕ̈ܝ,ܐܶܬܝܰܠܰܕ̈ܝ,ܐܰܘܠܶܕ̈ܝ,ܐܶܬܬܰܘܠܰܕ̈ܝ
perfect,2MP,ܝܺܠܰܕܬܽܘܢ,ܐܶܬܺܝܠܶܕܬܽܘܢ,ܝܰܠܶܕܬܽܘܢ,ܐܶܬܝܰܠܰܕܬܽܘܢ,ܐܰܘܠܶܕܬܽܘܢ,ܐܶܬܬܰܘܠܰܕܬܽܘܢ
perfect,2FP,ܝܺܠܰܕܬ̈ܶܝܢ,ܐܶܬܺܝܠܶܕ̈ܬܶܝܢ,ܝܰܠܶܕܬ̈ܶܝܢ,ܐܶܬܝܰܠܰܕ̈ܬܶܝܢ,ܐܰܘܠܶܕܬ̈ܶܝܢ,ܐܶܬܬܰܘܠܰܕ̈ܬܶܝܢ
perfect,1CP,ܝܺܠܰܕܢ,ܐܶܬܺܝܠܶܕܢ,ܝܰܠܶܕܢ,ܐܶܬܝܰܠܰܕܢ,ܐܰܘܠܶܕܢ,ܐܶܬܬܰܘܠܰܕܢ
imperfect,3MS,ܢܺܐܠܽܘܕ,ܢܶܬܺܝܠܶܕ,ܢܝܰܠܶܕ,ܢܶܬܝܰܠܰܕ,ܢܰܘܠܶܕ,ܢܶܬܬܰܘܠܰܕ
imperfect,3FS,ܬܺܐܠܽܘܕ,ܬܶܬܺܝܠܶܕ,ܬܝܰܠܶܕ,ܬܶܬܝܰܠܰܕ,ܬܰܘܠܶܕ,ܬܶܬܬܰܘܠܰܕܝ
imperfect,2MS,ܬܺܐܠܽܘܕ,ܬܶܬܺܝܠܶܕ,ܬܝܰܠܶܕ,ܬܶܬܝܰܠܰܕ,ܬܰܘܠܶܕ,ܬܶܬܬܰܘܠܰܕ
imperfect,2FS,ܬܺܐܠܕܺܝܢ,ܬܶܬܝܰܠܕܺܝܢ,ܬܝܰܠܕܺܝܢ,ܬܶܬܝܰܠܕܺܝܢ,ܬܰܘܠܕܺܝܢ,ܬܶܬܬܰܘܠܕܺܝܢ
imperfect,1CS,ܐܶܝܠܽܘܕ,ܐܶܬܺܝܠܶܕ,ܐܶܝܰܠܶܕ,ܐܶܬܝܰܠܰܕ,ܐܰܘܠܶܕ,ܐܶܬܬܰܘܠܰܕ
imperfect,3MP,ܢܺܐܠܕܽܘܢ,ܢܶܬܺܝܰܠܕܽܘܢ,ܢܝܰܠܕܽܘܢ,ܢܶܬܝܰܠܕܽܘܢ,ܢܰܘܠܕܽܘܢ,ܢܶܬܬܰܘܠܕܽܘܢ
imperfect,3FP,ܢܺܐܠ̈ܕܳܢ,ܢܶܬܺܝܰܠܕ̈ܳܢ,ܢܝܰܠܕ̈ܳܢ,ܢܶܬܝܰܠܕ̈ܳܢ,ܢܰܘܠܕ̈ܳܢ,ܢܶܬܬܰܘܠܕ̈ܳܢ
imperfect,2MP,ܬܺܐܠܕܽܘܢ,ܬܶܬܺܝܰܠܕܽܘܢ,ܬܝܰܠܕܽܘܢ,ܬܶܬܝܰܠܕܽܘܢ,ܬܰܘܠܕܽܘܢ,ܬܶܬܬܰܘܠܕܽܘܢ
imperfect,2FP,ܬܺܐ̈ܠܕܳܢ,ܬܶܬܺܝܰܠܕ̈ܳܢ,ܬܝܰܠܕ̈ܳܢ,ܬܶܬܝܰܠܕ̈ܳܢ,ܬܰܘܠܕ̈ܳܢ,ܬܶܬܬܰܘܠܕ̈ܳܢ
imperfect,1CP,ܢܺܐܠܽܘܕ,ܢܶܬܺܝܠܶܕ,ܢܝܰܠܶܕ,ܢܶܬܝܰܠܰܕ,ܢܰܘܠܶܕ,ܢܶܬܬܰܘܠܰܕ
imperative,MS,ܝܺܠܽܘܕ,ܐܶܬܝܰܠܕ,ܝܰܠܶܕ,ܐܶܬܝܰܠܰܕ,ܐܰܘܠܶܕ,ܐܶܬܬܰܘܠܰܕ
imperative,FS,ܝܺܠܽܘܕܝ,ܐܶܬܝܰܠܕܝ,ܝܰܠܶܕܝ,ܐܶܬܝܰܠܰܕܝ,ܐܰܘܠܶܕܝ,ܐܶܬܬܰܘܠܰܕܝ
imperative,MP,ܝܺܠܽܘܕܘ,ܐܶܬܝܰܠܕܘ,ܝܰܠܶܕܘ,ܐܶܬܝܰܠܰܕܘ,ܐܰܘܠܶܕܘ,ܐܶܬܬܰܘܠܰܕܘ
imperative,FP,ܝܺܠܽܘܕ̈ܝ,ܐܶܬܝܰܠܕ̈ܝ,ܝܰܠܶܕ̈ܝ,ܐܶܬܝܰܠܰܕ̈ܝ,ܐܰܘܠܶܕ̈ܝ,ܐܶܬܬܰܘܠܰܕ̈ܝ
active-participle,MS,ܝܳܠܶܕ,ܡܶܬܺܝܠܶܕ,ܡܝܰܠܶܕ,ܡܶܬܝܰܠܰܕ,ܡܰܘܠܶܕ,ܡܶܬܬܰܘܠܰܕ
active-participle,FS,ܝܳܠܕܳܐ,ܡܶܬܝܰܠܕܳܐ,ܡܝܰܠܕܳܐ,ܡܶܬܝܰܠܕܳܐ,ܡܰܘܠܕܳܐ,ܡܶܬܬܰܘܠܕܳܐ
active-participle,MP,ܝܳܠܕܺܝܢ,ܡܶܬܝܰܠܕܺܝܢ,ܡܝܰܠܕܺܝܢ,ܡܶܬܝܰܠܕܺܝܢ,ܡܰܘܠܕܺܝܢ,ܡܶܬܬܰܘܠܕܺܝܢ
active-participle,FP,ܝܳܠ̈ܕܳܢ,ܡܶܬܝܰܠܕ̈ܳܢ,ܡܝܰܠܕ̈ܳܢ,ܡܶܬܝܰܠܕ̈ܳܢ,ܡܰܘܠܕ̈ܳܢ,ܡܶܬܬܰܘܠܕ̈ܳܢ
passive-participle,MS,ܝܺܠܺܝܕ,,ܡܝܰܠܰܕ,,ܡܰܘܠܰܕ,
passive-participle,FS,ܝܺܠܺܝܕܳܐ,,ܡܝܰܠܕܳܐ,,ܡܰܘܠܕܳܐ,
passive-participle,MP,ܝܺܠܺܝܕܺܝܢ,,ܡܝܰܠܕܺܝܢ,,ܡܰܘܠܕܺܝܢ,
passive-participle,FP,ܝܺܠܺܝܕ̈ܳ,,ܡܝܰܠ̈ܕܳܢ,,ܡܰܘܠ̈ܕܳܢ,
infinitive,,ܡܺܐܠܰܕ,ܡܶܬܺܝܠܳܕܽܘ,ܡܝܰܠܳܕܽܘ,ܡܶܬܝܰܠܳܕܽܘ,ܡܰܘܠܳܕܽܘ,ܡܶܬܬܰܘܠܳܕܽܘ
