ܝܠܦ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܝܺܠܶܦ,ܐܶܬܺܝܠܶܦ,ܝܰܠܶܦ,ܐܶܬܝܰܠܰܦ,ܐܰܘܠܶܦ,ܐܶܬܬܰܘܠܰܦ
perfect,3FS,ܝܶܠܦܰܬ,ܐܶܬܝܰܠܦܰܬ,ܝܰܠܦܰܬ,ܐܶܬܝܰܠܦܰܬ,ܐܰܘܠܦܰܬ,ܐܶܬܬܰܘܠܦܰܬ
perfect,2MS,ܝܺܠܶܦܬ,ܐܶܬܺܝܠܶܦܬ,ܝܰܠܶܦܬ,ܐܶܬܝܰܠܰܦܬ,ܐܰܘܠܶܦܬ,ܐܶܬܬܰܘܠܰܦܬ
perfect,2FS,ܝܺܠܶܦܬܝ,ܐܶܬܺܝܠܶܦܬܝ,ܝܰܠܶܦܬܝ,ܐܶܬܝܰܠܰܦܬܝ,ܐܰܘܠܶܦܬܝ,ܐܶܬܰܝܘܰܦܬܝ
perfect,1S,ܝܶܠܦܶܬ,ܐܶܬܝܰܠܦܶܬ,ܝܰܠܦܶܬ,ܐܶܬܝܰܠܦܶܬ,ܐܰܘܠܦܶܬ,ܐܶܬܰܝܘܦܶܬ
perfect,3MP,ܝܺܠܶܦܘ,ܐܶܬܺܝܠܶܦܘ,ܝܰܠܶܦܘ,ܐܶܬܝܰܠܰܦܘ,ܐܰܘܠܶܦܘ,ܐܶܬܬܰܘܠܰܦܘ
perfect,3FP,ܝܺܠܶܦ̈ܝ,ܐܶܬܺܝܠܶܦ̈ܝ,ܝܰܠܶܦ̈ܝ,ܐܶܬܝܰܠܰܦ̈ܝ,ܐܰܘܠܶܦ̈ܝ,ܐܶܬܬܰܘܠܰܦ̈ܝ
perfect,2MP,ܝܺܠܶܦܬܽܘܢ,ܐܶܬܺܝܠܶܦܬܽܘܢ,ܝܰܠܶܦܬܽܘܢ,ܐܶܬܝܰܠܰܦܬܽܘܢ,ܐܰܘܠܶܦܬܽܘܢ,ܐܶܬܬܰܘܠܰܦܬܽܘܢ
perfect,2FP,ܝܺܠܶܦܬ̈ܶܝܢ,ܐܶܬܺܝܠܶܦ̈ܬܶܝܢ,ܝܰܠܶܦܬ̈ܶܝܢ,ܐܶܬܝܰܠܰܦ̈ܬܶܝܢ,ܐܰܘܠܶܦܬ̈ܶܝܢ,ܐܶܬܬܰܘܠܰܦ̈ܬܶܝܢ
perfect,1P,ܝܺܠܶܦܢ,ܐܶܬܺܝܠܶܦܢ,ܝܰܠܶܦܢ,ܐܶܬܝܰܠܰܦܢ,ܐܰܘܠܶܦܢ,ܐܶܬܬܰܘܠܰܦܢ
imperfect,3MS,ܢܺܐܠܰܦ,ܢܶܬܺܝܠܶܦ,ܢܝܰܠܶܦ,ܢܶܬܝܰܠܰܦ,ܢܰܘܠܶܦ,ܢܶܬܬܰܘܠܰܦ
imperfect,3FS,ܬܺܐܠܰܦ,ܬܶܬܺܝܠܶܦ,ܬܝܰܠܶܦ,ܬܶܬܝܰܠܰܦ,ܬܰܘܠܶܦ,ܬܶܬܬܰܘܠܰܦܝ
imperfect,2MS,ܬܺܐܠܰܦ,ܬܶܬܺܝܠܶܦ,ܬܝܰܠܶܦ,ܬܶܬܝܰܠܰܦ,ܬܰܘܠܶܦ,ܬܶܬܬܰܘܠܰܦ
imperfect,2FS,ܬܺܐܠܦܺܝܢ,ܬܶܬܝܰܠܦܺܝܢ,ܬܝܰܠܦܺܝܢ,ܬܶܬܝܰܠܦܺܝܢ,ܬܰܘܠܦܺܝܢ,ܬܶܬܬܰܘܠܦܺܝܢ
imperfect,1S,ܐܺܐܠܰܦ,ܐܶܬܺܝܠܶܦ,ܐܶܝܰܠܶܦ,ܐܶܬܝܰܠܰܦ,ܐܰܘܠܶܦ,ܐܶܬܬܰܘܠܰܦ
imperfect,3MP,ܢܺܐܠܦܽܘܢ,ܢܶܬܺܝܰܠܦܽܘܢ,ܢܝܰܠܦܽܘܢ,ܢܶܬܝܰܠܦܽܘܢ,ܢܰܘܠܦܽܘܢ,ܢܶܬܬܰܘܠܦܽܘܢ
imperfect,3FP,ܢܺܐܠ̈ܦܳܢ,ܢܶܬܺܝܰܠܦ̈ܳܢ,ܢܝܰܠܦ̈ܳܢ,ܢܶܬܝܰܠܦ̈ܳܢ,ܢܰܘܠܦ̈ܳܢ,ܢܶܬܬܰܘܠܦ̈ܳܢ
