ܝܣܦ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܝܺܣܰܦ,ܐܶܬܺܝܣܶܦ,ܝܰܣܶܦ,ܐܶܬܝܰܣܰܦ,ܐܰܘܣܶܦ,ܐܶܬܬܰܘܣܰܦ
perfect,3FS,ܝܶܣܦܰܬ,ܐܶܬܝܰܣܦܰܬ,ܝܰܣܦܰܬ,ܐܶܬܝܰܣܦܰܬ,ܐܰܘܣܦܰܬ,ܐܶܬܬܰܘܣܦܰܬ
perfect,2MS,ܝܺܣܰܦܬ,ܐܶܬܺܝܣܶܦܬ,ܝܰܣܶܦܬ,ܐܶܬܝܰܣܰܦܬ,ܐܰܘܣܶܦܬ,ܐܶܬܬܰܘܣܰܦܬ
perfect,2FS,ܝܺܣܰܦܬܝ,ܐܶܬܺܝܣܶܦܬܝ,ܝܰܣܶܦܬܝ,ܐܶܬܝܰܣܰܦܬܝ,ܐܰܘܣܶܦܬܝ,ܐܶܬܰܝܘܰܦܬܝ
perfect,1S,ܝܶܣܦܶܬ,ܐܶܬܝܰܣܦܶܬ,ܝܰܣܦܶܬ,ܐܶܬܝܰܣܦܶܬ,ܐܰܘܣܦܶܬ,ܐܶܬܰܝܘܦܶܬ
perfect,3MP,ܝܺܣܰܦܘ,ܐܶܬܺܝܣܶܦܘ,ܝܰܣܶܦܘ,ܐܶܬܝܰܣܰܦܘ,ܐܰܘܣܶܦܘ,ܐܶܬܬܰܘܣܰܦܘ
perfect,3FP,ܝܺܣܰܦ̈ܝ,ܐܶܬܺܝܣܶܦ̈ܝ,ܝܰܣܶܦ̈ܝ,ܐܶܬܝܰܣܰܦ̈ܝ,ܐܰܘܣܶܦ̈ܝ,ܐܶܬܬܰܘܣܰܦ̈ܝ
perfect,2MP,ܝܺܣܰܦܬܽܘܢ,ܐܶܬܺܝܣܶܦܬܽܘܢ,ܝܰܣܶܦܬܽܘܢ,ܐܶܬܝܰܣܰܦܬܽܘܢ,ܐܰܘܣܶܦܬܽܘܢ,ܐܶܬܬܰܘܣܰܦܬܽܘܢ
perfect,2FP,ܝܺܣܰܦܬ̈ܶܝܢ,ܐܶܬܺܝܣܶܦ̈ܬܶܝܢ,ܝܰܣܶܦܬ̈ܶܝܢ,ܐܶܬܝܰܣܰܦ̈ܬܶܝܢ,ܐܰܘܣܶܦܬ̈ܶܝܢ,ܐܶܬܬܰܘܣܰܦ̈ܬܶܝܢ
perfect,1P,ܝܺܣܰܦܢ,ܐܶܬܺܝܣܶܦܢ,ܝܰܣܶܦܢ,ܐܶܬܝܰܣܰܦܢ,ܐܰܘܣܶܦܢ,ܐܶܬܬܰܘܣܰܦܢ
imperfect,3MS,ܢܺܐܣܽܘܦ,ܢܶܬܺܝܣܶܦ,ܢܝܰܣܶܦ,ܢܶܬܝܰܣܰܦ,ܢܰܘܣܶܦ,ܢܶܬܬܰܘܣܰܦ
imperfect,3FS,ܬܺܐܣܽܘܦ,ܬܶܬܺܝܣܶܦ,ܬܝܰܣܶܦ,ܬܶܬܝܰܣܰܦ,ܬܰܘܣܶܦ,ܬܶܬܬܰܘܣܰܦܝ
imperfect,2MS,ܬܺܐܣܽܘܦ,ܬܶܬܺܝܣܶܦ,ܬܝܰܣܶܦ,ܬܶܬܝܰܣܰܦ,ܬܰܘܣܶܦ,ܬܶܬܬܰܘܣܰܦ
imperfect,2FS,ܬܺܐܣܦܺܝܢ,ܬܶܬܝܰܣܦܺܝܢ,ܬܝܰܣܦܺܝܢ,ܬܶܬܝܰܣܦܺܝܢ,ܬܰܘܣܦܺܝܢ,ܬܶܬܬܰܘܣܦܺܝܢ
imperfect,1S,ܐܶܝܣܽܘܦ,ܐܶܬܺܝܣܶܦ,ܐܶܝܰܣܶܦ,ܐܶܬܝܰܣܰܦ,ܐܰܘܣܶܦ,ܐܶܬܬܰܘܣܰܦ
imperfect,3MP,ܢܺܐܣܦܽܘܢ,ܢܶܬܺܝܰܣܦܽܘܢ,ܢܝܰܣܦܽܘܢ,ܢܶܬܝܰܣܦܽܘܢ,ܢܰܘܣܦܽܘܢ,ܢܶܬܬܰܘܣܦܽܘܢ
imperfect,3FP,ܢܺܐܣ̈ܦܳܢ,ܢܶܬܺܝܰܣܦ̈ܳܢ,ܢܝܰܣܦ̈ܳܢ,ܢܶܬܝܰܣܦ̈ܳܢ,ܢܰܘܣܦ̈ܳܢ,ܢܶܬܬܰܘܣܦ̈ܳܢ
imperfect,2MP,ܬܺܐܣܦܽܘܢ,ܬܶܬܺܝܰܣܦܽܘܢ,ܬܝܰܣܦܽܘܢ,ܬܶܬܝܰܣܦܽܘܢ,ܬܰܘܣܦܽܘܢ,ܬܶܬܬܰܘܣܦܽܘܢ
imperfect,2FP,ܬܺܐ̈ܣܦܳܢ,ܬܶܬܺܝܰܣܦ̈ܳܢ,ܬܝܰܣܦ̈ܳܢ,ܬܶܬܝܰܣܦ̈ܳܢ,ܬܰܘܣܦ̈ܳܢ,ܬܶܬܬܰܘܣܦ̈ܳܢ
imperfect,1P,ܢܺܐܣܽܘܦ,ܢܶܬܺܝܣܶܦ,ܢܝܰܣܶܦ,ܢܶܬܝܰܣܰܦ,ܢܰܘܣܶܦ,ܢܶܬܬܰܘܣܰܦ
imperative,MS,ܝܺܣܽܘܦ,ܐܶܬܝܰܣܦ,ܝܰܣܶܦ,ܐܶܬܝܰܣܰܦ,ܐܰܘܣܶܦ,ܐܶܬܬܰܘܣܰܦ
imperative,FS,ܝܺܣܽܘܦܝ,ܐܶܬܝܰܣܦܝ,ܝܰܣܶܦܝ,ܐܶܬܝܰܣܰܦܝ,ܐܰܘܣܶܦܝ,ܐܶܬܬܰܘܣܰܦܝ
imperative,MP,ܝܺܣܽܘܦܘ,ܐܶܬܝܰܣܦܘ,ܝܰܣܶܦܘ,ܐܶܬܝܰܣܰܦܘ,ܐܰܘܣܶܦܘ,ܐܶܬܬܰܘܣܰܦܘ
imperative,FP,ܝܺܣܽܘܦ̈ܝ,ܐܶܬܝܰܣܦ̈ܝ,ܝܰܣܶܦ̈ܝ,ܐܶܬܝܰܣܰܦ̈ܝ,ܐܰܘܣܶܦ̈ܝ,ܐܶܬܬܰܘܣܰܦ̈ܝ
active-participle,MS,ܝܳܣܶܦ,ܡܶܬܺܝܣܶܦ,ܡܝܰܣܶܦ,ܡܶܬܝܰܣܰܦ,ܡܰܘܣܶܦ,ܡܶܬܬܰܘܣܰܦ
active-participle,FS,ܝܳܣܦܳܐ,ܡܶܬܝܰܣܦܳܐ,ܡܝܰܣܦܳܐ,ܡܶܬܝܰܣܦܳܐ,ܡܰܘܣܦܳܐ,ܡܶܬܬܰܘܣܦܳܐ
active-participle,MP,ܝܳܣܦܺܝܢ,ܡܶܬܝܰܣܦܺܝܢ,ܡܝܰܣܦܺܝܢ,ܡܶܬܝܰܣܦܺܝܢ,ܡܰܘܣܦܺܝܢ,ܡܶܬܬܰܘܣܦܺܝܢ
active-participle,FP,ܝܳܣ̈ܦܳܢ,ܡܶܬܝܰܣܦ̈ܳܢ,ܡܝܰܣܦ̈ܳܢ,ܡܶܬܝܰܣܦ̈ܳܢ,ܡܰܘܣܦ̈ܳܢ,ܡܶܬܬܰܘܣܦ̈ܳܢ
passive-participle,MS,ܝܺܣܺܝܦ,,ܡܝܰܣܰܦ,,ܡܰܘܣܰܦ,
passive-participle,FS,ܝܺܣܺܝܦܳܐ,,ܡܝܰܣܦܳܐ,,ܡܰܘܣܦܳܐ,
passive-participle,MP,ܝܺܣܺܝܦܺܝܢ,,ܡܝܰܣܦܺܝܢ,,ܡܰܘܣܦܺܝܢ,
passive-participle,FP,ܝܺܣܺܝܦ̈ܳ,,ܡܝܰܣ̈ܦܳܢ,,ܡܰܘܣ̈ܦܳܢ,
infinitive,,ܡܺܐܣܰܦ,ܡܶܬܺܝܣܳܦܽܘ,ܡܝܰܣܳܦܽܘ,ܡܶܬܝܰܣܳܦܽܘ,ܡܰܘܣܳܦܽܘ,ܡܶܬܬܰܘܣܳܦܽܘ
