ܝܨܦ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܝܺܨܶܦ,ܐܶܬܺܝܨܶܦ,ܝܰܨܶܦ,ܐܶܬܝܰܨܰܦ,ܐܰܘܨܶܦ,ܐܶܬܬܰܘܨܰܦ
perfect,3FS,ܝܶܨܦܰܬ,ܐܶܬܝܰܨܦܰܬ,ܝܰܨܦܰܬ,ܐܶܬܝܰܨܦܰܬ,ܐܰܘܨܦܰܬ,ܐܶܬܬܰܘܨܦܰܬ
perfect,2MS,ܝܺܨܶܦܬ,ܐܶܬܺܝܨܶܦܬ,ܝܰܨܶܦܬ,ܐܶܬܝܰܨܰܦܬ,ܐܰܘܨܶܦܬ,ܐܶܬܬܰܘܨܰܦܬ
perfect,2FS,ܝܺܨܶܦܬܝ,ܐܶܬܺܝܨܶܦܬܝ,ܝܰܨܶܦܬܝ,ܐܶܬܝܰܨܰܦܬܝ,ܐܰܘܨܶܦܬܝ,ܐܶܬܰܝܘܰܦܬܝ
perfect,1S,ܝܶܨܦܶܬ,ܐܶܬܝܰܨܦܶܬ,ܝܰܨܦܶܬ,ܐܶܬܝܰܨܦܶܬ,ܐܰܘܨܦܶܬ,ܐܶܬܰܝܘܦܶܬ
perfect,3MP,ܝܺܨܶܦܘ,ܐܶܬܺܝܨܶܦܘ,ܝܰܨܶܦܘ,ܐܶܬܝܰܨܰܦܘ,ܐܰܘܨܶܦܘ,ܐܶܬܬܰܘܨܰܦܘ
perfect,3FP,ܝܺܨܶܦ̈ܝ,ܐܶܬܺܝܨܶܦ̈ܝ,ܝܰܨܶܦ̈ܝ,ܐܶܬܝܰܨܰܦ̈ܝ,ܐܰܘܨܶܦ̈ܝ,ܐܶܬܬܰܘܨܰܦ̈ܝ
perfect,2MP,ܝܺܨܶܦܬܽܘܢ,ܐܶܬܺܝܨܶܦܬܽܘܢ,ܝܰܨܶܦܬܽܘܢ,ܐܶܬܝܰܨܰܦܬܽܘܢ,ܐܰܘܨܶܦܬܽܘܢ,ܐܶܬܬܰܘܨܰܦܬܽܘܢ
perfect,2FP,ܝܺܨܶܦܬ̈ܶܝܢ,ܐܶܬܺܝܨܶܦ̈ܬܶܝܢ,ܝܰܨܶܦܬ̈ܶܝܢ,ܐܶܬܝܰܨܰܦ̈ܬܶܝܢ,ܐܰܘܨܶܦܬ̈ܶܝܢ,ܐܶܬܬܰܘܨܰܦ̈ܬܶܝܢ
perfect,1P,ܝܺܨܶܦܢ,ܐܶܬܺܝܨܶܦܢ,ܝܰܨܶܦܢ,ܐܶܬܝܰܨܰܦܢ,ܐܰܘܨܶܦܢ,ܐܶܬܬܰܘܨܰܦܢ
imperfect,3MS,ܢܺܐܨܰܦ,ܢܶܬܺܝܨܶܦ,ܢܝܰܨܶܦ,ܢܶܬܝܰܨܰܦ,ܢܰܘܨܶܦ,ܢܶܬܬܰܘܨܰܦ
imperfect,3FS,ܬܺܐܨܰܦ,ܬܶܬܺܝܨܶܦ,ܬܝܰܨܶܦ,ܬܶܬܝܰܨܰܦ,ܬܰܘܨܶܦ,ܬܶܬܬܰܘܨܰܦܝ
imperfect,2MS,ܬܺܐܨܰܦ,ܬܶܬܺܝܨܶܦ,ܬܝܰܨܶܦ,ܬܶܬܝܰܨܰܦ,ܬܰܘܨܶܦ,ܬܶܬܬܰܘܨܰܦ
imperfect,2FS,ܬܺܐܨܦܺܝܢ,ܬܶܬܝܰܨܦܺܝܢ,ܬܝܰܨܦܺܝܢ,ܬܶܬܝܰܨܦܺܝܢ,ܬܰܘܨܦܺܝܢ,ܬܶܬܬܰܘܨܦܺܝܢ
imperfect,1S,ܐܺܐܨܰܦ,ܐܶܬܺܝܨܶܦ,ܐܶܝܰܨܶܦ,ܐܶܬܝܰܨܰܦ,ܐܰܘܨܶܦ,ܐܶܬܬܰܘܨܰܦ
imperfect,3MP,ܢܺܐܨܦܽܘܢ,ܢܶܬܺܝܰܨܦܽܘܢ,ܢܝܰܨܦܽܘܢ,ܢܶܬܝܰܨܦܽܘܢ,ܢܰܘܨܦܽܘܢ,ܢܶܬܬܰܘܨܦܽܘܢ
imperfect,3FP,ܢܺܐܨ̈ܦܳܢ,ܢܶܬܺܝܰܨܦ̈ܳܢ,ܢܝܰܨܦ̈ܳܢ,ܢܶܬܝܰܨܦ̈ܳܢ,ܢܰܘܨܦ̈ܳܢ,ܢܶܬܬܰܘܨܦ̈ܳܢ
