ܝܩܕ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܝܺܩܰܕ,ܐܶܬܺܝܩܶܕ,ܝܰܩܶܕ,ܐܶܬܝܰܩܰܕ,ܐܰܘܩܶܕ,ܐܶܬܬܰܘܩܰܕ
perfect,3FS,ܝܶܩܕܰܬ,ܐܶܬܝܰܩܕܰܬ,ܝܰܩܕܰܬ,ܐܶܬܝܰܩܕܰܬ,ܐܰܘܩܕܰܬ,ܐܶܬܬܰܘܩܕܰܬ
perfect,2MS,ܝܺܩܰܕܬ,ܐܶܬܺܝܩܶܕܬ,ܝܰܩܶܕܬ,ܐܶܬܝܰܩܰܕܬ,ܐܰܘܩܶܕܬ,ܐܶܬܬܰܘܩܰܕܬ
perfect,2FS,ܝܺܩܰܕܬܝ,ܐܶܬܺܝܩܶܕܬܝ,ܝܰܩܶܕܬܝ,ܐܶܬܝܰܩܰܕܬܝ,ܐܰܘܩܶܕܬܝ,ܐܶܬܰܝܘܰܕܬܝ
perfect,1CS,ܝܶܩܕܶܬ,ܐܶܬܝܰܩܕܶܬ,ܝܰܩܕܶܬ,ܐܶܬܝܰܩܕܶܬ,ܐܰܘܩܕܶܬ,ܐܶܬܰܝܘܕܶܬ
perfect,3MP,ܝܺܩܰܕܘ,ܐܶܬܺܝܩܶܕܘ,ܝܰܩܶܕܘ,ܐܶܬܝܰܩܰܕܘ,ܐܰܘܩܶܕܘ,ܐܶܬܬܰܘܩܰܕܘ
perfect,3FP,ܝܺܩܰܕ̈ܝ,ܐܶܬܺܝܩܶܕ̈ܝ,ܝܰܩܶܕ̈ܝ,ܐܶܬܝܰܩܰܕ̈ܝ,ܐܰܘܩܶܕ̈ܝ,ܐܶܬܬܰܘܩܰܕ̈ܝ
perfect,2MP,ܝܺܩܰܕܬܽܘܢ,ܐܶܬܺܝܩܶܕܬܽܘܢ,ܝܰܩܶܕܬܽܘܢ,ܐܶܬܝܰܩܰܕܬܽܘܢ,ܐܰܘܩܶܕܬܽܘܢ,ܐܶܬܬܰܘܩܰܕܬܽܘܢ
perfect,2FP,ܝܺܩܰܕܬ̈ܶܝܢ,ܐܶܬܺܝܩܶܕ̈ܬܶܝܢ,ܝܰܩܶܕܬ̈ܶܝܢ,ܐܶܬܝܰܩܰܕ̈ܬܶܝܢ,ܐܰܘܩܶܕܬ̈ܶܝܢ,ܐܶܬܬܰܘܩܰܕ̈ܬܶܝܢ
perfect,1CP,ܝܺܩܰܕܢ,ܐܶܬܺܝܩܶܕܢ,ܝܰܩܶܕܢ,ܐܶܬܝܰܩܰܕܢ,ܐܰܘܩܶܕܢ,ܐܶܬܬܰܘܩܰܕܢ
