ܝܩܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܝܺܩܰܪ,ܐܶܬܺܝܩܶܪ,ܝܰܩܶܪ,ܐܶܬܝܰܩܰܪ,ܐܰܘܩܶܪ,ܐܶܬܬܰܘܩܰܪ
perfect,3FS,ܝܶܩܪܰܬ,ܐܶܬܝܰܩܪܰܬ,ܝܰܩܪܰܬ,ܐܶܬܝܰܩܪܰܬ,ܐܰܘܩܪܰܬ,ܐܶܬܬܰܘܩܪܰܬ
perfect,2MS,ܝܺܩܰܪܬ,ܐܶܬܺܝܩܶܪܬ,ܝܰܩܶܪܬ,ܐܶܬܝܰܩܰܪܬ,ܐܰܘܩܶܪܬ,ܐܶܬܬܰܘܩܰܪܬ
perfect,2FS,ܝܺܩܰܪܬܝ,ܐܶܬܺܝܩܶܪܬܝ,ܝܰܩܶܪܬܝ,ܐܶܬܝܰܩܰܪܬܝ,ܐܰܘܩܶܪܬܝ,ܐܶܬܰܝܘܰܪܬܝ
perfect,1S,ܝܶܩܪܶܬ,ܐܶܬܝܰܩܪܶܬ,ܝܰܩܪܶܬ,ܐܶܬܝܰܩܪܶܬ,ܐܰܘܩܪܶܬ,ܐܶܬܰܝܘܪܶܬ
perfect,3MP,ܝܺܩܰܪܘ,ܐܶܬܺܝܩܶܪܘ,ܝܰܩܶܪܘ,ܐܶܬܝܰܩܰܪܘ,ܐܰܘܩܶܪܘ,ܐܶܬܬܰܘܩܰܪܘ
perfect,3FP,ܝܺܩܰܪ̈ܝ,ܐܶܬܺܝܩܶܪ̈ܝ,ܝܰܩܶܪ̈ܝ,ܐܶܬܝܰܩܰܪ̈ܝ,ܐܰܘܩܶܪ̈ܝ,ܐܶܬܬܰܘܩܰܪ̈ܝ
perfect,2MP,ܝܺܩܰܪܬܽܘܢ,ܐܶܬܺܝܩܶܪܬܽܘܢ,ܝܰܩܶܪܬܽܘܢ,ܐܶܬܝܰܩܰܪܬܽܘܢ,ܐܰܘܩܶܪܬܽܘܢ,ܐܶܬܬܰܘܩܰܪܬܽܘܢ
perfect,2FP,ܝܺܩܰܪܬ̈ܶܝܢ,ܐܶܬܺܝܩܶܪ̈ܬܶܝܢ,ܝܰܩܶܪܬ̈ܶܝܢ,ܐܶܬܝܰܩܰܪ̈ܬܶܝܢ,ܐܰܘܩܶܪܬ̈ܶܝܢ,ܐܶܬܬܰܘܩܰܪ̈ܬܶܝܢ
perfect,1P,ܝܺܩܰܪܢ,ܐܶܬܺܝܩܶܪܢ,ܝܰܩܶܪܢ,ܐܶܬܝܰܩܰܪܢ,ܐܰܘܩܶܪܢ,ܐܶܬܬܰܘܩܰܪܢ
imperfect,3MS,ܢܺܐܩܽܘܪ,ܢܶܬܺܝܩܶܪ,ܢܝܰܩܶܪ,ܢܶܬܝܰܩܰܪ,ܢܰܘܩܶܪ,ܢܶܬܬܰܘܩܰܪ
imperfect,3FS,ܬܺܐܩܽܘܪ,ܬܶܬܺܝܩܶܪ,ܬܝܰܩܶܪ,ܬܶܬܝܰܩܰܪ,ܬܰܘܩܶܪ,ܬܶܬܬܰܘܩܰܪܝ
imperfect,2MS,ܬܺܐܩܽܘܪ,ܬܶܬܺܝܩܶܪ,ܬܝܰܩܶܪ,ܬܶܬܝܰܩܰܪ,ܬܰܘܩܶܪ,ܬܶܬܬܰܘܩܰܪ
imperfect,2FS,ܬܺܐܩܪܺܝܢ,ܬܶܬܝܰܩܪܺܝܢ,ܬܝܰܩܪܺܝܢ,ܬܶܬܝܰܩܪܺܝܢ,ܬܰܘܩܪܺܝܢ,ܬܶܬܬܰܘܩܪܺܝܢ
imperfect,1S,ܐܶܝܩܽܘܪ,ܐܶܬܺܝܩܶܪ,ܐܶܝܰܩܶܪ,ܐܶܬܝܰܩܰܪ,ܐܰܘܩܶܪ,ܐܶܬܬܰܘܩܰܪ
imperfect,3MP,ܢܺܐܩܪܽܘܢ,ܢܶܬܺܝܰܩܪܽܘܢ,ܢܝܰܩܪܽܘܢ,ܢܶܬܝܰܩܪܽܘܢ,ܢܰܘܩܪܽܘܢ,ܢܶܬܬܰܘܩܪܽܘܢ
imperfect,3FP,ܢܺܐܩ̈ܪܳܢ,ܢܶܬܺܝܰܩܪ̈ܳܢ,ܢܝܰܩܪ̈ܳܢ,ܢܶܬܝܰܩܪ̈ܳܢ,ܢܰܘܩܪ̈ܳܢ,ܢܶܬܬܰܘܩܪ̈ܳܢ
imperfect,2MP,ܬܺܐܩܪܽܘܢ,ܬܶܬܺܝܰܩܪܽܘܢ,ܬܝܰܩܪܽܘܢ,ܬܶܬܝܰܩܪܽܘܢ,ܬܰܘܩܪܽܘܢ,ܬܶܬܬܰܘܩܪܽܘܢ
imperfect,2FP,ܬܺܐ̈ܩܪܳܢ,ܬܶܬܺܝܰܩܪ̈ܳܢ,ܬܝܰܩܪ̈ܳܢ,ܬܶܬܝܰܩܪ̈ܳܢ,ܬܰܘܩܪ̈ܳܢ,ܬܶܬܬܰܘܩܪ̈ܳܢ
imperfect,1P,ܢܺܐܩܽܘܪ,ܢܶܬܺܝܩܶܪ,ܢܝܰܩܶܪ,ܢܶܬܝܰܩܰܪ,ܢܰܘܩܶܪ,ܢܶܬܬܰܘܩܰܪ
imperative,MS,ܝܺܩܽܘܪ,ܐܶܬܝܰܩܪ,ܝܰܩܶܪ,ܐܶܬܝܰܩܰܪ,ܐܰܘܩܶܪ,ܐܶܬܬܰܘܩܰܪ
imperative,FS,ܝܺܩܽܘܪܝ,ܐܶܬܝܰܩܪܝ,ܝܰܩܶܪܝ,ܐܶܬܝܰܩܰܪܝ,ܐܰܘܩܶܪܝ,ܐܶܬܬܰܘܩܰܪܝ
imperative,MP,ܝܺܩܽܘܪܘ,ܐܶܬܝܰܩܪܘ,ܝܰܩܶܪܘ,ܐܶܬܝܰܩܰܪܘ,ܐܰܘܩܶܪܘ,ܐܶܬܬܰܘܩܰܪܘ
imperative,FP,ܝܺܩܽܘܪ̈ܝ,ܐܶܬܝܰܩܪ̈ܝ,ܝܰܩܶܪ̈ܝ,ܐܶܬܝܰܩܰܪ̈ܝ,ܐܰܘܩܶܪ̈ܝ,ܐܶܬܬܰܘܩܰܪ̈ܝ
active-participle,MS,ܝܳܩܶܪ,ܡܶܬܺܝܩܶܪ,ܡܝܰܩܶܪ,ܡܶܬܝܰܩܰܪ,ܡܰܘܩܶܪ,ܡܶܬܬܰܘܩܰܪ
active-participle,FS,ܝܳܩܪܳܐ,ܡܶܬܝܰܩܪܳܐ,ܡܝܰܩܪܳܐ,ܡܶܬܝܰܩܪܳܐ,ܡܰܘܩܪܳܐ,ܡܶܬܬܰܘܩܪܳܐ
active-participle,MP,ܝܳܩܪܺܝܢ,ܡܶܬܝܰܩܪܺܝܢ,ܡܝܰܩܪܺܝܢ,ܡܶܬܝܰܩܪܺܝܢ,ܡܰܘܩܪܺܝܢ,ܡܶܬܬܰܘܩܪܺܝܢ
active-participle,FP,ܝܳܩ̈ܪܳܢ,ܡܶܬܝܰܩܪ̈ܳܢ,ܡܝܰܩܪ̈ܳܢ,ܡܶܬܝܰܩܪ̈ܳܢ,ܡܰܘܩܪ̈ܳܢ,ܡܶܬܬܰܘܩܪ̈ܳܢ
passive-participle,MS,ܝܺܩܺܝܪ,,ܡܝܰܩܰܪ,,ܡܰܘܩܰܪ,
passive-participle,FS,ܝܺܩܺܝܪܳܐ,,ܡܝܰܩܪܳܐ,,ܡܰܘܩܪܳܐ,
passive-participle,MP,ܝܺܩܺܝܪܺܝܢ,,ܡܝܰܩܪܺܝܢ,,ܡܰܘܩܪܺܝܢ,
passive-participle,FP,ܝܺܩܺܝܪ̈ܳ,,ܡܝܰܩ̈ܪܳܢ,,ܡܰܘܩ̈ܪܳܢ,
infinitive,,ܡܺܐܩܰܪ,ܡܶܬܺܝܩܳܪܽܘ,ܡܝܰܩܳܪܽܘ,ܡܶܬܝܰܩܳܪܽܘ,ܡܰܘܩܳܪܽܘ,ܡܶܬܬܰܘܩܳܪܽܘ
