ܝܪܬ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܝܺܪܶܬ,ܐܶܬܺܝܪܶܬ,ܝܰܪܶܬ,ܐܶܬܝܰܪܰܬ,ܐܰܘܪܶܬ,ܐܶܬܬܰܘܪܰܬ
perfect,3FS,ܝܶܪܬܰܬ,ܐܶܬܝܰܪܬܰܬ,ܝܰܪܬܰܬ,ܐܶܬܝܰܪܬܰܬ,ܐܰܘܪܬܰܬ,ܐܶܬܬܰܘܪܬܰܬ
perfect,2MS,ܝܺܪܶܬܬ,ܐܶܬܺܝܪܶܬܬ,ܝܰܪܶܬܬ,ܐܶܬܝܰܪܰܬܬ,ܐܰܘܪܶܬܬ,ܐܶܬܬܰܘܪܰܬܬ
perfect,2FS,ܝܺܪܶܬܬܝ,ܐܶܬܺܝܪܶܬܬܝ,ܝܰܪܶܬܬܝ,ܐܶܬܝܰܪܰܬܬܝ,ܐܰܘܪܶܬܬܝ,ܐܶܬܰܝܘܰܬܬܝ
perfect,1CS,ܝܶܪܬܶܬ,ܐܶܬܝܰܪܬܶܬ,ܝܰܪܬܶܬ,ܐܶܬܝܰܪܬܶܬ,ܐܰܘܪܬܶܬ,ܐܶܬܰܝܘܬܶܬ
perfect,3MP,ܝܺܪܶܬܘ,ܐܶܬܺܝܪܶܬܘ,ܝܰܪܶܬܘ,ܐܶܬܝܰܪܰܬܘ,ܐܰܘܪܶܬܘ,ܐܶܬܬܰܘܪܰܬܘ
perfect,3FP,ܝܺܪܶܬ̈ܝ,ܐܶܬܺܝܪܶܬ̈ܝ,ܝܰܪܶܬ̈ܝ,ܐܶܬܝܰܪܰܬ̈ܝ,ܐܰܘܪܶܬ̈ܝ,ܐܶܬܬܰܘܪܰܬ̈ܝ
perfect,2MP,ܝܺܪܶܬܬܽܘܢ,ܐܶܬܺܝܪܶܬܬܽܘܢ,ܝܰܪܶܬܬܽܘܢ,ܐܶܬܝܰܪܰܬܬܽܘܢ,ܐܰܘܪܶܬܬܽܘܢ,ܐܶܬܬܰܘܪܰܬܬܽܘܢ
perfect,2FP,ܝܺܪܶܬܬ̈ܶܝܢ,ܐܶܬܺܝܪܶܬ̈ܬܶܝܢ,ܝܰܪܶܬܬ̈ܶܝܢ,ܐܶܬܝܰܪܰܬ̈ܬܶܝܢ,ܐܰܘܪܶܬܬ̈ܶܝܢ,ܐܶܬܬܰܘܪܰܬ̈ܬܶܝܢ
