ܝܬܒ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܝܺܬܰܒ,ܐܶܬܺܝܬܶܒ,ܝܰܬܶܒ,ܐܶܬܝܰܬܰܒ,ܐܰܘܬܶܒ,ܐܶܬܬܰܘܬܰܒ
perfect,3FS,ܝܶܬܒܰܬ,ܐܶܬܝܰܬܒܰܬ,ܝܰܬܒܰܬ,ܐܶܬܝܰܬܒܰܬ,ܐܰܘܬܒܰܬ,ܐܶܬܬܰܘܬܒܰܬ
perfect,2MS,ܝܺܬܰܒܬ,ܐܶܬܺܝܬܶܒܬ,ܝܰܬܶܒܬ,ܐܶܬܝܰܬܰܒܬ,ܐܰܘܬܶܒܬ,ܐܶܬܬܰܘܬܰܒܬ
perfect,2FS,ܝܺܬܰܒܬܝ,ܐܶܬܺܝܬܶܒܬܝ,ܝܰܬܶܒܬܝ,ܐܶܬܝܰܬܰܒܬܝ,ܐܰܘܬܶܒܬܝ,ܐܶܬܰܝܘܰܒܬܝ
perfect,1CS,ܝܶܬܒܶܬ,ܐܶܬܝܰܬܒܶܬ,ܝܰܬܒܶܬ,ܐܶܬܝܰܬܒܶܬ,ܐܰܘܬܒܶܬ,ܐܶܬܰܝܘܒܶܬ
perfect,3MP,ܝܺܬܰܒܘ,ܐܶܬܺܝܬܶܒܘ,ܝܰܬܶܒܘ,ܐܶܬܝܰܬܰܒܘ,ܐܰܘܬܶܒܘ,ܐܶܬܬܰܘܬܰܒܘ
perfect,3FP,ܝܺܬܰܒ̈ܝ,ܐܶܬܺܝܬܶܒ̈ܝ,ܝܰܬܶܒ̈ܝ,ܐܶܬܝܰܬܰܒ̈ܝ,ܐܰܘܬܶܒ̈ܝ,ܐܶܬܬܰܘܬܰܒ̈ܝ
perfect,2MP,ܝܺܬܰܒܬܽܘܢ,ܐܶܬܺܝܬܶܒܬܽܘܢ,ܝܰܬܶܒܬܽܘܢ,ܐܶܬܝܰܬܰܒܬܽܘܢ,ܐܰܘܬܶܒܬܽܘܢ,ܐܶܬܬܰܘܬܰܒܬܽܘܢ
perfect,2FP,ܝܺܬܰܒܬ̈ܶܝܢ,ܐܶܬܺܝܬܶܒ̈ܬܶܝܢ,ܝܰܬܶܒܬ̈ܶܝܢ,ܐܶܬܝܰܬܰܒ̈ܬܶܝܢ,ܐܰܘܬܶܒܬ̈ܶܝܢ,ܐܶܬܬܰܘܬܰܒ̈ܬܶܝܢ
