ܝܬܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܝܺܬܰܪ,ܐܶܬܺܝܬܶܪ,ܝܰܬܶܪ,ܐܶܬܝܰܬܰܪ,ܐܰܘܬܶܪ,ܐܶܬܬܰܘܬܰܪ
perfect,3FS,ܝܶܬܪܰܬ,ܐܶܬܝܰܬܪܰܬ,ܝܰܬܪܰܬ,ܐܶܬܝܰܬܪܰܬ,ܐܰܘܬܪܰܬ,ܐܶܬܬܰܘܬܪܰܬ
perfect,2MS,ܝܺܬܰܪܬ,ܐܶܬܺܝܬܶܪܬ,ܝܰܬܶܪܬ,ܐܶܬܝܰܬܰܪܬ,ܐܰܘܬܶܪܬ,ܐܶܬܬܰܘܬܰܪܬ
perfect,2FS,ܝܺܬܰܪܬܝ,ܐܶܬܺܝܬܶܪܬܝ,ܝܰܬܶܪܬܝ,ܐܶܬܝܰܬܰܪܬܝ,ܐܰܘܬܶܪܬܝ,ܐܶܬܰܝܘܰܪܬܝ
perfect,1S,ܝܶܬܪܶܬ,ܐܶܬܝܰܬܪܶܬ,ܝܰܬܪܶܬ,ܐܶܬܝܰܬܪܶܬ,ܐܰܘܬܪܶܬ,ܐܶܬܰܝܘܪܶܬ
perfect,3MP,ܝܺܬܰܪܘ,ܐܶܬܺܝܬܶܪܘ,ܝܰܬܶܪܘ,ܐܶܬܝܰܬܰܪܘ,ܐܰܘܬܶܪܘ,ܐܶܬܬܰܘܬܰܪܘ
perfect,3FP,ܝܺܬܰܪ̈ܝ,ܐܶܬܺܝܬܶܪ̈ܝ,ܝܰܬܶܪ̈ܝ,ܐܶܬܝܰܬܰܪ̈ܝ,ܐܰܘܬܶܪ̈ܝ,ܐܶܬܬܰܘܬܰܪ̈ܝ
perfect,2MP,ܝܺܬܰܪܬܽܘܢ,ܐܶܬܺܝܬܶܪܬܽܘܢ,ܝܰܬܶܪܬܽܘܢ,ܐܶܬܝܰܬܰܪܬܽܘܢ,ܐܰܘܬܶܪܬܽܘܢ,ܐܶܬܬܰܘܬܰܪܬܽܘܢ
perfect,2FP,ܝܺܬܰܪܬ̈ܶܝܢ,ܐܶܬܺܝܬܶܪ̈ܬܶܝܢ,ܝܰܬܶܪܬ̈ܶܝܢ,ܐܶܬܝܰܬܰܪ̈ܬܶܝܢ,ܐܰܘܬܶܪܬ̈ܶܝܢ,ܐܶܬܬܰܘܬܰܪ̈ܬܶܝܢ
