ܚܫ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܚܰܫ,ܐܶܬܚܫܶܫ,ܚܰܫܶܫ,ܐܶܬܚܰܫܰܫ,ܐܰܚܶܫ,ܐܶܬܬܰܚܰܫ
perfect,3FS,ܚܶܫܰܬ,ܐܶܬܚܰܫܫܰܬ,ܚܰܫܫܰܬ,ܐܶܬܚܰܫܫܰܬ,ܐܰܚܫܰܬ,ܐܶܬܬܰܚܫܰܬ
perfect,2MS,ܚܰܫܬ,ܐܶܬܚܫܶܫܬ,ܚܰܫܶܫܬ,ܐܶܬܚܰܫܰܫܬ,ܐܰܚܶܫܬ,ܐܶܬܬܰܚܰܫܬ
perfect,2FS,ܚܰܫܬܝ,ܐܶܬܚܫܶܫܬܝ,ܚܰܫܶܫܬܝ,ܐܶܬܚܰܫܰܫܬܝ,ܐܰܚܶܫܬܝ,ܐܶܬܬܰܚܫܬܝ
perfect,1CS,ܚܶܫܶܬ,ܐܶܬܚܰܫܫܶܬ,ܚܰܫܫܶܬ,ܐܶܬܚܰܫܫܶܬ,ܐܰܚܫܶܬ,ܐܶܬܬܰܚܫܶܬ
perfect,3MP,ܚܰܫܘ,ܐܶܬܚܫܶܫܘ,ܚܰܫܶܫܘ,ܐܶܬܚܰܫܰܫܘ,ܐܰܚܶܫܘ,ܐܶܬܬܰܚܰܫܘ
perfect,3FP,ܚܰܫ̈ܝ,ܐܶܬܚܫܶܫ̈ܝ,ܚܰܫܶܫ̈ܝ,ܐܶܬܚܰܫܰܫ̈ܝ,ܐܰܚܶܫ̈ܝ,ܐܶܬܬܰܚܰܫ̈ܝ
perfect,2MP,ܚܰܫܬܽܘܢ,ܐܶܬܚܫܶܫܬܽܘܢ,ܚܰܫܶܫܬܽܘܢ,ܐܶܬܚܰܫܰܫܬܽܘܢ,ܐܰܚܶܫܬܽܘܢ,ܐܶܬܬܰܚܰܫܬܽܘܢ
perfect,2FP,ܚܰܫܬ̈ܶܝܢ,ܐܶܬܚܫܶܫ̈ܬܶܝܢ,ܚܰܫܶܫܬ̈ܶܝܢ,ܐܶܬܚܰܫܰܫ̈ܬܶܝܢ,ܐܰܚܶܫܬ̈ܶܝܢ,ܐܶܬܬܰܚܰܫ̈ܬܶܝܢ
perfect,1CP,ܚܰܫܢ,ܐܶܬܚܫܶܫܢ,ܚܰܫܶܫܢ,ܐܶܬܚܰܫܰܫܢ,ܐܰܚܶܫܢ,ܐܶܬܬܰܚܰܫܢ
imperfect,3MS,,ܢܶܬܚܫܶܫ,ܢܚܰܫܶܫ,ܢܶܬܚܰܫܰܫ,ܢܰܚܶܫ,ܢܶܬܬܰܚܰܫ
imperfect,3FS,,ܬܶܬܚܫܶܫ,ܬܚܰܫܶܫ,ܬܶܬܚܰܫܰܫ,ܬܰܚܶܫ,ܬܶܬܬܰܚܰܫܝ
imperfect,2MS,,ܬܶܬܚܫܶܫ,ܬܚܰܫܶܫ,ܬܶܬܚܰܫܰܫ,ܬܰܚܶܫ,ܬܶܬܬܰܚܰܫ
imperfect,2FS,,ܬܶܬܚܰܫܫܺܝܢ,ܬܚܰܫܫܺܝܢ,ܬܶܬܚܰܫܫܺܝܢ,ܬܰܚܫܺܝܢ,ܬܶܬܬܰܚܰܫܺܝܢ
imperfect,1CS,,ܐܶܬܚܫܶܫ,ܐܶܚܰܫܶܫ,ܐܶܬܚܰܫܰܫ,ܐܰܚܶܫ,ܐܶܬܬܰܚܰܫ
imperfect,3MP,,ܢܶܬܚܰܫܫܽܘܢ,ܢܚܰܫܫܽܘܢ,ܢܶܬܚܰܫܫܽܘܢ,ܢܰܚܫܽܘܢ,ܢܶܬܬܰܚܫܽܘܢ
imperfect,3FP,,ܢܶܬܚܰܫܫ̈ܳܢ,ܢܚܰܫܫ̈ܳܢ,ܢܶܬܚܰܫܫ̈ܳܢ,ܢܰܚܫ̈ܳܢ,ܢܶܬܬܰܚܫ̈ܳܢ
imperfect,2MP,,ܬܶܬܚܰܫܫܽܘܢ,ܬܚܰܫܫܽܘܢ,ܬܶܬܚܰܫܫܽܘܢ,ܬܰܚܫܽܘܢ,ܬܶܬܬܰܚܫܽܘܢ
imperfect,2FP,,ܬܶܬܚܰܫܫ̈ܳܢ,ܬܚܰܫܫ̈ܳܢ,ܬܶܬܚܰܫܫ̈ܳܢ,ܬܰܚܫ̈ܳܢ,ܬܶܬܬܰܚܫ̈ܳܢ
imperfect,1CP,,ܢܶܬܚܫܶܫ,ܢܚܰܫܶܫ,ܢܶܬܚܰܫܰܫ,ܢܰܚܶܫ,ܢܶܬܬܰܚܰܫ
imperative,MS,ܚܽܘܫ,ܐܶܬܚܰܫܫ,ܚܰܫܶܫ,ܐܶܬܚܰܫܰܫ,ܐܰܚܶܫ,ܐܶܬܬܰܚܰܫ
imperative,FS,ܚܽܘܫܝ,ܐܶܬܚܰܫܫܝ,ܚܰܫܶܫܝ,ܐܶܬܚܰܫܰܫܝ,ܐܰܚܶܫܝ,ܐܶܬܬܰܚܰܫܝ
imperative,MP,ܚܽܘܫܘ,ܐܶܬܚܰܫܫܘ,ܚܰܫܶܫܘ,ܐܶܬܚܰܫܰܫܘ,ܐܰܚܶܫܘ,ܐܶܬܬܰܚܰܫܘ
imperative,FP,ܚܽܘܫ̈ܝ,ܐܶܬܚܰܫܫ̈ܝ,ܚܰܫܶܫ̈ܝ,ܐܶܬܚܰܫܰܫ̈ܝ,ܐܰܚܶܫ̈ܝ,ܐܶܬܬܰܚܰܫ̈ܝ
active-participle,MS,ܚܳܐܶܫ,ܡܶܬܚܫܶܫ,ܡܚܰܫܶܫ,ܡܶܬܚܰܫܰܫ,ܡܰܚܶܫ,ܡܶܬܬܰܚܰܫ
active-participle,FS,ܚܳܫܳܐ,ܡܶܬܚܰܫܫܳܐ,ܡܚܰܫܫܳܐ,ܡܶܬܚܰܫܫܳܐ,ܡܰܚܫܳܐ,ܡܶܬܬܰܚܫܳܐ
active-participle,MP,ܚܳܫܺܝܢ,ܡܶܬܚܰܫܫܺܝܢ,ܡܚܰܫܫܺܝܢ,ܡܶܬܚܰܫܫܺܝܢ,ܡܰܚܫܺܝܢ,ܡܶܬܬܰܚܰܫܺܝܢ
