ܥܠ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܥܰܠ,ܐܶܬܥܠܶܠ,ܥܰܠܶܠ,ܐܶܬܥܰܠܰܠ,ܐܰܥܶܠ,ܐܶܬܬܰܥܰܠ
perfect,3FS,ܥܶܠܰܬ,ܐܶܬܥܰܠܠܰܬ,ܥܰܠܠܰܬ,ܐܶܬܥܰܠܠܰܬ,ܐܰܥܠܰܬ,ܐܶܬܬܰܥܠܰܬ
perfect,2MS,ܥܰܠܬ,ܐܶܬܥܠܶܠܬ,ܥܰܠܶܠܬ,ܐܶܬܥܰܠܰܠܬ,ܐܰܥܶܠܬ,ܐܶܬܬܰܥܰܠܬ
perfect,2FS,ܥܰܠܬܝ,ܐܶܬܥܠܶܠܬܝ,ܥܰܠܶܠܬܝ,ܐܶܬܥܰܠܰܠܬܝ,ܐܰܥܶܠܬܝ,ܐܶܬܬܰܥܠܬܝ
perfect,1CS,ܥܶܠܶܬ,ܐܶܬܥܰܠܠܶܬ,ܥܰܠܠܶܬ,ܐܶܬܥܰܠܠܶܬ,ܐܰܥܠܶܬ,ܐܶܬܬܰܥܠܶܬ
perfect,3MP,ܥܰܠܘ,ܐܶܬܥܠܶܠܘ,ܥܰܠܶܠܘ,ܐܶܬܥܰܠܰܠܘ,ܐܰܥܶܠܘ,ܐܶܬܬܰܥܰܠܘ
perfect,3FP,ܥܰܠ̈ܝ,ܐܶܬܥܠܶܠ̈ܝ,ܥܰܠܶܠ̈ܝ,ܐܶܬܥܰܠܰܠ̈ܝ,ܐܰܥܶܠ̈ܝ,ܐܶܬܬܰܥܰܠ̈ܝ
perfect,2MP,ܥܰܠܬܽܘܢ,ܐܶܬܥܠܶܠܬܽܘܢ,ܥܰܠܶܠܬܽܘܢ,ܐܶܬܥܰܠܰܠܬܽܘܢ,ܐܰܥܶܠܬܽܘܢ,ܐܶܬܬܰܥܰܠܬܽܘܢ
perfect,2FP,ܥܰܠܬ̈ܶܝܢ,ܐܶܬܥܠܶܠ̈ܬܶܝܢ,ܥܰܠܶܠܬ̈ܶܝܢ,ܐܶܬܥܰܠܰܠ̈ܬܶܝܢ,ܐܰܥܶܠܬ̈ܶܝܢ,ܐܶܬܬܰܥܰܠ̈ܬܶܝܢ
perfect,1CP,ܥܰܠܢ,ܐܶܬܥܠܶܠܢ,ܥܰܠܶܠܢ,ܐܶܬܥܰܠܰܠܢ,ܐܰܥܶܠܢ,ܐܶܬܬܰܥܰܠܢ
imperfect,3MS,ܢܶܥܽܘܠ,ܢܶܬܥܠܶܠ,ܢܥܰܠܶܠ,ܢܶܬܥܰܠܰܠ,ܢܰܥܶܠ,ܢܶܬܬܰܥܰܠ
imperfect,3FS,ܬܶܥܽܘܠ,ܬܶܬܥܠܶܠ,ܬܥܰܠܶܠ,ܬܶܬܥܰܠܰܠ,ܬܰܥܶܠ,ܬܶܬܬܰܥܰܠܝ
imperfect,2MS,ܬܶܥܽܘܠ,ܬܶܬܥܠܶܠ,ܬܥܰܠܶܠ,ܬܶܬܥܰܠܰܠ,ܬܰܥܶܠ,ܬܶܬܬܰܥܰܠ
