ܪܓ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܪܰܓ,ܐܶܬܪܓܶܓ,ܪܰܓܶܓ,ܐܶܬܪܰܓܰܓ,ܐܰܪܶܓ,ܐܶܬܬܰܪܰܓ
perfect,3FS,ܪܶܓܰܬ,ܐܶܬܪܰܓܓܰܬ,ܪܰܓܓܰܬ,ܐܶܬܪܰܓܓܰܬ,ܐܰܪܓܰܬ,ܐܶܬܬܰܪܓܰܬ
perfect,2MS,ܪܰܓܬ,ܐܶܬܪܓܶܓܬ,ܪܰܓܶܓܬ,ܐܶܬܪܰܓܰܓܬ,ܐܰܪܶܓܬ,ܐܶܬܬܰܪܰܓܬ
perfect,2FS,ܪܰܓܬܝ,ܐܶܬܪܓܶܓܬܝ,ܪܰܓܶܓܬܝ,ܐܶܬܪܰܓܰܓܬܝ,ܐܰܪܶܓܬܝ,ܐܶܬܬܰܪܓܬܝ
perfect,1CS,ܪܶܓܶܬ,ܐܶܬܪܰܓܓܶܬ,ܪܰܓܓܶܬ,ܐܶܬܪܰܓܓܶܬ,ܐܰܪܓܶܬ,ܐܶܬܬܰܪܓܶܬ
perfect,3MP,ܪܰܓܘ,ܐܶܬܪܓܶܓܘ,ܪܰܓܶܓܘ,ܐܶܬܪܰܓܰܓܘ,ܐܰܪܶܓܘ,ܐܶܬܬܰܪܰܓܘ
perfect,3FP,ܪܰܓ̈ܝ,ܐܶܬܪܓܶܓ̈ܝ,ܪܰܓܶܓ̈ܝ,ܐܶܬܪܰܓܰܓ̈ܝ,ܐܰܪܶܓ̈ܝ,ܐܶܬܬܰܪܰܓ̈ܝ
perfect,2MP,ܪܰܓܬܽܘܢ,ܐܶܬܪܓܶܓܬܽܘܢ,ܪܰܓܶܓܬܽܘܢ,ܐܶܬܪܰܓܰܓܬܽܘܢ,ܐܰܪܶܓܬܽܘܢ,ܐܶܬܬܰܪܰܓܬܽܘܢ
perfect,2FP,ܪܰܓܬ̈ܶܝܢ,ܐܶܬܪܓܶܓ̈ܬܶܝܢ,ܪܰܓܶܓܬ̈ܶܝܢ,ܐܶܬܪܰܓܰܓ̈ܬܶܝܢ,ܐܰܪܶܓܬ̈ܶܝܢ,ܐܶܬܬܰܪܰܓ̈ܬܶܝܢ
perfect,1CP,ܪܰܓܢ,ܐܶܬܪܓܶܓܢ,ܪܰܓܶܓܢ,ܐܶܬܪܰܓܰܓܢ,ܐܰܪܶܓܢ,ܐܶܬܬܰܪܰܓܢ
imperfect,3MS,,ܢܶܬܪܓܶܓ,ܢܪܰܓܶܓ,ܢܶܬܪܰܓܰܓ,ܢܰܪܶܓ,ܢܶܬܬܰܪܰܓ
imperfect,3FS,,ܬܶܬܪܓܶܓ,ܬܪܰܓܶܓ,ܬܶܬܪܰܓܰܓ,ܬܰܪܶܓ,ܬܶܬܬܰܪܰܓܝ
imperfect,2MS,,ܬܶܬܪܓܶܓ,ܬܪܰܓܶܓ,ܬܶܬܪܰܓܰܓ,ܬܰܪܶܓ,ܬܶܬܬܰܪܰܓ
imperfect,2FS,,ܬܶܬܪܰܓܓܺܝܢ,ܬܪܰܓܓܺܝܢ,ܬܶܬܪܰܓܓܺܝܢ,ܬܰܪܓܺܝܢ,ܬܶܬܬܰܪܰܓܺܝܢ
imperfect,1CS,,ܐܶܬܪܓܶܓ,ܐܶܪܰܓܶܓ,ܐܶܬܪܰܓܰܓ,ܐܰܪܶܓ,ܐܶܬܬܰܪܰܓ
imperfect,3MP,,ܢܶܬܪܰܓܓܽܘܢ,ܢܪܰܓܓܽܘܢ,ܢܶܬܪܰܓܓܽܘܢ,ܢܰܪܓܽܘܢ,ܢܶܬܬܰܪܓܽܘܢ
imperfect,3FP,,ܢܶܬܪܰܓܓ̈ܳܢ,ܢܪܰܓܓ̈ܳܢ,ܢܶܬܪܰܓܓ̈ܳܢ,ܢܰܪܓ̈ܳܢ,ܢܶܬܬܰܪܓ̈ܳܢ
imperfect,2MP,,ܬܶܬܪܰܓܓܽܘܢ,ܬܪܰܓܓܽܘܢ,ܬܶܬܪܰܓܓܽܘܢ,ܬܰܪܓܽܘܢ,ܬܶܬܬܰܪܓܽܘܢ
imperfect,2FP,,ܬܶܬܪܰܓܓ̈ܳܢ,ܬܪܰܓܓ̈ܳܢ,ܬܶܬܪܰܓܓ̈ܳܢ,ܬܰܪܓ̈ܳܢ,ܬܶܬܬܰܪܓ̈ܳܢ
imperfect,1CP,,ܢܶܬܪܓܶܓ,ܢܪܰܓܶܓ,ܢܶܬܪܰܓܰܓ,ܢܰܪܶܓ,ܢܶܬܬܰܪܰܓ
imperative,MS,ܪܽܘܓ,ܐܶܬܪܰܓܓ,ܪܰܓܶܓ,ܐܶܬܪܰܓܰܓ,ܐܰܪܶܓ,ܐܶܬܬܰܪܰܓ
imperative,FS,ܪܽܘܓܝ,ܐܶܬܪܰܓܓܝ,ܪܰܓܶܓܝ,ܐܶܬܪܰܓܰܓܝ,ܐܰܪܶܓܝ,ܐܶܬܬܰܪܰܓܝ
