ܫܒ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܰܒ,ܐܶܬܫܒܶܒ,ܫܰܒܶܒ,ܐܶܬܫܰܒܰܒ,ܐܰܫܶܒ,ܐܶܬܬܰܫܰܒ
perfect,3FS,ܫܶܒܰܬ,ܐܶܬܫܰܒܒܰܬ,ܫܰܒܒܰܬ,ܐܶܬܫܰܒܒܰܬ,ܐܰܫܒܰܬ,ܐܶܬܬܰܫܒܰܬ
perfect,2MS,ܫܰܒܬ,ܐܶܬܫܒܶܒܬ,ܫܰܒܶܒܬ,ܐܶܬܫܰܒܰܒܬ,ܐܰܫܶܒܬ,ܐܶܬܬܰܫܰܒܬ
perfect,2FS,ܫܰܒܬܝ,ܐܶܬܫܒܶܒܬܝ,ܫܰܒܶܒܬܝ,ܐܶܬܫܰܒܰܒܬܝ,ܐܰܫܶܒܬܝ,ܐܶܬܬܰܫܒܬܝ
perfect,1CS,ܫܶܒܶܬ,ܐܶܬܫܰܒܒܶܬ,ܫܰܒܒܶܬ,ܐܶܬܫܰܒܒܶܬ,ܐܰܫܒܶܬ,ܐܶܬܬܰܫܒܶܬ
perfect,3MP,ܫܰܒܘ,ܐܶܬܫܒܶܒܘ,ܫܰܒܶܒܘ,ܐܶܬܫܰܒܰܒܘ,ܐܰܫܶܒܘ,ܐܶܬܬܰܫܰܒܘ
perfect,3FP,ܫܰܒ̈ܝ,ܐܶܬܫܒܶܒ̈ܝ,ܫܰܒܶܒ̈ܝ,ܐܶܬܫܰܒܰܒ̈ܝ,ܐܰܫܶܒ̈ܝ,ܐܶܬܬܰܫܰܒ̈ܝ
perfect,2MP,ܫܰܒܬܽܘܢ,ܐܶܬܫܒܶܒܬܽܘܢ,ܫܰܒܶܒܬܽܘܢ,ܐܶܬܫܰܒܰܒܬܽܘܢ,ܐܰܫܶܒܬܽܘܢ,ܐܶܬܬܰܫܰܒܬܽܘܢ
perfect,2FP,ܫܰܒܬ̈ܶܝܢ,ܐܶܬܫܒܶܒ̈ܬܶܝܢ,ܫܰܒܶܒܬ̈ܶܝܢ,ܐܶܬܫܰܒܰܒ̈ܬܶܝܢ,ܐܰܫܶܒܬ̈ܶܝܢ,ܐܶܬܬܰܫܰܒ̈ܬܶܝܢ
perfect,1CP,ܫܰܒܢ,ܐܶܬܫܒܶܒܢ,ܫܰܒܶܒܢ,ܐܶܬܫܰܒܰܒܢ,ܐܰܫܶܒܢ,ܐܶܬܬܰܫܰܒܢ
