ܫܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܰܪ,ܐܶܬܫܪܰܪ,ܫܰܪܶܪ,ܐܶܬܫܰܪܰܪ,ܐܰܫܶܪ,ܐܶܬܬܰܫܰܪ
perfect,3FS,ܫܶܪܰܬ,ܐܶܬܫܰܪܪܰܬ,ܫܰܪܪܰܬ,ܐܶܬܫܰܪܪܰܬ,ܐܰܫܪܰܬ,ܐܶܬܬܰܫܪܰܬ
perfect,2MS,ܫܰܪܬ,ܐܶܬܫܪܰܪܬ,ܫܰܪܶܪܬ,ܐܶܬܫܰܪܰܪܬ,ܐܰܫܶܪܬ,ܐܶܬܬܰܫܰܪܬ
perfect,2FS,ܫܰܪܬܝ,ܐܶܬܫܪܰܪܬܝ,ܫܰܪܶܪܬܝ,ܐܶܬܫܰܪܰܪܬܝ,ܐܰܫܶܪܬܝ,ܐܶܬܬܰܫܪܬܝ
perfect,1S,ܫܶܪܶܬ,ܐܶܬܫܰܪܪܶܬ,ܫܰܪܪܶܬ,ܐܶܬܫܰܪܪܶܬ,ܐܰܫܪܶܬ,ܐܶܬܬܰܫܪܶܬ
perfect,3MP,ܫܰܪܘ,ܐܶܬܫܪܰܪܘ,ܫܰܪܶܪܘ,ܐܶܬܫܰܪܰܪܘ,ܐܰܫܶܪܘ,ܐܶܬܬܰܫܰܪܘ
perfect,3FP,ܫܰܪ̈ܝ,ܐܶܬܫܪܰܪ̈ܝ,ܫܰܪܶܪ̈ܝ,ܐܶܬܫܰܪܰܪ̈ܝ,ܐܰܫܶܪ̈ܝ,ܐܶܬܬܰܫܰܪ̈ܝ
perfect,2MP,ܫܰܪܬܽܘܢ,ܐܶܬܫܪܰܪܬܽܘܢ,ܫܰܪܶܪܬܽܘܢ,ܐܶܬܫܰܪܰܪܬܽܘܢ,ܐܰܫܶܪܬܽܘܢ,ܐܶܬܬܰܫܰܪܬܽܘܢ
perfect,2FP,ܫܰܪܬ̈ܶܝܢ,ܐܶܬܫܪܰܪ̈ܬܶܝܢ,ܫܰܪܶܪܬ̈ܶܝܢ,ܐܶܬܫܰܪܰܪ̈ܬܶܝܢ,ܐܰܫܶܪܬ̈ܶܝܢ,ܐܶܬܬܰܫܰܪ̈ܬܶܝܢ
perfect,1P,ܫܰܪܢ,ܐܶܬܫܪܰܪܢ,ܫܰܪܶܪܢ,ܐܶܬܫܰܪܰܪܢ,ܐܰܫܶܪܢ,ܐܶܬܬܰܫܰܪܢ
imperfect,3MS,ܢܶܫܽܘܪ,ܢܶܬܫܪܰܪ,ܢܫܰܪܶܪ,ܢܶܬܫܰܪܰܪ,ܢܰܫܶܪ,ܢܶܬܬܰܫܰܪ
imperfect,3FS,ܬܶܫܽܘܪ,ܬܶܬܫܪܰܪ,ܬܫܰܪܶܪ,ܬܶܬܫܰܪܰܪ,ܬܰܫܶܪ,ܬܶܬܬܰܫܰܪܝ
imperfect,2MS,ܬܶܫܽܘܪ,ܬܶܬܫܪܰܪ,ܬܫܰܪܶܪ,ܬܶܬܫܰܪܰܪ,ܬܰܫܶܪ,ܬܶܬܬܰܫܰܪ
imperfect,2FS,ܬܶܫܪܺܝܢ,ܬܶܬܫܰܪܪܺܝܢ,ܬܫܰܪܪܺܝܢ,ܬܶܬܫܰܪܪܺܝܢ,ܬܰܫܪܺܝܢ,ܬܶܬܬܰܫܰܪܺܝܢ
imperfect,1S,ܐܶܫܽܘܪ,ܐܶܬܫܪܰܪ,ܐܶܫܰܪܶܪ,ܐܶܬܫܰܪܰܪ,ܐܰܫܶܪ,ܐܶܬܬܰܫܰܪ
imperfect,3MP,ܢܶܫܪܽܘܢ,ܢܶܬܫܰܪܪܽܘܢ,ܢܫܰܪܪܽܘܢ,ܢܶܬܫܰܪܪܽܘܢ,ܢܰܫܪܽܘܢ,ܢܶܬܬܰܫܪܽܘܢ
