ܓܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܓܳܪ,ܐܶܬܓܰܝܰܪ,ܓܰܝܶܪ,ܐܶܬܓܰܝܰܪ,ܐܰܓܺܝܪ,ܐܶܬܬܓܺܝܪ
perfect,3FS,ܓܳܪܰܬ,ܐܶܬܓܰܝܪܰܬ,ܓܰܝܪܰܬ,ܐܶܬܓܰܝܪܰܬ,ܐܰܓܺܝܪܰܬ,ܐܶܬܬܓܺܝܪܰܬ
perfect,2MS,ܓܳܪܬ,ܐܶܬܓܰܝܰܪܬ,ܓܰܝܶܪܬ,ܐܶܬܓܰܝܰܪܬ,ܐܰܓܺܝܪܬ,ܐܶܬܬܓܺܝܪܬ
perfect,2FS,ܓܳܪܬܝ,ܐܶܬܓܰܝܰܪܬܝ,ܓܰܝܶܪܬܝ,ܐܶܬܓܰܝܰܪܬܝ,ܐܰܓܺܝܪܬܝ,ܐܶܬܓܺܝܪܬܝ
perfect,1CS,ܓܳܪܶܬ,ܐܶܬܓܰܝܪܶܬ,ܓܰܝܪܶܬ,ܐܶܬܓܰܝܪܶܬ,ܐܰܓܺܝܪܶܬ,ܐܶܬܓܺܝܪܶܬ
perfect,3MP,ܓܳܪܘ,ܐܶܬܓܰܝܰܪܘ,ܓܰܝܶܪܘ,ܐܶܬܓܰܝܰܪܘ,ܐܰܓܺܝܪܘ,ܐܶܬܬܓܺܝܪܘ
perfect,3FP,ܓܳܪ̈ܝ,ܐܶܬܓܰܝܰܪ̈ܝ,ܓܰܝܶܪ̈ܝ,ܐܶܬܓܰܝܰܪ̈ܝ,ܐܰܓܺܝܪ̈ܝ,ܐܶܬܬܓܺܝܪ̈ܝ
perfect,2MP,ܓܳܪܬܽܘܢ,ܐܶܬܓܰܝܰܪܬܽܘܢ,ܓܰܝܶܪܬܽܘܢ,ܐܶܬܓܰܝܰܪܬܽܘܢ,ܐܰܓܺܝܪܬܽܘܢ,ܐܶܬܬܓܺܝܪܬܽܘܢ
perfect,2FP,ܓܳܪܬ̈ܶܝܢ,ܐܶܬܓܰܝܰܪ̈ܬܶܝܢ,ܓܰܝܶܪܬ̈ܶܝܢ,ܐܶܬܓܰܝܰܪ̈ܬܶܝܢ,ܐܰܓܺܝܪܬ̈ܶܝܢ,ܐܶܬܬܓܺܝܪ̈ܬܶܝܢ
perfect,1CP,ܓܳܪܢ,ܐܶܬܓܰܝܰܪܢ,ܓܰܝܶܪܢ,ܐܶܬܓܰܝܰܪܢ,ܐܰܓܺܝܪܢ,ܐܶܬܬܓܺܝܪܢ
imperfect,3MS,ܢܓܽܘܪ,ܢܶܬܓܰܝܰܪ,ܢܓܰܝܶܪ,ܢܶܬܓܰܝܰܪ,ܢܓܺܝܪ,ܢܶܬܬܓܺܝܪ
imperfect,3FS,ܬܓܽܘܪ,ܬܶܬܓܰܝܰܪ,ܬܓܰܝܶܪ,ܬܶܬܓܰܝܰܪ,ܬܓܺܝܪ,ܬܶܬܬܓܺܝܪܝ
imperfect,2MS,ܬܓܽܘܪ,ܬܶܬܓܰܝܰܪ,ܬܓܰܝܶܪ,ܬܶܬܓܰܝܰܪ,ܬܓܺܝܪ,ܬܶܬܬܓܺܝܪ
imperfect,2FS,ܬܓܪܺܝܢ,ܬܶܬܓܰܝܪܺܝܢ,ܬܓܰܝܪܺܝܢ,ܬܶܬܓܰܝܪܺܝܢ,ܬܓܺܝܪܺܝܢ,ܬܶܬܬܓܺܝܪܺܝܢ
imperfect,1CS,ܐܶܓܽܘܪ,ܐܶܬܓܰܝܰܪ,ܐܶܓܰܝܶܪ,ܐܶܬܓܰܝܰܪ,ܐܰܓܺܝܪ,ܐܶܬܬܓܺܝܪ
imperfect,3MP,ܢܓܽܘܪܽܘܢ,ܢܶܬܓܰܝܪܽܘܢ,ܢܓܰܝܪܽܘܢ,ܢܶܬܓܰܝܪܽܘܢ,ܢܓܺܝܪܽܘܢ,ܢܶܬܬܰܓܺܝܪܽܘܢ
