ܚܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܚܳܪ,ܐܶܬܚܰܝܰܪ,ܚܰܝܶܪ,ܐܶܬܚܰܝܰܪ,ܐܰܚܺܝܪ,ܐܶܬܬܚܺܝܪ
perfect,3FS,ܚܳܪܰܬ,ܐܶܬܚܰܝܪܰܬ,ܚܰܝܪܰܬ,ܐܶܬܚܰܝܪܰܬ,ܐܰܚܺܝܪܰܬ,ܐܶܬܬܚܺܝܪܰܬ
perfect,2MS,ܚܳܪܬ,ܐܶܬܚܰܝܰܪܬ,ܚܰܝܶܪܬ,ܐܶܬܚܰܝܰܪܬ,ܐܰܚܺܝܪܬ,ܐܶܬܬܚܺܝܪܬ
perfect,2FS,ܚܳܪܬܝ,ܐܶܬܚܰܝܰܪܬܝ,ܚܰܝܶܪܬܝ,ܐܶܬܚܰܝܰܪܬܝ,ܐܰܚܺܝܪܬܝ,ܐܶܬܚܺܝܪܬܝ
perfect,1CS,ܚܳܪܶܬ,ܐܶܬܚܰܝܪܶܬ,ܚܰܝܪܶܬ,ܐܶܬܚܰܝܪܶܬ,ܐܰܚܺܝܪܶܬ,ܐܶܬܚܺܝܪܶܬ
perfect,3MP,ܚܳܪܘ,ܐܶܬܚܰܝܰܪܘ,ܚܰܝܶܪܘ,ܐܶܬܚܰܝܰܪܘ,ܐܰܚܺܝܪܘ,ܐܶܬܬܚܺܝܪܘ
perfect,3FP,ܚܳܪ̈ܝ,ܐܶܬܚܰܝܰܪ̈ܝ,ܚܰܝܶܪ̈ܝ,ܐܶܬܚܰܝܰܪ̈ܝ,ܐܰܚܺܝܪ̈ܝ,ܐܶܬܬܚܺܝܪ̈ܝ
perfect,2MP,ܚܳܪܬܽܘܢ,ܐܶܬܚܰܝܰܪܬܽܘܢ,ܚܰܝܶܪܬܽܘܢ,ܐܶܬܚܰܝܰܪܬܽܘܢ,ܐܰܚܺܝܪܬܽܘܢ,ܐܶܬܬܚܺܝܪܬܽܘܢ
perfect,2FP,ܚܳܪܬ̈ܶܝܢ,ܐܶܬܚܰܝܰܪ̈ܬܶܝܢ,ܚܰܝܶܪܬ̈ܶܝܢ,ܐܶܬܚܰܝܰܪ̈ܬܶܝܢ,ܐܰܚܺܝܪܬ̈ܶܝܢ,ܐܶܬܬܚܺܝܪ̈ܬܶܝܢ
perfect,1CP,ܚܳܪܢ,ܐܶܬܚܰܝܰܪܢ,ܚܰܝܶܪܢ,ܐܶܬܚܰܝܰܪܢ,ܐܰܚܺܝܪܢ,ܐܶܬܬܚܺܝܪܢ
imperfect,3MS,ܢܚܽܘܪ,ܢܶܬܚܰܝܰܪ,ܢܚܰܝܶܪ,ܢܶܬܚܰܝܰܪ,ܢܚܺܝܪ,ܢܶܬܬܚܺܝܪ
imperfect,3FS,ܬܚܽܘܪ,ܬܶܬܚܰܝܰܪ,ܬܚܰܝܶܪ,ܬܶܬܚܰܝܰܪ,ܬܚܺܝܪ,ܬܶܬܬܚܺܝܪܝ
imperfect,2MS,ܬܚܽܘܪ,ܬܶܬܚܰܝܰܪ,ܬܚܰܝܶܪ,ܬܶܬܚܰܝܰܪ,ܬܚܺܝܪ,ܬܶܬܬܚܺܝܪ
imperfect,2FS,ܬܚܪܺܝܢ,ܬܶܬܚܰܝܪܺܝܢ,ܬܚܰܝܪܺܝܢ,ܬܶܬܚܰܝܪܺܝܢ,ܬܚܺܝܪܺܝܢ,ܬܶܬܬܚܺܝܪܺܝܢ
imperfect,1CS,ܐܶܚܽܘܪ,ܐܶܬܚܰܝܰܪ,ܐܶܚܰܝܶܪ,ܐܶܬܚܰܝܰܪ,ܐܰܚܺܝܪ,ܐܶܬܬܚܺܝܪ
