ܠܛ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܠܳܛ,ܐܶܬܠܰܝܰܛ,ܠܰܝܶܛ,ܐܶܬܠܰܝܰܛ,ܐܰܠܺܝܛ,ܐܶܬܬܠܺܝܛ
perfect,3FS,ܠܳܛܰܬ,ܐܶܬܠܰܝܛܰܬ,ܠܰܝܛܰܬ,ܐܶܬܠܰܝܛܰܬ,ܐܰܠܺܝܛܰܬ,ܐܶܬܬܠܺܝܛܰܬ
perfect,2MS,ܠܳܛܬ,ܐܶܬܠܰܝܰܛܬ,ܠܰܝܶܛܬ,ܐܶܬܠܰܝܰܛܬ,ܐܰܠܺܝܛܬ,ܐܶܬܬܠܺܝܛܬ
perfect,2FS,ܠܳܛܬܝ,ܐܶܬܠܰܝܰܛܬܝ,ܠܰܝܶܛܬܝ,ܐܶܬܠܰܝܰܛܬܝ,ܐܰܠܺܝܛܬܝ,ܐܶܬܠܺܝܛܬܝ
perfect,1S,ܠܳܛܶܬ,ܐܶܬܠܰܝܛܶܬ,ܠܰܝܛܶܬ,ܐܶܬܠܰܝܛܶܬ,ܐܰܠܺܝܛܶܬ,ܐܶܬܠܺܝܛܶܬ
perfect,3MP,ܠܳܛܘ,ܐܶܬܠܰܝܰܛܘ,ܠܰܝܶܛܘ,ܐܶܬܠܰܝܰܛܘ,ܐܰܠܺܝܛܘ,ܐܶܬܬܠܺܝܛܘ
perfect,3FP,ܠܳܛ̈ܝ,ܐܶܬܠܰܝܰܛ̈ܝ,ܠܰܝܶܛ̈ܝ,ܐܶܬܠܰܝܰܛ̈ܝ,ܐܰܠܺܝܛ̈ܝ,ܐܶܬܬܠܺܝܛ̈ܝ
perfect,2MP,ܠܳܛܬܽܘܢ,ܐܶܬܠܰܝܰܛܬܽܘܢ,ܠܰܝܶܛܬܽܘܢ,ܐܶܬܠܰܝܰܛܬܽܘܢ,ܐܰܠܺܝܛܬܽܘܢ,ܐܶܬܬܠܺܝܛܬܽܘܢ
perfect,2FP,ܠܳܛܬ̈ܶܝܢ,ܐܶܬܠܰܝܰܛ̈ܬܶܝܢ,ܠܰܝܶܛܬ̈ܶܝܢ,ܐܶܬܠܰܝܰܛ̈ܬܶܝܢ,ܐܰܠܺܝܛܬ̈ܶܝܢ,ܐܶܬܬܠܺܝܛ̈ܬܶܝܢ
perfect,1P,ܠܳܛܢ,ܐܶܬܠܰܝܰܛܢ,ܠܰܝܶܛܢ,ܐܶܬܠܰܝܰܛܢ,ܐܰܠܺܝܛܢ,ܐܶܬܬܠܺܝܛܢ
imperfect,3MS,ܢܠܽܘܛ,ܢܶܬܠܰܝܰܛ,ܢܠܰܝܶܛ,ܢܶܬܠܰܝܰܛ,ܢܠܺܝܛ,ܢܶܬܬܠܺܝܛ
imperfect,3FS,ܬܠܽܘܛ,ܬܶܬܠܰܝܰܛ,ܬܠܰܝܶܛ,ܬܶܬܠܰܝܰܛ,ܬܠܺܝܛ,ܬܶܬܬܠܺܝܛܝ
imperfect,2MS,ܬܠܽܘܛ,ܬܶܬܠܰܝܰܛ,ܬܠܰܝܶܛ,ܬܶܬܠܰܝܰܛ,ܬܠܺܝܛ,ܬܶܬܬܠܺܝܛ
imperfect,2FS,ܬܠܛܺܝܢ,ܬܶܬܠܰܝܛܺܝܢ,ܬܠܰܝܛܺܝܢ,ܬܶܬܠܰܝܛܺܝܢ,ܬܠܺܝܛܺܝܢ,ܬܶܬܬܠܺܝܛܺܝܢ
imperfect,1S,ܐܶܠܽܘܛ,ܐܶܬܠܰܝܰܛ,ܐܶܠܰܝܶܛ,ܐܶܬܠܰܝܰܛ,ܐܰܠܺܝܛ,ܐܶܬܬܠܺܝܛ
imperfect,3MP,ܢܠܽܘܛܽܘܢ,ܢܶܬܠܰܝܛܽܘܢ,ܢܠܰܝܛܽܘܢ,ܢܶܬܠܰܝܛܽܘܢ,ܢܠܺܝܛܽܘܢ,ܢܶܬܬܰܠܺܝܛܽܘܢ
imperfect,3FP,ܢܠ̈ܽܘܛܳܢ,ܢܶܬܠܰܝܛ̈ܳܢ,ܢܠܰܝܛ̈ܳܢ,ܢܶܬܠܰܝܛ̈ܳܢ,ܢܠܺܝܛ̈ܳܢ,ܢܶܬܬܰܠܺܝܛ̈ܳܢ
imperfect,2MP,ܬܠܽܘܛܽܘܢ,ܬܶܬܠܰܝܛܽܘܢ,ܬܠܰܝܛܽܘܢ,ܬܶܬܠܰܝܛܽܘܢ,ܬܠܺܝܛܽܘܢ,ܬܶܬܬܰܠܺܝܛܽܘܢ
imperfect,2FP,ܬܠ̈ܽܘܛܳܢ,ܬܶܬܠܰܝܛ̈ܳܢ,ܬܠܰܝܛ̈ܳܢ,ܬܶܬܠܰܝܛ̈ܳܢ,ܬܠܺܝܛ̈ܳܢ,ܬܶܬܬܰܠܺܝܛ̈ܳܢ
imperfect,1P,ܢܠܽܘܛ,ܢܶܬܠܰܝܰܛ,ܢܠܰܝܶܛ,ܢܶܬܠܰܝܰܛ,ܢܠܺܝܛ,ܢܶܬܬܰܠܺܝܛ
imperative,MS,ܠܽܘܛ,ܐܶܬܠܰܝܰܛ,ܠܰܝܶܛ,ܐܶܬܠܰܝܰܛ,ܐܰܠܺܝܛ,ܐܶܬܬܠܺܝܛ
imperative,FS,ܠܽܘܛܝ,ܐܶܬܠܰܝܰܛܝ,ܠܰܝܶܛܝ,ܐܶܬܠܰܝܰܛܝ,ܐܰܠܺܝܛܝ,ܐܶܬܬܠܺܝܛܝ
imperative,MP,ܠܽܘܛܘ,ܐܶܬܠܰܝܰܛܘ,ܠܰܝܶܛܘ,ܐܶܬܠܰܝܰܛܘ,ܐܰܠܺܝܛܘ,ܐܶܬܬܠܺܝܛܘ
imperative,FP,ܠܽܘܛ̈ܝ,ܐܶܬܠܰܝܰܛ̈ܝ,ܠܰܝܶܛ̈ܝ,ܐܶܬܠܰܝܰܛ̈ܝ,ܐܰܠܺܝܛ̈ܝ,ܐܶܬܬܠܺܝܛ̈ܝ
active-participle,MS,ܠܳܐܶܛ,ܡܶܬܠܰܝܰܛ,ܡܠܰܝܶܛ,ܡܶܬܠܰܝܰܛ,ܡܠܺܝܛ,ܡܶܬܬܠܺܝܛ
active-participle,FS,ܠܳܝܛܳܐ,ܡܶܬܠܰܝܛܳܐ,ܡܠܰܝܛܳܐ,ܡܶܬܠܰܝܛܳܐ,ܡܠܺܝܛܳܐ,ܡܶܬܬܠܺܝܛܳܐ
active-participle,MP,ܠܳܝܛܺܝܢ,ܡܶܬܠܰܝܛܺܝܢ,ܡܠܰܝܛܺܝܢ,ܡܶܬܠܰܝܛܺܝܢ,ܡܠܺܝܛܺܝܢ,ܡܶܬܬܠܺܝܛܺܝܢ
