ܡܝܬ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܡܳܬ,ܐܶܬܡܰܝܰܬ,ܡܰܝܶܬ,ܐܶܬܡܰܝܰܬ,ܐܰܡܺܝܬ,ܐܶܬܬܡܺܝܬ
perfect,3FS,ܡܳܬܰܬ,ܐܶܬܡܰܝܬܰܬ,ܡܰܝܬܰܬ,ܐܶܬܡܰܝܬܰܬ,ܐܰܡܺܝܬܰܬ,ܐܶܬܬܡܺܝܬܰܬ
perfect,2MS,ܡܳܬܬ,ܐܶܬܡܰܝܰܬܬ,ܡܰܝܶܬܬ,ܐܶܬܡܰܝܰܬܬ,ܐܰܡܺܝܬܬ,ܐܶܬܬܡܺܝܬܬ
perfect,2FS,ܡܳܬܬܝ,ܐܶܬܡܰܝܰܬܬܝ,ܡܰܝܶܬܬܝ,ܐܶܬܡܰܝܰܬܬܝ,ܐܰܡܺܝܬܬܝ,ܐܶܬܡܺܝܬܬܝ
perfect,1CS,ܡܳܬܶܬ,ܐܶܬܡܰܝܬܶܬ,ܡܰܝܬܶܬ,ܐܶܬܡܰܝܬܶܬ,ܐܰܡܺܝܬܶܬ,ܐܶܬܡܺܝܬܶܬ
perfect,3MP,ܡܳܬܘ,ܐܶܬܡܰܝܰܬܘ,ܡܰܝܶܬܘ,ܐܶܬܡܰܝܰܬܘ,ܐܰܡܺܝܬܘ,ܐܶܬܬܡܺܝܬܘ
perfect,3FP,ܡܳܬ̈ܝ,ܐܶܬܡܰܝܰܬ̈ܝ,ܡܰܝܶܬ̈ܝ,ܐܶܬܡܰܝܰܬ̈ܝ,ܐܰܡܺܝܬ̈ܝ,ܐܶܬܬܡܺܝܬ̈ܝ
perfect,2MP,ܡܳܬܬܽܘܢ,ܐܶܬܡܰܝܰܬܬܽܘܢ,ܡܰܝܶܬܬܽܘܢ,ܐܶܬܡܰܝܰܬܬܽܘܢ,ܐܰܡܺܝܬܬܽܘܢ,ܐܶܬܬܡܺܝܬܬܽܘܢ
perfect,2FP,ܡܳܬܬ̈ܶܝܢ,ܐܶܬܡܰܝܰܬ̈ܬܶܝܢ,ܡܰܝܶܬܬ̈ܶܝܢ,ܐܶܬܡܰܝܰܬ̈ܬܶܝܢ,ܐܰܡܺܝܬܬ̈ܶܝܢ,ܐܶܬܬܡܺܝܬ̈ܬܶܝܢ
perfect,1CP,ܡܳܬܢ,ܐܶܬܡܰܝܰܬܢ,ܡܰܝܶܬܢ,ܐܶܬܡܰܝܰܬܢ,ܐܰܡܺܝܬܢ,ܐܶܬܬܡܺܝܬܢ
imperfect,3MS,ܢܡܽܘܬ,ܢܶܬܡܰܝܰܬ,ܢܡܰܝܶܬ,ܢܶܬܡܰܝܰܬ,ܢܡܺܝܬ,ܢܶܬܬܡܺܝܬ
imperfect,3FS,ܬܡܽܘܬ,ܬܶܬܡܰܝܰܬ,ܬܡܰܝܶܬ,ܬܶܬܡܰܝܰܬ,ܬܡܺܝܬ,ܬܶܬܬܡܺܝܬܝ
imperfect,2MS,ܬܡܽܘܬ,ܬܶܬܡܰܝܰܬ,ܬܡܰܝܶܬ,ܬܶܬܡܰܝܰܬ,ܬܡܺܝܬ,ܬܶܬܬܡܺܝܬ
imperfect,2FS,ܬܡܬܺܝܢ,ܬܶܬܡܰܝܬܺܝܢ,ܬܡܰܝܬܺܝܢ,ܬܶܬܡܰܝܬܺܝܢ,ܬܡܺܝܬܺܝܢ,ܬܶܬܬܡܺܝܬܺܝܢ
imperfect,1CS,ܐܶܡܽܘܬ,ܐܶܬܡܰܝܰܬ,ܐܶܡܰܝܶܬ,ܐܶܬܡܰܝܰܬ,ܐܰܡܺܝܬ,ܐܶܬܬܡܺܝܬ
imperfect,3MP,ܢܡܽܘܬܽܘܢ,ܢܶܬܡܰܝܬܽܘܢ,ܢܡܰܝܬܽܘܢ,ܢܶܬܡܰܝܬܽܘܢ,ܢܡܺܝܬܽܘܢ,ܢܶܬܬܰܡܺܝܬܽܘܢ
imperfect,3FP,ܢܡ̈ܽܘܬܳܢ,ܢܶܬܡܰܝܬ̈ܳܢ,ܢܡܰܝܬ̈ܳܢ,ܢܶܬܡܰܝܬ̈ܳܢ,ܢܡܺܝܬ̈ܳܢ,ܢܶܬܬܰܡܺܝܬ̈ܳܢ
imperfect,2MP,ܬܡܽܘܬܽܘܢ,ܬܶܬܡܰܝܬܽܘܢ,ܬܡܰܝܬܽܘܢ,ܬܶܬܡܰܝܬܽܘܢ,ܬܡܺܝܬܽܘܢ,ܬܶܬܬܰܡܺܝܬܽܘܢ
imperfect,2FP,ܬܡ̈ܽܘܬܳܢ,ܬܶܬܡܰܝܬ̈ܳܢ,ܬܡܰܝܬ̈ܳܢ,ܬܶܬܡܰܝܬ̈ܳܢ,ܬܡܺܝܬ̈ܳܢ,ܬܶܬܬܰܡܺܝܬ̈ܳܢ
imperfect,1CP,ܢܡܽܘܬ,ܢܶܬܡܰܝܰܬ,ܢܡܰܝܶܬ,ܢܶܬܡܰܝܰܬ,ܢܡܺܝܬ,ܢܶܬܬܰܡܺܝܬ
imperative,MS,ܡܽܘܬ,ܐܶܬܡܰܝܰܬ,ܡܰܝܶܬ,ܐܶܬܡܰܝܰܬ,ܐܰܡܺܝܬ,ܐܶܬܬܡܺܝܬ
imperative,FS,ܡܽܘܬܝ,ܐܶܬܡܰܝܰܬܝ,ܡܰܝܶܬܝ,ܐܶܬܡܰܝܰܬܝ,ܐܰܡܺܝܬܝ,ܐܶܬܬܡܺܝܬܝ
imperative,MP,ܡܽܘܬܘ,ܐܶܬܡܰܝܰܬܘ,ܡܰܝܶܬܘ,ܐܶܬܡܰܝܰܬܘ,ܐܰܡܺܝܬܘ,ܐܶܬܬܡܺܝܬܘ
imperative,FP,ܡܽܘܬ̈ܝ,ܐܶܬܡܰܝܰܬ̈ܝ,ܡܰܝܶܬ̈ܝ,ܐܶܬܡܰܝܰܬ̈ܝ,ܐܰܡܺܝܬ̈ܝ,ܐܶܬܬܡܺܝܬ̈ܝ
active-participle,MS,ܡܳܐܶܬ,ܡܶܬܡܰܝܰܬ,ܡܡܰܝܶܬ,ܡܶܬܡܰܝܰܬ,ܡܡܺܝܬ,ܡܶܬܬܡܺܝܬ
active-participle,FS,ܡܳܝܬܳܐ,ܡܶܬܡܰܝܬܳܐ,ܡܡܰܝܬܳܐ,ܡܶܬܡܰܝܬܳܐ,ܡܡܺܝܬܳܐ,ܡܶܬܬܡܺܝܬܳܐ
active-participle,MP,ܡܳܝܬܺܝܢ,ܡܶܬܡܰܝܬܺܝܢ,ܡܡܰܝܬܺܝܢ,ܡܶܬܡܰܝܬܺܝܢ,ܡܡܺܝܬܺܝܢ,ܡܶܬܬܡܺܝܬܺܝܢ
active-participle,FP,ܡܳܝ̈ܬܳܢ,ܡܶܬܡܰܝܬ̈ܳܢ,ܡܡܰܝܬ̈ܳܢ,ܡܶܬܡܰܝܬ̈ܳܢ,ܡܡܺܝܬ̈ܳܢ,ܡܶܬܬܡܺܝܬ̈ܳܢ
passive-participle,MS,ܡܺܝܬ,,ܡܡܰܝܰܬ,,ܡܡܳܬ,
passive-participle,FS,ܡܺܝܬܳܐ,,ܡܡܰܝܬܳܐ,,ܡܡܳܬܳܐ,
passive-participle,MP,ܡܺܝܬܺܝܢ,,ܡܡܰܝܬܺܝܢ,,ܡܡܳܬܺܝܢ,
passive-participle,FP,ܡܺܝܬ̈ܳ,,ܡܡܰܝ̈ܬܳܢ,,ܡܡ̈ܳܬܳܢ,
infinitive,,ܡܡܳܬ,ܡܶܬܡܰܝܳܬܽܘ,ܡܡܰܝܳܬܽܘ,ܡܶܬܡܰܝܳܬܽܘ,ܡܡܳܬܽܘ,ܡܶܬܬܡܺܝܬܽܘ
