ܣܡ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܣܳܡ,ܐܶܬܣܰܝܰܡ,ܣܰܝܶܡ,ܐܶܬܣܰܝܰܡ,ܐܰܣܺܝܡ,ܐܶܬܬܣܺܝܡ
perfect,3FS,ܣܳܡܰܬ,ܐܶܬܣܰܝܡܰܬ,ܣܰܝܡܰܬ,ܐܶܬܣܰܝܡܰܬ,ܐܰܣܺܝܡܰܬ,ܐܶܬܬܣܺܝܡܰܬ
perfect,2MS,ܣܳܡܬ,ܐܶܬܣܰܝܰܡܬ,ܣܰܝܶܡܬ,ܐܶܬܣܰܝܰܡܬ,ܐܰܣܺܝܡܬ,ܐܶܬܬܣܺܝܡܬ
perfect,2FS,ܣܳܡܬܝ,ܐܶܬܣܰܝܰܡܬܝ,ܣܰܝܶܡܬܝ,ܐܶܬܣܰܝܰܡܬܝ,ܐܰܣܺܝܡܬܝ,ܐܶܬܣܺܝܡܬܝ
perfect,1CS,ܣܳܡܶܬ,ܐܶܬܣܰܝܡܶܬ,ܣܰܝܡܶܬ,ܐܶܬܣܰܝܡܶܬ,ܐܰܣܺܝܡܶܬ,ܐܶܬܣܺܝܡܶܬ
perfect,3MP,ܣܳܡܘ,ܐܶܬܣܰܝܰܡܘ,ܣܰܝܶܡܘ,ܐܶܬܣܰܝܰܡܘ,ܐܰܣܺܝܡܘ,ܐܶܬܬܣܺܝܡܘ
perfect,3FP,ܣܳܡ̈ܝ,ܐܶܬܣܰܝܰܡ̈ܝ,ܣܰܝܶܡ̈ܝ,ܐܶܬܣܰܝܰܡ̈ܝ,ܐܰܣܺܝܡ̈ܝ,ܐܶܬܬܣܺܝܡ̈ܝ
perfect,2MP,ܣܳܡܬܽܘܢ,ܐܶܬܣܰܝܰܡܬܽܘܢ,ܣܰܝܶܡܬܽܘܢ,ܐܶܬܣܰܝܰܡܬܽܘܢ,ܐܰܣܺܝܡܬܽܘܢ,ܐܶܬܬܣܺܝܡܬܽܘܢ
perfect,2FP,ܣܳܡܬ̈ܶܝܢ,ܐܶܬܣܰܝܰܡ̈ܬܶܝܢ,ܣܰܝܶܡܬ̈ܶܝܢ,ܐܶܬܣܰܝܰܡ̈ܬܶܝܢ,ܐܰܣܺܝܡܬ̈ܶܝܢ,ܐܶܬܬܣܺܝܡ̈ܬܶܝܢ
perfect,1CP,ܣܳܡܢ,ܐܶܬܣܰܝܰܡܢ,ܣܰܝܶܡܢ,ܐܶܬܣܰܝܰܡܢ,ܐܰܣܺܝܡܢ,ܐܶܬܬܣܺܝܡܢ
imperfect,3MS,ܢܣܽܘܡ,ܢܶܬܣܰܝܰܡ,ܢܣܰܝܶܡ,ܢܶܬܣܰܝܰܡ,ܢܣܺܝܡ,ܢܶܬܬܣܺܝܡ
imperfect,3FS,ܬܣܽܘܡ,ܬܶܬܣܰܝܰܡ,ܬܣܰܝܶܡ,ܬܶܬܣܰܝܰܡ,ܬܣܺܝܡ,ܬܶܬܬܣܺܝܡܝ
