ܦܫ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܦܳܫ,ܐܶܬܦܰܝܰܫ,ܦܰܝܶܫ,ܐܶܬܦܰܝܰܫ,ܐܰܦܺܝܫ,ܐܶܬܬܦܺܝܫ
perfect,3FS,ܦܳܫܰܬ,ܐܶܬܦܰܝܫܰܬ,ܦܰܝܫܰܬ,ܐܶܬܦܰܝܫܰܬ,ܐܰܦܺܝܫܰܬ,ܐܶܬܬܦܺܝܫܰܬ
perfect,2MS,ܦܳܫܬ,ܐܶܬܦܰܝܰܫܬ,ܦܰܝܶܫܬ,ܐܶܬܦܰܝܰܫܬ,ܐܰܦܺܝܫܬ,ܐܶܬܬܦܺܝܫܬ
perfect,2FS,ܦܳܫܬܝ,ܐܶܬܦܰܝܰܫܬܝ,ܦܰܝܶܫܬܝ,ܐܶܬܦܰܝܰܫܬܝ,ܐܰܦܺܝܫܬܝ,ܐܶܬܦܺܝܫܬܝ
perfect,1CS,ܦܳܫܶܬ,ܐܶܬܦܰܝܫܶܬ,ܦܰܝܫܶܬ,ܐܶܬܦܰܝܫܶܬ,ܐܰܦܺܝܫܶܬ,ܐܶܬܦܺܝܫܶܬ
perfect,3MP,ܦܳܫܘ,ܐܶܬܦܰܝܰܫܘ,ܦܰܝܶܫܘ,ܐܶܬܦܰܝܰܫܘ,ܐܰܦܺܝܫܘ,ܐܶܬܬܦܺܝܫܘ
perfect,3FP,ܦܳܫ̈ܝ,ܐܶܬܦܰܝܰܫ̈ܝ,ܦܰܝܶܫ̈ܝ,ܐܶܬܦܰܝܰܫ̈ܝ,ܐܰܦܺܝܫ̈ܝ,ܐܶܬܬܦܺܝܫ̈ܝ
perfect,2MP,ܦܳܫܬܽܘܢ,ܐܶܬܦܰܝܰܫܬܽܘܢ,ܦܰܝܶܫܬܽܘܢ,ܐܶܬܦܰܝܰܫܬܽܘܢ,ܐܰܦܺܝܫܬܽܘܢ,ܐܶܬܬܦܺܝܫܬܽܘܢ
perfect,2FP,ܦܳܫܬ̈ܶܝܢ,ܐܶܬܦܰܝܰܫ̈ܬܶܝܢ,ܦܰܝܶܫܬ̈ܶܝܢ,ܐܶܬܦܰܝܰܫ̈ܬܶܝܢ,ܐܰܦܺܝܫܬ̈ܶܝܢ,ܐܶܬܬܦܺܝܫ̈ܬܶܝܢ
perfect,1CP,ܦܳܫܢ,ܐܶܬܦܰܝܰܫܢ,ܦܰܝܶܫܢ,ܐܶܬܦܰܝܰܫܢ,ܐܰܦܺܝܫܢ,ܐܶܬܬܦܺܝܫܢ
imperfect,3MS,ܢܦܽܘܫ,ܢܶܬܦܰܝܰܫ,ܢܦܰܝܶܫ,ܢܶܬܦܰܝܰܫ,ܢܦܺܝܫ,ܢܶܬܬܦܺܝܫ
imperfect,3FS,ܬܦܽܘܫ,ܬܶܬܦܰܝܰܫ,ܬܦܰܝܶܫ,ܬܶܬܦܰܝܰܫ,ܬܦܺܝܫ,ܬܶܬܬܦܺܝܫܝ
imperfect,2MS,ܬܦܽܘܫ,ܬܶܬܦܰܝܰܫ,ܬܦܰܝܶܫ,ܬܶܬܦܰܝܰܫ,ܬܦܺܝܫ,ܬܶܬܬܦܺܝܫ
imperfect,2FS,ܬܦܫܺܝܢ,ܬܶܬܦܰܝܫܺܝܢ,ܬܦܰܝܫܺܝܢ,ܬܶܬܦܰܝܫܺܝܢ,ܬܦܺܝܫܺܝܢ,ܬܶܬܬܦܺܝܫܺܝܢ
imperfect,1CS,ܐܶܦܽܘܫ,ܐܶܬܦܰܝܰܫ,ܐܶܦܰܝܶܫ,ܐܶܬܦܰܝܰܫ,ܐܰܦܺܝܫ,ܐܶܬܬܦܺܝܫ
imperfect,3MP,ܢܦܽܘܫܽܘܢ,ܢܶܬܦܰܝܫܽܘܢ,ܢܦܰܝܫܽܘܢ,ܢܶܬܦܰܝܫܽܘܢ,ܢܦܺܝܫܽܘܢ,ܢܶܬܬܰܦܺܝܫܽܘܢ
imperfect,3FP,ܢܦ̈ܽܘܫܳܢ,ܢܶܬܦܰܝܫ̈ܳܢ,ܢܦܰܝܫ̈ܳܢ,ܢܶܬܦܰܝܫ̈ܳܢ,ܢܦܺܝܫ̈ܳܢ,ܢܶܬܬܰܦܺܝܫ̈ܳܢ
imperfect,2MP,ܬܦܽܘܫܽܘܢ,ܬܶܬܦܰܝܫܽܘܢ,ܬܦܰܝܫܽܘܢ,ܬܶܬܦܰܝܫܽܘܢ,ܬܦܺܝܫܽܘܢ,ܬܶܬܬܰܦܺܝܫܽܘܢ
imperfect,2FP,ܬܦ̈ܽܘܫܳܢ,ܬܶܬܦܰܝܫ̈ܳܢ,ܬܦܰܝܫ̈ܳܢ,ܬܶܬܦܰܝܫ̈ܳܢ,ܬܦܺܝܫ̈ܳܢ,ܬܶܬܬܰܦܺܝܫ̈ܳܢ
