ܨܘܡ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܨܳܡ,ܐܶܬܨܰܝܰܡ,ܨܰܝܶܡ,ܐܶܬܨܰܝܰܡ,ܐܰܨܺܝܡ,ܐܶܬܬܨܺܝܡ
perfect,3FS,ܨܳܡܰܬ,ܐܶܬܨܰܝܡܰܬ,ܨܰܝܡܰܬ,ܐܶܬܨܰܝܡܰܬ,ܐܰܨܺܝܡܰܬ,ܐܶܬܬܨܺܝܡܰܬ
perfect,2MS,ܨܳܡܬ,ܐܶܬܨܰܝܰܡܬ,ܨܰܝܶܡܬ,ܐܶܬܨܰܝܰܡܬ,ܐܰܨܺܝܡܬ,ܐܶܬܬܨܺܝܡܬ
perfect,2FS,ܨܳܡܬܝ,ܐܶܬܨܰܝܰܡܬܝ,ܨܰܝܶܡܬܝ,ܐܶܬܨܰܝܰܡܬܝ,ܐܰܨܺܝܡܬܝ,ܐܶܬܨܺܝܡܬܝ
perfect,1S,ܨܳܡܶܬ,ܐܶܬܨܰܝܡܶܬ,ܨܰܝܡܶܬ,ܐܶܬܨܰܝܡܶܬ,ܐܰܨܺܝܡܶܬ,ܐܶܬܨܺܝܡܶܬ
perfect,3MP,ܨܳܡܘ,ܐܶܬܨܰܝܰܡܘ,ܨܰܝܶܡܘ,ܐܶܬܨܰܝܰܡܘ,ܐܰܨܺܝܡܘ,ܐܶܬܬܨܺܝܡܘ
perfect,3FP,ܨܳܡ̈ܝ,ܐܶܬܨܰܝܰܡ̈ܝ,ܨܰܝܶܡ̈ܝ,ܐܶܬܨܰܝܰܡ̈ܝ,ܐܰܨܺܝܡ̈ܝ,ܐܶܬܬܨܺܝܡ̈ܝ
perfect,2MP,ܨܳܡܬܽܘܢ,ܐܶܬܨܰܝܰܡܬܽܘܢ,ܨܰܝܶܡܬܽܘܢ,ܐܶܬܨܰܝܰܡܬܽܘܢ,ܐܰܨܺܝܡܬܽܘܢ,ܐܶܬܬܨܺܝܡܬܽܘܢ
perfect,2FP,ܨܳܡܬ̈ܶܝܢ,ܐܶܬܨܰܝܰܡ̈ܬܶܝܢ,ܨܰܝܶܡܬ̈ܶܝܢ,ܐܶܬܨܰܝܰܡ̈ܬܶܝܢ,ܐܰܨܺܝܡܬ̈ܶܝܢ,ܐܶܬܬܨܺܝܡ̈ܬܶܝܢ
perfect,1P,ܨܳܡܢ,ܐܶܬܨܰܝܰܡܢ,ܨܰܝܶܡܢ,ܐܶܬܨܰܝܰܡܢ,ܐܰܨܺܝܡܢ,ܐܶܬܬܨܺܝܡܢ
imperfect,3MS,ܢܨܽܘܡ,ܢܶܬܨܰܝܰܡ,ܢܨܰܝܶܡ,ܢܶܬܨܰܝܰܡ,ܢܨܺܝܡ,ܢܶܬܬܨܺܝܡ
imperfect,3FS,ܬܨܽܘܡ,ܬܶܬܨܰܝܰܡ,ܬܨܰܝܶܡ,ܬܶܬܨܰܝܰܡ,ܬܨܺܝܡ,ܬܶܬܬܨܺܝܡܝ
imperfect,2MS,ܬܨܽܘܡ,ܬܶܬܨܰܝܰܡ,ܬܨܰܝܶܡ,ܬܶܬܨܰܝܰܡ,ܬܨܺܝܡ,ܬܶܬܬܨܺܝܡ
imperfect,2FS,ܬܨܡܺܝܢ,ܬܶܬܨܰܝܡܺܝܢ,ܬܨܰܝܡܺܝܢ,ܬܶܬܨܰܝܡܺܝܢ,ܬܨܺܝܡܺܝܢ,ܬܶܬܬܨܺܝܡܺܝܢ
imperfect,1S,ܐܶܨܽܘܡ,ܐܶܬܨܰܝܰܡ,ܐܶܨܰܝܶܡ,ܐܶܬܨܰܝܰܡ,ܐܰܨܺܝܡ,ܐܶܬܬܨܺܝܡ
imperfect,3MP,ܢܨܽܘܡܽܘܢ,ܢܶܬܨܰܝܡܽܘܢ,ܢܨܰܝܡܽܘܢ,ܢܶܬܨܰܝܡܽܘܢ,ܢܨܺܝܡܽܘܢ,ܢܶܬܬܰܨܺܝܡܽܘܢ
imperfect,3FP,ܢܨ̈ܽܘܡܳܢ,ܢܶܬܨܰܝܡ̈ܳܢ,ܢܨܰܝܡ̈ܳܢ,ܢܶܬܨܰܝܡ̈ܳܢ,ܢܨܺܝܡ̈ܳܢ,ܢܶܬܬܰܨܺܝܡ̈ܳܢ
imperfect,2MP,ܬܨܽܘܡܽܘܢ,ܬܶܬܨܰܝܡܽܘܢ,ܬܨܰܝܡܽܘܢ,ܬܶܬܨܰܝܡܽܘܢ,ܬܨܺܝܡܽܘܢ,ܬܶܬܬܰܨܺܝܡܽܘܢ
imperfect,2FP,ܬܨ̈ܽܘܡܳܢ,ܬܶܬܨܰܝܡ̈ܳܢ,ܬܨܰܝܡ̈ܳܢ,ܬܶܬܨܰܝܡ̈ܳܢ,ܬܨܺܝܡ̈ܳܢ,ܬܶܬܬܰܨܺܝܡ̈ܳܢ
imperfect,1P,ܢܨܽܘܡ,ܢܶܬܨܰܝܰܡ,ܢܨܰܝܶܡ,ܢܶܬܨܰܝܰܡ,ܢܨܺܝܡ,ܢܶܬܬܰܨܺܝܡ
imperative,MS,ܨܽܘܡ,ܐܶܬܨܰܝܰܡ,ܨܰܝܶܡ,ܐܶܬܨܰܝܰܡ,ܐܰܨܺܝܡ,ܐܶܬܬܨܺܝܡ
imperative,FS,ܨܽܘܡܝ,ܐܶܬܨܰܝܰܡܝ,ܨܰܝܶܡܝ,ܐܶܬܨܰܝܰܡܝ,ܐܰܨܺܝܡܝ,ܐܶܬܬܨܺܝܡܝ
imperative,MP,ܨܽܘܡܘ,ܐܶܬܨܰܝܰܡܘ,ܨܰܝܶܡܘ,ܐܶܬܨܰܝܰܡܘ,ܐܰܨܺܝܡܘ,ܐܶܬܬܨܺܝܡܘ
imperative,FP,ܨܽܘܡ̈ܝ,ܐܶܬܨܰܝܰܡ̈ܝ,ܨܰܝܶܡ̈ܝ,ܐܶܬܨܰܝܰܡ̈ܝ,ܐܰܨܺܝܡ̈ܝ,ܐܶܬܬܨܺܝܡ̈ܝ
active-participle,MS,ܨܳܐܶܡ,ܡܶܬܨܰܝܰܡ,ܡܨܰܝܶܡ,ܡܶܬܨܰܝܰܡ,ܡܨܺܝܡ,ܡܶܬܬܨܺܝܡ
