ܨܡ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܨܰܡ,,ܨܰܡܶܡ,ܐܶܨܛܰܡܰܡ,ܐܰܨܶܡ,ܐܶܬܨܰܛܰܡ
perfect,3FS,ܨܶܡܰܬ,,ܨܰܡܡܰܬ,ܐܶܨܛܰܡܡܰܬ,ܐܰܨܡܰܬ,ܐܶܬܨܰܛܡܰܬ
perfect,2MS,ܨܰܡܬ,,ܨܰܡܶܡܬ,ܐܶܨܛܰܡܰܡܬ,ܐܰܨܶܡܬ,ܐܶܬܨܰܛܰܡܬ
perfect,2FS,ܨܰܡܬܝ,,ܨܰܡܶܡܬܝ,ܐܶܨܛܰܡܰܡܬܝ,ܐܰܨܶܡܬܝ,ܐܶܬܨܰܛܡܬܝ
perfect,1S,ܨܶܡܶܬ,,ܨܰܡܡܶܬ,ܐܶܨܛܰܡܡܶܬ,ܐܰܨܡܶܬ,ܐܶܬܨܰܛܡܶܬ
perfect,3MP,ܨܰܡܘ,,ܨܰܡܶܡܘ,ܐܶܨܛܰܡܰܡܘ,ܐܰܨܶܡܘ,ܐܶܬܨܰܛܰܡܘ
perfect,3FP,ܨܰܡ̈ܝ,,ܨܰܡܶܡ̈ܝ,ܐܶܨܛܰܡܰܡ̈ܝ,ܐܰܨܶܡ̈ܝ,ܐܶܬܨܰܛܰܡ̈ܝ
perfect,2MP,ܨܰܡܬܽܘܢ,,ܨܰܡܶܡܬܽܘܢ,ܐܶܨܛܰܡܰܡܬܽܘܢ,ܐܰܨܶܡܬܽܘܢ,ܐܶܬܨܰܛܰܡܬܽܘܢ
perfect,2FP,ܨܰܡܬ̈ܶܝܢ,,ܨܰܡܶܡܬ̈ܶܝܢ,ܐܶܨܛܰܡܰܡ̈ܬܶܝܢ,ܐܰܨܶܡܬ̈ܶܝܢ,ܐܶܬܨܰܛܰܡ̈ܬܶܝܢ
perfect,1P,ܨܰܡܢ,,ܨܰܡܶܡܢ,ܐܶܨܛܰܡܰܡܢ,ܐܰܨܶܡܢ,ܐܶܬܨܰܛܰܡܢ
imperfect,3MS,ܢܶܨܽܘܡ,,ܢܨܰܡܶܡ,ܢܶܨܛܰܡܰܡ,ܢܰܨܶܡ,ܢܶܬܨܰܛܰܡ
imperfect,3FS,ܬܶܨܽܘܡ,,ܬܨܰܡܶܡ,ܬܶܨܛܰܡܰܡ,ܬܰܨܶܡ,ܬܶܬܨܰܛܰܡܝ
imperfect,2MS,ܬܶܨܽܘܡ,,ܬܨܰܡܶܡ,ܬܶܨܛܰܡܰܡ,ܬܰܨܶܡ,ܬܶܬܨܰܛܰܡ
imperfect,2FS,ܬܶܨܡܺܝܢ,,ܬܨܰܡܡܺܝܢ,ܬܶܨܛܰܡܡܺܝܢ,ܬܰܨܡܺܝܢ,ܬܶܬܨܰܛܰܡܺܝܢ
imperfect,1S,ܐܶܨܽܘܡ,,ܐܶܨܰܡܶܡ,ܐܶܨܛܰܡܰܡ,ܐܰܨܶܡ,ܐܶܬܨܰܛܰܡ
imperfect,3MP,ܢܶܨܡܽܘܢ,,ܢܨܰܡܡܽܘܢ,ܢܶܨܛܰܡܡܽܘܢ,ܢܰܨܡܽܘܢ,ܢܶܬܨܰܛܡܽܘܢ
imperfect,3FP,ܢܶܨ̈ܡܳܢ,,ܢܨܰܡܡ̈ܳܢ,ܢܶܨܛܰܡܡ̈ܳܢ,ܢܰܨܡ̈ܳܢ,ܢܶܬܨܰܛܡ̈ܳܢ
