ܩܡ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܩܳܡ,ܐܶܬܩܰܝܰܡ,ܩܰܝܶܡ,ܐܶܬܩܰܝܰܡ,ܐܰܩܺܝܡ,ܐܶܬܬܩܺܝܡ
perfect,3FS,ܩܳܡܰܬ,ܐܶܬܩܰܝܡܰܬ,ܩܰܝܡܰܬ,ܐܶܬܩܰܝܡܰܬ,ܐܰܩܺܝܡܰܬ,ܐܶܬܬܩܺܝܡܰܬ
perfect,2MS,ܩܳܡܬ,ܐܶܬܩܰܝܰܡܬ,ܩܰܝܶܡܬ,ܐܶܬܩܰܝܰܡܬ,ܐܰܩܺܝܡܬ,ܐܶܬܬܩܺܝܡܬ
perfect,2FS,ܩܳܡܬܝ,ܐܶܬܩܰܝܰܡܬܝ,ܩܰܝܶܡܬܝ,ܐܶܬܩܰܝܰܡܬܝ,ܐܰܩܺܝܡܬܝ,ܐܶܬܩܺܝܡܬܝ
perfect,1S,ܩܳܡܶܬ,ܐܶܬܩܰܝܡܶܬ,ܩܰܝܡܶܬ,ܐܶܬܩܰܝܡܶܬ,ܐܰܩܺܝܡܶܬ,ܐܶܬܩܺܝܡܶܬ
perfect,3MP,ܩܳܡܘ,ܐܶܬܩܰܝܰܡܘ,ܩܰܝܶܡܘ,ܐܶܬܩܰܝܰܡܘ,ܐܰܩܺܝܡܘ,ܐܶܬܬܩܺܝܡܘ
perfect,3FP,ܩܳܡ̈ܝ,ܐܶܬܩܰܝܰܡ̈ܝ,ܩܰܝܶܡ̈ܝ,ܐܶܬܩܰܝܰܡ̈ܝ,ܐܰܩܺܝܡ̈ܝ,ܐܶܬܬܩܺܝܡ̈ܝ
perfect,2MP,ܩܳܡܬܽܘܢ,ܐܶܬܩܰܝܰܡܬܽܘܢ,ܩܰܝܶܡܬܽܘܢ,ܐܶܬܩܰܝܰܡܬܽܘܢ,ܐܰܩܺܝܡܬܽܘܢ,ܐܶܬܬܩܺܝܡܬܽܘܢ
perfect,2FP,ܩܳܡܬ̈ܶܝܢ,ܐܶܬܩܰܝܰܡ̈ܬܶܝܢ,ܩܰܝܶܡܬ̈ܶܝܢ,ܐܶܬܩܰܝܰܡ̈ܬܶܝܢ,ܐܰܩܺܝܡܬ̈ܶܝܢ,ܐܶܬܬܩܺܝܡ̈ܬܶܝܢ
perfect,1P,ܩܳܡܢ,ܐܶܬܩܰܝܰܡܢ,ܩܰܝܶܡܢ,ܐܶܬܩܰܝܰܡܢ,ܐܰܩܺܝܡܢ,ܐܶܬܬܩܺܝܡܢ
imperfect,3MS,ܢܩܽܘܡ,ܢܶܬܩܰܝܰܡ,ܢܩܰܝܶܡ,ܢܶܬܩܰܝܰܡ,ܢܩܺܝܡ,ܢܶܬܬܩܺܝܡ
imperfect,3FS,ܬܩܽܘܡ,ܬܶܬܩܰܝܰܡ,ܬܩܰܝܶܡ,ܬܶܬܩܰܝܰܡ,ܬܩܺܝܡ,ܬܶܬܬܩܺܝܡܝ
imperfect,2MS,ܬܩܽܘܡ,ܬܶܬܩܰܝܰܡ,ܬܩܰܝܶܡ,ܬܶܬܩܰܝܰܡ,ܬܩܺܝܡ,ܬܶܬܬܩܺܝܡ
imperfect,2FS,ܬܩܡܺܝܢ,ܬܶܬܩܰܝܡܺܝܢ,ܬܩܰܝܡܺܝܢ,ܬܶܬܩܰܝܡܺܝܢ,ܬܩܺܝܡܺܝܢ,ܬܶܬܬܩܺܝܡܺܝܢ
imperfect,1S,ܐܶܩܽܘܡ,ܐܶܬܩܰܝܰܡ,ܐܶܩܰܝܶܡ,ܐܶܬܩܰܝܰܡ,ܐܰܩܺܝܡ,ܐܶܬܬܩܺܝܡ
imperfect,3MP,ܢܩܽܘܡܽܘܢ,ܢܶܬܩܰܝܡܽܘܢ,ܢܩܰܝܡܽܘܢ,ܢܶܬܩܰܝܡܽܘܢ,ܢܩܺܝܡܽܘܢ,ܢܶܬܬܰܩܺܝܡܽܘܢ
imperfect,3FP,ܢܩ̈ܽܘܡܳܢ,ܢܶܬܩܰܝܡ̈ܳܢ,ܢܩܰܝܡ̈ܳܢ,ܢܶܬܩܰܝܡ̈ܳܢ,ܢܩܺܝܡ̈ܳܢ,ܢܶܬܬܰܩܺܝܡ̈ܳܢ
imperfect,2MP,ܬܩܽܘܡܽܘܢ,ܬܶܬܩܰܝܡܽܘܢ,ܬܩܰܝܡܽܘܢ,ܬܶܬܩܰܝܡܽܘܢ,ܬܩܺܝܡܽܘܢ,ܬܶܬܬܰܩܺܝܡܽܘܢ
imperfect,2FP,ܬܩ̈ܽܘܡܳܢ,ܬܶܬܩܰܝܡ̈ܳܢ,ܬܩܰܝܡ̈ܳܢ,ܬܶܬܩܰܝܡ̈ܳܢ,ܬܩܺܝܡ̈ܳܢ,ܬܶܬܬܰܩܺܝܡ̈ܳܢ
imperfect,1P,ܢܩܽܘܡ,ܢܶܬܩܰܝܰܡ,ܢܩܰܝܶܡ,ܢܶܬܩܰܝܰܡ,ܢܩܺܝܡ,ܢܶܬܬܰܩܺܝܡ
imperative,MS,ܩܽܘܡ,ܐܶܬܩܰܝܰܡ,ܩܰܝܶܡ,ܐܶܬܩܰܝܰܡ,ܐܰܩܺܝܡ,ܐܶܬܬܩܺܝܡ
imperative,FS,ܩܽܘܡܝ,ܐܶܬܩܰܝܰܡܝ,ܩܰܝܶܡܝ,ܐܶܬܩܰܝܰܡܝ,ܐܰܩܺܝܡܝ,ܐܶܬܬܩܺܝܡܝ
imperative,MP,ܩܽܘܡܘ,ܐܶܬܩܰܝܰܡܘ,ܩܰܝܶܡܘ,ܐܶܬܩܰܝܰܡܘ,ܐܰܩܺܝܡܘ,ܐܶܬܬܩܺܝܡܘ
imperative,FP,ܩܽܘܡ̈ܝ,ܐܶܬܩܰܝܰܡ̈ܝ,ܩܰܝܶܡ̈ܝ,ܐܶܬܩܰܝܰܡ̈ܝ,ܐܰܩܺܝܡ̈ܝ,ܐܶܬܬܩܺܝܡ̈ܝ
