ܪܡ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܪܳܡ,ܐܶܬܪܰܝܰܡ,ܪܰܝܶܡ,ܐܶܬܪܰܝܰܡ,ܐܰܪܺܝܡ,ܐܶܬܬܪܺܝܡ
perfect,3FS,ܪܳܡܰܬ,ܐܶܬܪܰܝܡܰܬ,ܪܰܝܡܰܬ,ܐܶܬܪܰܝܡܰܬ,ܐܰܪܺܝܡܰܬ,ܐܶܬܬܪܺܝܡܰܬ
perfect,2MS,ܪܳܡܬ,ܐܶܬܪܰܝܰܡܬ,ܪܰܝܶܡܬ,ܐܶܬܪܰܝܰܡܬ,ܐܰܪܺܝܡܬ,ܐܶܬܬܪܺܝܡܬ
perfect,2FS,ܪܳܡܬܝ,ܐܶܬܪܰܝܰܡܬܝ,ܪܰܝܶܡܬܝ,ܐܶܬܪܰܝܰܡܬܝ,ܐܰܪܺܝܡܬܝ,ܐܶܬܪܺܝܡܬܝ
perfect,1S,ܪܳܡܶܬ,ܐܶܬܪܰܝܡܶܬ,ܪܰܝܡܶܬ,ܐܶܬܪܰܝܡܶܬ,ܐܰܪܺܝܡܶܬ,ܐܶܬܪܺܝܡܶܬ
perfect,3MP,ܪܳܡܘ,ܐܶܬܪܰܝܰܡܘ,ܪܰܝܶܡܘ,ܐܶܬܪܰܝܰܡܘ,ܐܰܪܺܝܡܘ,ܐܶܬܬܪܺܝܡܘ
perfect,3FP,ܪܳܡ̈ܝ,ܐܶܬܪܰܝܰܡ̈ܝ,ܪܰܝܶܡ̈ܝ,ܐܶܬܪܰܝܰܡ̈ܝ,ܐܰܪܺܝܡ̈ܝ,ܐܶܬܬܪܺܝܡ̈ܝ
perfect,2MP,ܪܳܡܬܽܘܢ,ܐܶܬܪܰܝܰܡܬܽܘܢ,ܪܰܝܶܡܬܽܘܢ,ܐܶܬܪܰܝܰܡܬܽܘܢ,ܐܰܪܺܝܡܬܽܘܢ,ܐܶܬܬܪܺܝܡܬܽܘܢ
perfect,2FP,ܪܳܡܬ̈ܶܝܢ,ܐܶܬܪܰܝܰܡ̈ܬܶܝܢ,ܪܰܝܶܡܬ̈ܶܝܢ,ܐܶܬܪܰܝܰܡ̈ܬܶܝܢ,ܐܰܪܺܝܡܬ̈ܶܝܢ,ܐܶܬܬܪܺܝܡ̈ܬܶܝܢ
perfect,1P,ܪܳܡܢ,ܐܶܬܪܰܝܰܡܢ,ܪܰܝܶܡܢ,ܐܶܬܪܰܝܰܡܢ,ܐܰܪܺܝܡܢ,ܐܶܬܬܪܺܝܡܢ
imperfect,3MS,ܢܪܽܘܡ,ܢܶܬܪܰܝܰܡ,ܢܪܰܝܶܡ,ܢܶܬܪܰܝܰܡ,ܢܪܺܝܡ,ܢܶܬܬܪܺܝܡ
imperfect,3FS,ܬܪܽܘܡ,ܬܶܬܪܰܝܰܡ,ܬܪܰܝܶܡ,ܬܶܬܪܰܝܰܡ,ܬܪܺܝܡ,ܬܶܬܬܪܺܝܡܝ
imperfect,2MS,ܬܪܽܘܡ,ܬܶܬܪܰܝܰܡ,ܬܪܰܝܶܡ,ܬܶܬܪܰܝܰܡ,ܬܪܺܝܡ,ܬܶܬܬܪܺܝܡ
imperfect,2FS,ܬܪܡܺܝܢ,ܬܶܬܪܰܝܡܺܝܢ,ܬܪܰܝܡܺܝܢ,ܬܶܬܪܰܝܡܺܝܢ,ܬܪܺܝܡܺܝܢ,ܬܶܬܬܪܺܝܡܺܝܢ
imperfect,1S,ܐܶܪܽܘܡ,ܐܶܬܪܰܝܰܡ,ܐܶܪܰܝܶܡ,ܐܶܬܪܰܝܰܡ,ܐܰܪܺܝܡ,ܐܶܬܬܪܺܝܡ
imperfect,3MP,ܢܪܽܘܡܽܘܢ,ܢܶܬܪܰܝܡܽܘܢ,ܢܪܰܝܡܽܘܢ,ܢܶܬܪܰܝܡܽܘܢ,ܢܪܺܝܡܽܘܢ,ܢܶܬܬܰܪܺܝܡܽܘܢ
imperfect,3FP,ܢܪ̈ܽܘܡܳܢ,ܢܶܬܪܰܝܡ̈ܳܢ,ܢܪܰܝܡ̈ܳܢ,ܢܶܬܪܰܝܡ̈ܳܢ,ܢܪܺܝܡ̈ܳܢ,ܢܶܬܬܰܪܺܝܡ̈ܳܢ
