ܫܓ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܰܓ,,ܫܰܓܶܓ,ܐܶܫܬܰܓܰܓ,ܐܰܫܶܓ,ܐܶܬܫܰܬܰܓ
perfect,3FS,ܫܶܓܰܬ,,ܫܰܓܓܰܬ,ܐܶܫܬܰܓܓܰܬ,ܐܰܫܓܰܬ,ܐܶܬܫܰܬܓܰܬ
perfect,2MS,ܫܰܓܬ,,ܫܰܓܶܓܬ,ܐܶܫܬܰܓܰܓܬ,ܐܰܫܶܓܬ,ܐܶܬܫܰܬܰܓܬ
perfect,2FS,ܫܰܓܬܝ,,ܫܰܓܶܓܬܝ,ܐܶܫܬܰܓܰܓܬܝ,ܐܰܫܶܓܬܝ,ܐܶܬܫܰܬܓܬܝ
perfect,1S,ܫܶܓܶܬ,,ܫܰܓܓܶܬ,ܐܶܫܬܰܓܓܶܬ,ܐܰܫܓܶܬ,ܐܶܬܫܰܬܓܶܬ
perfect,3MP,ܫܰܓܘ,,ܫܰܓܶܓܘ,ܐܶܫܬܰܓܰܓܘ,ܐܰܫܶܓܘ,ܐܶܬܫܰܬܰܓܘ
perfect,3FP,ܫܰܓ̈ܝ,,ܫܰܓܶܓ̈ܝ,ܐܶܫܬܰܓܰܓ̈ܝ,ܐܰܫܶܓ̈ܝ,ܐܶܬܫܰܬܰܓ̈ܝ
perfect,2MP,ܫܰܓܬܽܘܢ,,ܫܰܓܶܓܬܽܘܢ,ܐܶܫܬܰܓܰܓܬܽܘܢ,ܐܰܫܶܓܬܽܘܢ,ܐܶܬܫܰܬܰܓܬܽܘܢ
perfect,2FP,ܫܰܓܬ̈ܶܝܢ,,ܫܰܓܶܓܬ̈ܶܝܢ,ܐܶܫܬܰܓܰܓ̈ܬܶܝܢ,ܐܰܫܶܓܬ̈ܶܝܢ,ܐܶܬܫܰܬܰܓ̈ܬܶܝܢ
perfect,1P,ܫܰܓܢ,,ܫܰܓܶܓܢ,ܐܶܫܬܰܓܰܓܢ,ܐܰܫܶܓܢ,ܐܶܬܫܰܬܰܓܢ
imperfect,3MS,ܢܶܫܽܘܓ,,ܢܫܰܓܶܓ,ܢܶܫܬܰܓܰܓ,ܢܰܫܶܓ,ܢܶܬܫܰܬܰܓ
imperfect,3FS,ܬܶܫܽܘܓ,,ܬܫܰܓܶܓ,ܬܶܫܬܰܓܰܓ,ܬܰܫܶܓ,ܬܶܬܫܰܬܰܓܝ
imperfect,2MS,ܬܶܫܽܘܓ,,ܬܫܰܓܶܓ,ܬܶܫܬܰܓܰܓ,ܬܰܫܶܓ,ܬܶܬܫܰܬܰܓ
imperfect,2FS,ܬܶܫܓܺܝܢ,,ܬܫܰܓܓܺܝܢ,ܬܶܫܬܰܓܓܺܝܢ,ܬܰܫܓܺܝܢ,ܬܶܬܫܰܬܰܓܺܝܢ
imperfect,1S,ܐܶܫܽܘܓ,,ܐܶܫܰܓܶܓ,ܐܶܫܬܰܓܰܓ,ܐܰܫܶܓ,ܐܶܬܫܰܬܰܓ
imperfect,3MP,ܢܶܫܓܽܘܢ,,ܢܫܰܓܓܽܘܢ,ܢܶܫܬܰܓܓܽܘܢ,ܢܰܫܓܽܘܢ,ܢܶܬܫܰܬܓܽܘܢ
imperfect,3FP,ܢܶܫ̈ܓܳܢ,,ܢܫܰܓܓ̈ܳܢ,ܢܶܫܬܰܓܓ̈ܳܢ,ܢܰܫܓ̈ܳܢ,ܢܶܬܫܰܬܓ̈ܳܢ
imperfect,2MP,ܬܶܫܓܽܘܢ,,ܬܫܰܓܓܽܘܢ,ܬܶܫܬܰܓܓܽܘܢ,ܬܰܫܓܽܘܢ,ܬܶܬܫܰܬܓܽܘܢ
imperfect,2FP,ܬܶܫ̈ܓܳܢ,,ܬܫܰܓܓ̈ܳܢ,ܬܶܫܬܰܓܓ̈ܳܢ,ܬܰܫܓ̈ܳܢ,ܬܶܬܫܰܬܓ̈ܳܢ
imperfect,1P,ܢܶܫܽܘܓ,,ܢܫܰܓܶܓ,ܢܶܫܬܰܓܰܓ,ܢܰܫܶܓ,ܢܶܬܫܰܬܰܓ
imperative,MS,ܫܽܘܓ,,ܫܰܓܶܓ,ܐܶܫܬܰܓܰܓ,ܐܰܫܶܓ,ܐܶܬܫܰܬܰܓ
imperative,FS,ܫܽܘܓܝ,,ܫܰܓܶܓܝ,ܐܶܫܬܰܓܰܓܝ,ܐܰܫܶܓܝ,ܐܶܬܫܰܬܰܓܝ
imperative,MP,ܫܽܘܓܘ,,ܫܰܓܶܓܘ,ܐܶܫܬܰܓܰܓܘ,ܐܰܫܶܓܘ,ܐܶܬܫܰܬܰܓܘ
imperative,FP,ܫܽܘܓ̈ܝ,,ܫܰܓܶܓ̈ܝ,ܐܶܫܬܰܓܰܓ̈ܝ,ܐܰܫܶܓ̈ܝ,ܐܶܬܫܰܬܰܓ̈ܝ
active-participle,MS,ܫܳܐܶܓ,,ܡܫܰܓܶܓ,ܡܶܫܬܰܓܰܓ,ܡܰܫܶܓ,ܡܶܬܫܰܬܰܓ
active-participle,FS,ܫܳܓܳܐ,,ܡܫܰܓܓܳܐ,ܡܶܫܬܰܓܓܳܐ,ܡܰܫܓܳܐ,ܡܶܬܫܰܬܓܳܐ
active-participle,MP,ܫܳܓܺܝܢ,,ܡܫܰܓܓܺܝܢ,ܡܶܫܬܰܓܓܺܝܢ,ܡܰܫܓܺܝܢ,ܡܶܬܫܰܬܰܓܺܝܢ
active-participle,FP,ܫܳܓ̈ܳܢ,,ܡܫܰܓܓ̈ܳܢ,ܡܶܫܬܰܓܓ̈ܳܢ,ܡܰܫܓ̈ܳܢ,ܡܶܬܫܰܬܰܓ̈ܳܢ
passive-participle,MS,ܫܓܺܝܓ,,ܡܫܰܓܰܓ,,ܡܰܫܰܓ,
passive-participle,FS,ܫܓܺܝܓܳܐ,,ܡܫܰܓܓܳܐ,,ܡܰܫܓܳܐ,
passive-participle,MP,ܫܓܺܝܓܺܝܢ,,ܡܫܰܓܓܺܝܢ,,ܡܰܫܓܺܝܢ,
passive-participle,FP,ܫܓܺܝܓ̈ܳܢ,,ܡܫܰܓ̈ܓܳܢ,,ܡܰܫ̈ܓܳܢ,
infinitive,,ܡܶܫܰܓ,,ܡܫܰܓܳܓܽܘ,ܡܶܫܬܰܓܳܓܽܘ,ܡܰܫܳܓܽܘ,ܡܶܬܫܰܬܳܓܽܘ
