ܒܛܠ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܒܛܶܠ,´ܶܬܒܛܶܠ,ܒܰܛܶܠ,ܐܶܬܒܰܛܰܠ,ܐܰܒܛܶܠ,ܐܶܬܬܰܒܛܰܠ
perfect,3FS,ܒܶܛܠܰܬ,ܐܶܬܒܰܛܠܰܬ,ܒܰܛܠܰܬ,ܐܶܬܒܰܛܠܰܬ,ܐܰܒܛܠܰܬ,ܐܶܬܬܰܒܛܠܰܬ
perfect,2MS,ܒܛܶܠܬ,ܐܶܬܒܛܶܠܬ,ܒܰܛܶܠܬ,ܐܶܬܒܰܛܰܠܬ,ܐܰܒܛܶܠܬ,ܐܶܬܬܰܒܛܰܠܬ
perfect,2FS,ܒܛܶܠܬܝ,ܐܶܬܒܛܶܠܬܝ,ܒܰܛܶܠܬܝ,ܐܶܬܒܰܛܰܠܬܝ,ܐܰܒܛܶܠܬܝ,ܐܶܬܰܒܛܰܠܬܝ
perfect,1CS,ܒܶܛܠܶܬ,ܐܶܬܒܰܛܠܶܬ,ܒܰܛܠܶܬ,ܐܶܬܒܰܛܠܶܬ,ܐܰܒܛܠܶܬ,ܐܶܬܰܒܛܠܶܬ
perfect,3MP,ܒܛܶܠܘ,ܐܶܬܒܛܶܠܘ,ܒܰܛܶܠܘ,ܐܶܬܒܰܛܰܠܘ,ܐܰܒܛܶܠܘ,ܐܶܬܬܰܒܛܰܠܘ
perfect,3FP,ܒܛܶܠ̈ܝ,ܐܶܬܒܛܶܠ̈ܝ,ܒܰܛܶܠ̈ܝ,ܐܶܬܒܰܛܰܠ̈ܝ,ܐܰܒܛܶܠ̈ܝ,ܐܶܬܬܰܒܛܰܠ̈ܝ
perfect,2MP,ܒܛܶܠܬܽܘܢ,ܐܶܬܒܛܶܠܬܽܘܢ,ܒܰܛܶܠܬܽܘܢ,ܐܶܬܒܰܛܰܠܬܽܘܢ,ܐܰܒܛܶܠܬܽܘܢ,ܐܶܬܬܰܒܛܰܠܬܽܘܢ
perfect,2FP,ܒܛܶܠܬ̈ܶܝܢ,ܐܶܬܒܛܶܠ̈ܬܶܝܢ,ܒܰܛܶܠܬ̈ܶܝܢ,ܐܶܬܒܰܛܰܠ̈ܬܶܝܢ,ܐܰܒܛܶܠܬ̈ܶܝܢ,ܐܶܬܬܰܒܛܰܠ̈ܬܶܝܢ
perfect,1CP,ܒܛܶܠܢ,ܐܶܬܒܛܶܠܢ,ܒܰܛܶܠܢ,ܐܶܬܒܰܛܰܠܢ,ܐܰܒܛܶܠܢ,ܐܶܬܬܰܒܛܰܠܢ
imperfect,3MS,ܢܶܒܛܰܠ,ܢܶܬܒܛܶܠ,ܢܒܰܛܶܠ,ܢܶܬܒܰܛܰܠ,ܢܰܒܛܶܠ,ܢܶܬܬܰܒܛܰܠ
imperfect,3FS,ܬܶܒܛܰܠ,ܬܶܬܒܛܶܠ,ܬܒܰܛܶܠ,ܬܶܬܒܰܛܰܠ,ܬܰܒܛܶܠ,ܬܶܬܰܒܛܰܠܝ
imperfect,2MS,ܬܶܒܛܰܠ,ܬܶܬܒܛܶܠ,ܬܒܰܛܶܠ,ܬܶܬܒܰܛܰܠ,ܬܰܒܛܶܠ,ܬܶܬܰܒܛܰܠ
imperfect,2FS,ܬܶܒܛܠܺܝܢ,ܬܶܬܒܰܛܠܺܝܢ,ܬܒܰܛܠܺܝܢ,ܬܶܬܒܰܛܠܺܝܢ,ܬܰܒܛܠܺܝܢ,ܬܶܬܰܒܛܠܺܝܢ
imperfect,1CS,ܐܶܒܛܰܠ,ܐܶܬܒܛܶܠ,ܐܶܒܰܛܶܠ,ܐܶܬܒܰܛܰܠ,ܐܰܒܛܶܠ,ܐܶܬܬܰܒܛܰܠ
