ܒܪܟ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܒܪܰܟ,´ܶܬܒܪܶܟ,ܒܰܪܶܟ,ܐܶܬܒܰܪܰܟ,ܐܰܒܪܶܟ,ܐܶܬܬܰܒܪܰܟ
perfect,3FS,ܒܶܪܟܰܬ,ܐܶܬܒܰܪܟܰܬ,ܒܰܪܟܰܬ,ܐܶܬܒܰܪܟܰܬ,ܐܰܒܪܟܰܬ,ܐܶܬܬܰܒܪܟܰܬ
perfect,2MS,ܒܪܰܟܬ,ܐܶܬܒܪܶܟܬ,ܒܰܪܶܟܬ,ܐܶܬܒܰܪܰܟܬ,ܐܰܒܪܶܟܬ,ܐܶܬܬܰܒܪܰܟܬ
perfect,2FS,ܒܪܰܟܬܝ,ܐܶܬܒܪܶܟܬܝ,ܒܰܪܶܟܬܝ,ܐܶܬܒܰܪܰܟܬܝ,ܐܰܒܪܶܟܬܝ,ܐܶܬܰܒܪܰܟܬܝ
perfect,1CS,ܒܶܪܟܶܬ,ܐܶܬܒܰܪܟܶܬ,ܒܰܪܟܶܬ,ܐܶܬܒܰܪܟܶܬ,ܐܰܒܪܟܶܬ,ܐܶܬܰܒܪܟܶܬ
perfect,3MP,ܒܪܰܟܘ,ܐܶܬܒܪܶܟܘ,ܒܰܪܶܟܘ,ܐܶܬܒܰܪܰܟܘ,ܐܰܒܪܶܟܘ,ܐܶܬܬܰܒܪܰܟܘ
perfect,3FP,ܒܪܰܟ̈ܝ,ܐܶܬܒܪܶܟ̈ܝ,ܒܰܪܶܟ̈ܝ,ܐܶܬܒܰܪܰܟ̈ܝ,ܐܰܒܪܶܟ̈ܝ,ܐܶܬܬܰܒܪܰܟ̈ܝ
perfect,2MP,ܒܪܰܟܬܽܘܢ,ܐܶܬܒܪܶܟܬܽܘܢ,ܒܰܪܶܟܬܽܘܢ,ܐܶܬܒܰܪܰܟܬܽܘܢ,ܐܰܒܪܶܟܬܽܘܢ,ܐܶܬܬܰܒܪܰܟܬܽܘܢ
perfect,2FP,ܒܪܰܟܬ̈ܶܝܢ,ܐܶܬܒܪܶܟ̈ܬܶܝܢ,ܒܰܪܶܟܬ̈ܶܝܢ,ܐܶܬܒܰܪܰܟ̈ܬܶܝܢ,ܐܰܒܪܶܟܬ̈ܶܝܢ,ܐܶܬܬܰܒܪܰܟ̈ܬܶܝܢ
perfect,1CP,ܒܪܰܟܢ,ܐܶܬܒܪܶܟܢ,ܒܰܪܶܟܢ,ܐܶܬܒܰܪܰܟܢ,ܐܰܒܪܶܟܢ,ܐܶܬܬܰܒܪܰܟܢ
imperfect,3MS,ܢܶܒܪܽܘܟ,ܢܶܬܒܪܶܟ,ܢܒܰܪܶܟ,ܢܶܬܒܰܪܰܟ,ܢܰܒܪܶܟ,ܢܶܬܬܰܒܪܰܟ
imperfect,3FS,ܬܶܒܪܽܘܟ,ܬܶܬܒܪܶܟ,ܬܒܰܪܶܟ,ܬܶܬܒܰܪܰܟ,ܬܰܒܪܶܟ,ܬܶܬܰܒܪܰܟܝ
imperfect,2MS,ܬܶܒܪܽܘܟ,ܬܶܬܒܪܶܟ,ܬܒܰܪܶܟ,ܬܶܬܒܰܪܰܟ,ܬܰܒܪܶܟ,ܬܶܬܰܒܪܰܟ
imperfect,2FS,ܬܶܒܪܟܺܝܢ,ܬܶܬܒܰܪܟܺܝܢ,ܬܒܰܪܟܺܝܢ,ܬܶܬܒܰܪܟܺܝܢ,ܬܰܒܪܟܺܝܢ,ܬܶܬܰܒܪܟܺܝܢ
imperfect,1CS,ܐܶܒܪܽܘܟ,ܐܶܬܒܪܶܟ,ܐܶܒܰܪܶܟ,ܐܶܬܒܰܪܰܟ,ܐܰܒܪܶܟ,ܐܶܬܬܰܒܪܰܟ
imperfect,3MP,ܢܶܒܪܟܽܘܢ,ܢܶܬܒܰܪܟܽܘܢ,ܢܒܰܪܟܽܘܢ,ܢܶܬܒܰܪܟܽܘܢ,ܢܰܒܪܟܽܘܢ,ܢܶܬܬܰܒܪܟܽܘܢ
imperfect,3FP,ܢܶܒ̈ܪܟܳܢ,ܢܶܬܒܰܪܟ̈ܳܢ,ܢܒܰܪܟ̈ܳܢ,ܢܶܬܒܰܪܟ̈ܳܢ,ܢܰܒܪܟ̈ܳܢ,ܢܶܬܬܰܒܪܟ̈ܳܢ
imperfect,2MP,ܬܶܒܪܟܽܘܢ,ܬܶܬܒܰܪܟܽܘܢ,ܬܒܰܪܟܽܘܢ,ܬܶܬܒܰܪܟܽܘܢ,ܬܰܒܪܟܽܘܢ,ܬܶܬܰܒܪܟܽܘܢ
imperfect,2FP,ܬܶܒ̈ܪܟܳܢ,ܬܶܬܒܰܪܟ̈ܳܢ,ܬܒܰܪܟ̈ܳܢ,ܬܶܬܒܰܪܟ̈ܳܢ,ܬܰܒܪܟ̈ܳܢ,ܬܶܬܰܒܪܟ̈ܳܢ
imperfect,1CP,ܢܶܒܪܽܘܟ,ܢܶܬܒܪܶܟ,ܢܒܰܪܶܟ,ܢܶܬܒܰܪܰܟ,ܢܰܒܪܶܟ,ܢܶܬܬܰܒܪܰܟ
imperative,MS,ܒܪܽܘܟ,ܐܶܬܒܰܪܟ,ܒܰܪܶܟ,ܐܶܬܒܰܪܰܟ,ܐܰܒܪܶܟ,ܐܶܬܬܰܒܪܰܟ
imperative,FS,ܒܪܽܘܟܝ,ܐܶܬܒܰܪܟܝ,ܒܰܪܶܟܝ,ܐܶܬܒܰܪܰܟܝ,ܐܰܒܪܶܟܝ,ܐܶܬܬܰܒܪܰܟܝ
imperative,MP,ܒܪܽܘܟܘ,ܐܶܬܒܰܪܟܘ,ܒܰܪܶܟܘ,ܐܶܬܒܰܪܰܟܘ,ܐܰܒܪܶܟܘ,ܐܶܬܬܰܒܪܰܟܘ
imperative,FP,ܒܪܽܘܟ̈ܝ,ܐܶܬܒܰܪܟ̈ܝ,ܒܰܪܶܟ̈ܝ,ܐܶܬܒܰܪܰܟ̈ܝ,ܐܰܒܪܶܟ̈ܝ,ܐܶܬܬܰܒܪܰܟ̈ܝ
active-participle,MS,ܒܳܪܶܟ,ܡܶܬܒܪܶܟ,ܡܒܰܪܶܟ,ܡܶܬܒܰܪܰܟ,ܡܰܒܪܶܟ,ܡܶܬܬܰܒܪܰܟ
active-participle,FS,ܒܳܪܟܳܐ,ܡܶܬܒܰܪܟܳܐ,ܡܒܰܪܟܳܐ,ܡܶܬܒܰܪܟܳܐ,ܡܰܒܪܟܳܐ,ܡܶܬܬܰܒܪܟܳܐ
active-participle,MP,ܒܳܪܟܺܝܢ,ܡܶܬܒܰܪܟܺܝܢ,ܡܒܰܪܟܺܝܢ,ܡܶܬܒܰܪܟܺܝܢ,ܡܰܒܪܟܺܝܢ,ܡܶܬܬܰܒܪܟܺܝܢ
active-participle,FP,ܒܳܪ̈ܟܳܢ,ܡܶܬܒܰܪ̈ܟܳܢ,ܡܒܰܪ̈ܟܳܢ,ܡܶܬܒܰܪܟ̈ܳܢ,ܡܰܒܪܟ̈ܳܢ,ܡܶܬܬܰܒܪܟ̈ܳܢ
