ܓܡܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܓܡܰܪ,ܐܶܬܓܡܰܪ,ܓܰܡܰܪ,ܐܶܬܓܰܡܰܪ,ܐܰܓܡܰܪ,ܐܶܬܬܰܓܡܰܪ
perfect,3FS,ܓܶܡܪܰܬ,ܐܶܬܓܰܡܪܰܬ,ܓܰܡܪܰܬ,ܐܶܬܓܰܡܪܰܬ,ܐܰܓܡܪܰܬ,ܐܶܬܬܰܓܡܪܰܬ
perfect,2MS,ܓܡܰܪܬ,ܐܶܬܓܡܰܪܬ,ܓܰܡܰܪܬ,ܐܶܬܓܰܡܰܪܬ,ܐܰܓܡܰܪܬ,ܐܶܬܬܰܓܡܰܪܬ
perfect,2FS,ܓܡܰܪܬܝ,ܐܶܬܓܡܰܪܬܝ,ܓܰܡܰܪܬܝ,ܐܶܬܓܰܡܰܪܬܝ,ܐܰܓܡܰܪܬܝ,ܐܶܬܰܓܡܰܪܬܝ
perfect,1CS,ܓܶܡܪܶܬ,ܐܶܬܓܰܡܪܶܬ,ܓܰܡܪܶܬ,ܐܶܬܓܰܡܪܶܬ,ܐܰܓܡܪܶܬ,ܐܶܬܰܓܡܪܶܬ
perfect,3MP,ܓܡܰܪܘ,ܐܶܬܓܡܰܪܘ,ܓܰܡܰܪܘ,ܐܶܬܓܰܡܰܪܘ,ܐܰܓܡܰܪܘ,ܐܶܬܬܰܓܡܰܪܘ
perfect,3FP,ܓܡܰܪ̈ܝ,ܐܶܬܓܡܰܪ̈ܝ,ܓܰܡܰܪ̈ܝ,ܐܶܬܓܰܡܰܪ̈ܝ,ܐܰܓܡܰܪ̈ܝ,ܐܶܬܬܰܓܡܰܪ̈ܝ
perfect,2MP,ܓܡܰܪܬܽܘܢ,ܐܶܬܓܡܰܪܬܽܘܢ,ܓܰܡܰܪܬܽܘܢ,ܐܶܬܓܰܡܰܪܬܽܘܢ,ܐܰܓܡܰܪܬܽܘܢ,ܐܶܬܬܰܓܡܰܪܬܽܘܢ
perfect,2FP,ܓܡܰܪܬ̈ܶܝܢ,ܐܶܬܓܡܰܪ̈ܬܶܝܢ,ܓܰܡܰܪܬ̈ܶܝܢ,ܐܶܬܓܰܡܰܪ̈ܬܶܝܢ,ܐܰܓܡܰܪܬ̈ܶܝܢ,ܐܶܬܬܰܓܡܰܪ̈ܬܶܝܢ
