ܕܚܠ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܕܚܶܠ,´ܶܬܕܚܶܠ,ܕܰܚܶܠ,ܐܶܬܕܰܚܰܠ,ܐܰܕܚܶܠ,ܐܶܬܬܰܕܚܰܠ
perfect,3FS,ܕܶܚܠܰܬ,ܐܶܬܕܰܚܠܰܬ,ܕܰܚܠܰܬ,ܐܶܬܕܰܚܠܰܬ,ܐܰܕܚܠܰܬ,ܐܶܬܬܰܕܚܠܰܬ
perfect,2MS,ܕܚܶܠܬ,ܐܶܬܕܚܶܠܬ,ܕܰܚܶܠܬ,ܐܶܬܕܰܚܰܠܬ,ܐܰܕܚܶܠܬ,ܐܶܬܬܰܕܚܰܠܬ
perfect,2FS,ܕܚܶܠܬܝ,ܐܶܬܕܚܶܠܬܝ,ܕܰܚܶܠܬܝ,ܐܶܬܕܰܚܰܠܬܝ,ܐܰܕܚܶܠܬܝ,ܐܶܬܰܕܚܰܠܬܝ
perfect,1CS,ܕܶܚܠܶܬ,ܐܶܬܕܰܚܠܶܬ,ܕܰܚܠܶܬ,ܐܶܬܕܰܚܠܶܬ,ܐܰܕܚܠܶܬ,ܐܶܬܰܕܚܠܶܬ
perfect,3MP,ܕܚܶܠܘ,ܐܶܬܕܚܶܠܘ,ܕܰܚܶܠܘ,ܐܶܬܕܰܚܰܠܘ,ܐܰܕܚܶܠܘ,ܐܶܬܬܰܕܚܰܠܘ
perfect,3FP,ܕܚܶܠ̈ܝ,ܐܶܬܕܚܶܠ̈ܝ,ܕܰܚܶܠ̈ܝ,ܐܶܬܕܰܚܰܠ̈ܝ,ܐܰܕܚܶܠ̈ܝ,ܐܶܬܬܰܕܚܰܠ̈ܝ
perfect,2MP,ܕܚܶܠܬܽܘܢ,ܐܶܬܕܚܶܠܬܽܘܢ,ܕܰܚܶܠܬܽܘܢ,ܐܶܬܕܰܚܰܠܬܽܘܢ,ܐܰܕܚܶܠܬܽܘܢ,ܐܶܬܬܰܕܚܰܠܬܽܘܢ
perfect,2FP,ܕܚܶܠܬ̈ܶܝܢ,ܐܶܬܕܚܶܠ̈ܬܶܝܢ,ܕܰܚܶܠܬ̈ܶܝܢ,ܐܶܬܕܰܚܰܠ̈ܬܶܝܢ,ܐܰܕܚܶܠܬ̈ܶܝܢ,ܐܶܬܬܰܕܚܰܠ̈ܬܶܝܢ
perfect,1CP,ܕܚܶܠܢ,ܐܶܬܕܚܶܠܢ,ܕܰܚܶܠܢ,ܐܶܬܕܰܚܰܠܢ,ܐܰܕܚܶܠܢ,ܐܶܬܬܰܕܚܰܠܢ
imperfect,3MS,ܢܶܕܚܰܠ,ܢܶܬܕܚܶܠ,ܢܕܰܚܶܠ,ܢܶܬܕܰܚܰܠ,ܢܰܕܚܶܠ,ܢܶܬܬܰܕܚܰܠ
imperfect,3FS,ܬܶܕܚܰܠ,ܬܶܬܕܚܶܠ,ܬܕܰܚܶܠ,ܬܶܬܕܰܚܰܠ,ܬܰܕܚܶܠ,ܬܶܬܰܕܚܰܠܝ
imperfect,2MS,ܬܶܕܚܰܠ,ܬܶܬܕܚܶܠ,ܬܕܰܚܶܠ,ܬܶܬܕܰܚܰܠ,ܬܰܕܚܶܠ,ܬܶܬܰܕܚܰܠ
imperfect,2FS,ܬܶܕܚܠܺܝܢ,ܬܶܬܕܰܚܠܺܝܢ,ܬܕܰܚܠܺܝܢ,ܬܶܬܕܰܚܠܺܝܢ,ܬܰܕܚܠܺܝܢ,ܬܶܬܰܕܚܠܺܝܢ
imperfect,1CS,ܐܶܕܚܰܠ,ܐܶܬܕܚܶܠ,ܐܶܕܰܚܶܠ,ܐܶܬܕܰܚܰܠ,ܐܰܕܚܶܠ,ܐܶܬܬܰܕܚܰܠ
