ܕܡܟ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܕܡܶܟ,´ܶܬܕܡܶܟ,ܕܰܡܶܟ,ܐܶܬܕܰܡܰܟ,ܐܰܕܡܶܟ,ܐܶܬܬܰܕܡܰܟ
perfect,3FS,ܕܶܡܟܰܬ,ܐܶܬܕܰܡܟܰܬ,ܕܰܡܟܰܬ,ܐܶܬܕܰܡܟܰܬ,ܐܰܕܡܟܰܬ,ܐܶܬܬܰܕܡܟܰܬ
perfect,2MS,ܕܡܶܟܬ,ܐܶܬܕܡܶܟܬ,ܕܰܡܶܟܬ,ܐܶܬܕܰܡܰܟܬ,ܐܰܕܡܶܟܬ,ܐܶܬܬܰܕܡܰܟܬ
perfect,2FS,ܕܡܶܟܬܝ,ܐܶܬܕܡܶܟܬܝ,ܕܰܡܶܟܬܝ,ܐܶܬܕܰܡܰܟܬܝ,ܐܰܕܡܶܟܬܝ,ܐܶܬܰܕܡܰܟܬܝ
perfect,1CS,ܕܶܡܟܶܬ,ܐܶܬܕܰܡܟܶܬ,ܕܰܡܟܶܬ,ܐܶܬܕܰܡܟܶܬ,ܐܰܕܡܟܶܬ,ܐܶܬܰܕܡܟܶܬ
perfect,3MP,ܕܡܶܟܘ,ܐܶܬܕܡܶܟܘ,ܕܰܡܶܟܘ,ܐܶܬܕܰܡܰܟܘ,ܐܰܕܡܶܟܘ,ܐܶܬܬܰܕܡܰܟܘ
perfect,3FP,ܕܡܶܟ̈ܝ,ܐܶܬܕܡܶܟ̈ܝ,ܕܰܡܶܟ̈ܝ,ܐܶܬܕܰܡܰܟ̈ܝ,ܐܰܕܡܶܟ̈ܝ,ܐܶܬܬܰܕܡܰܟ̈ܝ
perfect,2MP,ܕܡܶܟܬܽܘܢ,ܐܶܬܕܡܶܟܬܽܘܢ,ܕܰܡܶܟܬܽܘܢ,ܐܶܬܕܰܡܰܟܬܽܘܢ,ܐܰܕܡܶܟܬܽܘܢ,ܐܶܬܬܰܕܡܰܟܬܽܘܢ
perfect,2FP,ܕܡܶܟܬ̈ܶܝܢ,ܐܶܬܕܡܶܟ̈ܬܶܝܢ,ܕܰܡܶܟܬ̈ܶܝܢ,ܐܶܬܕܰܡܰܟ̈ܬܶܝܢ,ܐܰܕܡܶܟܬ̈ܶܝܢ,ܐܶܬܬܰܕܡܰܟ̈ܬܶܝܢ
perfect,1CP,ܕܡܶܟܢ,ܐܶܬܕܡܶܟܢ,ܕܰܡܶܟܢ,ܐܶܬܕܰܡܰܟܢ,ܐܰܕܡܶܟܢ,ܐܶܬܬܰܕܡܰܟܢ
imperfect,3MS,ܢܶܕܡܰܟ,ܢܶܬܕܡܶܟ,ܢܕܰܡܶܟ,ܢܶܬܕܰܡܰܟ,ܢܰܕܡܶܟ,ܢܶܬܬܰܕܡܰܟ
imperfect,3FS,ܬܶܕܡܰܟ,ܬܶܬܕܡܶܟ,ܬܕܰܡܶܟ,ܬܶܬܕܰܡܰܟ,ܬܰܕܡܶܟ,ܬܶܬܰܕܡܰܟܝ
imperfect,2MS,ܬܶܕܡܰܟ,ܬܶܬܕܡܶܟ,ܬܕܰܡܶܟ,ܬܶܬܕܰܡܰܟ,ܬܰܕܡܶܟ,ܬܶܬܰܕܡܰܟ
