ܕܡܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܕܡܰܪ,ܐܶܬܕܡܰܪ,ܕܰܡܰܪ,ܐܶܬܕܰܡܰܪ,ܐܰܕܡܰܪ,ܐܶܬܬܰܕܡܰܪ
perfect,3FS,ܕܶܡܪܰܬ,ܐܶܬܕܰܡܪܰܬ,ܕܰܡܪܰܬ,ܐܶܬܕܰܡܪܰܬ,ܐܰܕܡܪܰܬ,ܐܶܬܬܰܕܡܪܰܬ
perfect,2MS,ܕܡܰܪܬ,ܐܶܬܕܡܰܪܬ,ܕܰܡܰܪܬ,ܐܶܬܕܰܡܰܪܬ,ܐܰܕܡܰܪܬ,ܐܶܬܬܰܕܡܰܪܬ
perfect,2FS,ܕܡܰܪܬܝ,ܐܶܬܕܡܰܪܬܝ,ܕܰܡܰܪܬܝ,ܐܶܬܕܰܡܰܪܬܝ,ܐܰܕܡܰܪܬܝ,ܐܶܬܰܕܡܰܪܬܝ
perfect,1S,ܕܶܡܪܶܬ,ܐܶܬܕܰܡܪܶܬ,ܕܰܡܪܶܬ,ܐܶܬܕܰܡܪܶܬ,ܐܰܕܡܪܶܬ,ܐܶܬܰܕܡܪܶܬ
perfect,3MP,ܕܡܰܪܘ,ܐܶܬܕܡܰܪܘ,ܕܰܡܰܪܘ,ܐܶܬܕܰܡܰܪܘ,ܐܰܕܡܰܪܘ,ܐܶܬܬܰܕܡܰܪܘ
perfect,3FP,ܕܡܰܪ̈ܝ,ܐܶܬܕܡܰܪ̈ܝ,ܕܰܡܰܪ̈ܝ,ܐܶܬܕܰܡܰܪ̈ܝ,ܐܰܕܡܰܪ̈ܝ,ܐܶܬܬܰܕܡܰܪ̈ܝ
perfect,2MP,ܕܡܰܪܬܽܘܢ,ܐܶܬܕܡܰܪܬܽܘܢ,ܕܰܡܰܪܬܽܘܢ,ܐܶܬܕܰܡܰܪܬܽܘܢ,ܐܰܕܡܰܪܬܽܘܢ,ܐܶܬܬܰܕܡܰܪܬܽܘܢ
perfect,2FP,ܕܡܰܪܬ̈ܶܝܢ,ܐܶܬܕܡܰܪ̈ܬܶܝܢ,ܕܰܡܰܪܬ̈ܶܝܢ,ܐܶܬܕܰܡܰܪ̈ܬܶܝܢ,ܐܰܕܡܰܪܬ̈ܶܝܢ,ܐܶܬܬܰܕܡܰܪ̈ܬܶܝܢ
perfect,1P,ܕܡܰܪܢ,ܐܶܬܕܡܰܪܢ,ܕܰܡܰܪܢ,ܐܶܬܕܰܡܰܪܢ,ܐܰܕܡܰܪܢ,ܐܶܬܬܰܕܡܰܪܢ
imperfect,3MS,ܢܶܕܡܽܘܪ,ܢܶܬܕܡܰܪ,ܢܕܰܡܰܪ,ܢܶܬܕܰܡܰܪ,ܢܰܕܡܰܪ,ܢܶܬܬܰܕܡܰܪ
imperfect,3FS,ܬܶܕܡܽܘܪ,ܬܶܬܕܡܰܪ,ܬܕܰܡܰܪ,ܬܶܬܕܰܡܰܪ,ܬܰܕܡܰܪ,ܬܶܬܬܰܕܡܰܪܝ
imperfect,2MS,ܬܶܕܡܽܘܪ,ܬܶܬܕܡܰܪ,ܬܕܰܡܰܪ,ܬܶܬܕܰܡܰܪ,ܬܰܕܡܰܪ,ܬܶܬܬܰܕܡܰܪ
imperfect,2FS,ܬܶܕܡܪܺܝܢ,ܬܶܬܕܰܡܪܺܝܢ,ܬܕܰܡܪܺܝܢ,ܬܶܬܕܰܡܪܺܝܢ,ܬܰܕܡܪܺܝܢ,ܬܶܬܬܰܕܡܪܺܝܢ
imperfect,1S,ܐܶܕܡܽܘܪ,ܐܶܬܕܡܰܪ,ܐܶܕܰܡܰܪ,ܐܶܬܕܰܡܰܪ,ܐܰܕܡܰܪ,ܐܶܬܬܰܕܡܰܪ
imperfect,3MP,ܢܶܕܡܪܽܘܢ,ܢܶܬܕܰܡܪܽܘܢ,ܢܕܰܡܪܽܘܢ,ܢܶܬܕܰܡܪܽܘܢ,ܢܰܕܡܪܽܘܢ,ܢܶܬܬܰܕܡܪܽܘܢ
imperfect,3FP,ܢܶܕ̈ܡܪܳܢ,ܢܶܬܕܰܡܪ̈ܳܢ,ܢܕܰܡܪ̈ܳܢ,ܢܶܬܕܰܡܪ̈ܳܢ,ܢܰܕܡܪ̈ܳܢ,ܢܶܬܬܰܕܡܪ̈ܳܢ
imperfect,2MP,ܬܶܕܡܪܽܘܢ,ܬܶܬܕܰܡܪܽܘܢ,ܬܕܰܡܪܽܘܢ,ܬܶܬܕܰܡܪܽܘܢ,ܬܰܕܡܪܽܘܢ,ܬܶܬܬܰܕܡܪܽܘܢ
imperfect,2FP,ܬܶܕ̈ܡܪܳܢ,ܬܶܬܕܰܡܪ̈ܳܢ,ܬܕܰܡܪ̈ܳܢ,ܬܶܬܕܰܡܪ̈ܳܢ,ܬܰܕܡܪ̈ܳܢ,ܬܶܬܬܰܕܡܪ̈ܳܢ
imperfect,1P,ܢܶܕܡܽܘܪ,ܢܶܬܕܡܰܪ,ܢܕܰܡܰܪ,ܢܶܬܕܰܡܰܪ,ܢܰܕܡܰܪ,ܢܶܬܬܰܕܡܰܪ
imperative,MS,ܕܡܽܘܪ,ܐܶܬܕܰܡܪ,ܕܰܡܰܪ,ܐܶܬܕܰܡܰܪ,ܐܰܕܡܰܪ,ܐܶܬܬܰܕܡܰܪ
imperative,FS,ܕܡܽܘܪܝ,ܐܶܬܕܰܡܪܝ,ܕܰܡܰܪܝ,ܐܶܬܕܰܡܰܪܝ,ܐܰܕܡܰܪܝ,ܐܶܬܬܰܕܡܰܪܝ
imperative,MP,ܕܡܽܘܪܘ,ܐܶܬܕܰܡܪܘ,ܕܰܡܰܪܘ,ܐܶܬܕܰܡܰܪܘ,ܐܰܕܡܰܪܘ,ܐܶܬܬܰܕܡܰܪܘ
imperative,FP,ܕܡܽܘܪ̈ܝ,ܐܶܬܕܰܡܪ̈ܝ,ܕܰܡܰܪ̈ܝ,ܐܶܬܕܰܡܰܪ̈ܝ,ܐܰܕܡܰܪ̈ܝ,ܐܶܬܬܰܕܡܰܪ̈ܝ
active-participle,MS,ܕܳܡܰܪ,ܡܶܬܕܡܰܪ,ܡܕܰܡܰܪ,ܡܶܬܕܰܡܰܪ,ܡܰܕܡܰܪ,ܡܶܬܬܰܕܡܰܪ
active-participle,FS,ܕܳܡܪܳܐ,ܡܶܬܕܰܡܪܳܐ,ܡܕܰܡܪܳܐ,ܡܶܬܕܰܡܪܳܐ,ܡܰܕܡܪܳܐ,ܡܶܬܬܰܕܡܪܳܐ
active-participle,MP,ܕܳܡܪܺܝܢ,ܡܶܬܕܰܡܪܺܝܢ,ܡܕܰܡܪܺܝܢ,ܡܶܬܕܰܡܪܺܝܢ,ܡܰܕܡܪܺܝܢ,ܡܶܬܬܰܕܡܪܺܝܢ
active-participle,FP,ܕܳܡ̈ܪܳܢ,ܡܶܬܕܰܡܪ̈ܳܢ,ܡܕܰܡܪ̈ܳܢ,ܡܶܬܕܰܡܪ̈ܳܢ,ܡܰܕܡܪ̈ܳܢ,ܡܶܬܬܰܕܡܪ̈ܳܢ
passive-participle,MS,ܕܡܺܝܪ,,ܡܕܰܡܰܪ,,ܡܰܕܡܰܪ,
passive-participle,FS,ܕܡܺܝܪܳܐ,,ܡܕܰܡܪܳܐ,,ܡܰܕܡܪܳܐ,
passive-participle,MP,ܕܡܺܝܪܺܝܢ,,ܡܕܰܡܪܺܝܢ,,ܡܰܕܡܪܺܝܢ,
passive-participle,FP,ܕܡܺܝ̈ܪܳܢ,,ܡܕܰܡ̈ܪܳܢ,,ܡܰܕܡ̈ܪܳܢ,
infinitive,,ܡܶܕܡܰܪ,ܡܶܬܕܡܳܪܽܘ,ܡܕܰܡܳܪܽܘ,ܡܶܬܕܰܡܳܪܽܘ,ܡܰܕܡܳܪܽܘ,ܡܶܬܬܰܕܡܳܪܽܘ
