ܕܥܟ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܕܥܶܟ,´ܶܬܕܥܶܟ,ܕܰܥܶܟ,ܐܶܬܕܰܥܰܟ,ܐܰܕܥܶܟ,ܐܶܬܬܰܕܥܰܟ
perfect,3FS,ܕܶܥܟܰܬ,ܐܶܬܕܰܥܟܰܬ,ܕܰܥܟܰܬ,ܐܶܬܕܰܥܟܰܬ,ܐܰܕܥܟܰܬ,ܐܶܬܬܰܕܥܟܰܬ
perfect,2MS,ܕܥܶܟܬ,ܐܶܬܕܥܶܟܬ,ܕܰܥܶܟܬ,ܐܶܬܕܰܥܰܟܬ,ܐܰܕܥܶܟܬ,ܐܶܬܬܰܕܥܰܟܬ
perfect,2FS,ܕܥܶܟܬܝ,ܐܶܬܕܥܶܟܬܝ,ܕܰܥܶܟܬܝ,ܐܶܬܕܰܥܰܟܬܝ,ܐܰܕܥܶܟܬܝ,ܐܶܬܰܕܥܰܟܬܝ
perfect,1CS,ܕܶܥܟܶܬ,ܐܶܬܕܰܥܟܶܬ,ܕܰܥܟܶܬ,ܐܶܬܕܰܥܟܶܬ,ܐܰܕܥܟܶܬ,ܐܶܬܰܕܥܟܶܬ
perfect,3MP,ܕܥܶܟܘ,ܐܶܬܕܥܶܟܘ,ܕܰܥܶܟܘ,ܐܶܬܕܰܥܰܟܘ,ܐܰܕܥܶܟܘ,ܐܶܬܬܰܕܥܰܟܘ
perfect,3FP,ܕܥܶܟ̈ܝ,ܐܶܬܕܥܶܟ̈ܝ,ܕܰܥܶܟ̈ܝ,ܐܶܬܕܰܥܰܟ̈ܝ,ܐܰܕܥܶܟ̈ܝ,ܐܶܬܬܰܕܥܰܟ̈ܝ
perfect,2MP,ܕܥܶܟܬܽܘܢ,ܐܶܬܕܥܶܟܬܽܘܢ,ܕܰܥܶܟܬܽܘܢ,ܐܶܬܕܰܥܰܟܬܽܘܢ,ܐܰܕܥܶܟܬܽܘܢ,ܐܶܬܬܰܕܥܰܟܬܽܘܢ
perfect,2FP,ܕܥܶܟܬ̈ܶܝܢ,ܐܶܬܕܥܶܟ̈ܬܶܝܢ,ܕܰܥܶܟܬ̈ܶܝܢ,ܐܶܬܕܰܥܰܟ̈ܬܶܝܢ,ܐܰܕܥܶܟܬ̈ܶܝܢ,ܐܶܬܬܰܕܥܰܟ̈ܬܶܝܢ
perfect,1CP,ܕܥܶܟܢ,ܐܶܬܕܥܶܟܢ,ܕܰܥܶܟܢ,ܐܶܬܕܰܥܰܟܢ,ܐܰܕܥܶܟܢ,ܐܶܬܬܰܕܥܰܟܢ
imperfect,3MS,ܢܶܕܥܰܟ,ܢܶܬܕܥܶܟ,ܢܕܰܥܶܟ,ܢܶܬܕܰܥܰܟ,ܢܰܕܥܶܟ,ܢܶܬܬܰܕܥܰܟ
