ܗܠܟ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܗܠܰܟ,´ܶܬܗܠܶܟ,ܗܰܠܶܟ,ܐܶܬܗܰܠܰܟ,ܐܰܗܠܶܟ,ܐܶܬܬܰܗܠܰܟ
perfect,3FS,ܗܶܠܟܰܬ,ܐܶܬܗܰܠܟܰܬ,ܗܰܠܟܰܬ,ܐܶܬܗܰܠܟܰܬ,ܐܰܗܠܟܰܬ,ܐܶܬܬܰܗܠܟܰܬ
perfect,2MS,ܗܠܰܟܬ,ܐܶܬܗܠܶܟܬ,ܗܰܠܶܟܬ,ܐܶܬܗܰܠܰܟܬ,ܐܰܗܠܶܟܬ,ܐܶܬܬܰܗܠܰܟܬ
perfect,2FS,ܗܠܰܟܬܝ,ܐܶܬܗܠܶܟܬܝ,ܗܰܠܶܟܬܝ,ܐܶܬܗܰܠܰܟܬܝ,ܐܰܗܠܶܟܬܝ,ܐܶܬܰܗܠܰܟܬܝ
perfect,1CS,ܗܶܠܟܶܬ,ܐܶܬܗܰܠܟܶܬ,ܗܰܠܟܶܬ,ܐܶܬܗܰܠܟܶܬ,ܐܰܗܠܟܶܬ,ܐܶܬܰܗܠܟܶܬ
perfect,3MP,ܗܠܰܟܘ,ܐܶܬܗܠܶܟܘ,ܗܰܠܶܟܘ,ܐܶܬܗܰܠܰܟܘ,ܐܰܗܠܶܟܘ,ܐܶܬܬܰܗܠܰܟܘ
perfect,3FP,ܗܠܰܟ̈ܝ,ܐܶܬܗܠܶܟ̈ܝ,ܗܰܠܶܟ̈ܝ,ܐܶܬܗܰܠܰܟ̈ܝ,ܐܰܗܠܶܟ̈ܝ,ܐܶܬܬܰܗܠܰܟ̈ܝ
perfect,2MP,ܗܠܰܟܬܽܘܢ,ܐܶܬܗܠܶܟܬܽܘܢ,ܗܰܠܶܟܬܽܘܢ,ܐܶܬܗܰܠܰܟܬܽܘܢ,ܐܰܗܠܶܟܬܽܘܢ,ܐܶܬܬܰܗܠܰܟܬܽܘܢ
perfect,2FP,ܗܠܰܟܬ̈ܶܝܢ,ܐܶܬܗܠܶܟ̈ܬܶܝܢ,ܗܰܠܶܟܬ̈ܶܝܢ,ܐܶܬܗܰܠܰܟ̈ܬܶܝܢ,ܐܰܗܠܶܟܬ̈ܶܝܢ,ܐܶܬܬܰܗܠܰܟ̈ܬܶܝܢ
