ܗܦܟ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܗܦܰܟ,´ܶܬܗܦܶܟ,ܗܰܦܶܟ,ܐܶܬܗܰܦܰܟ,ܐܰܗܦܶܟ,ܐܶܬܬܰܗܦܰܟ
perfect,3FS,ܗܶܦܟܰܬ,ܐܶܬܗܰܦܟܰܬ,ܗܰܦܟܰܬ,ܐܶܬܗܰܦܟܰܬ,ܐܰܗܦܟܰܬ,ܐܶܬܬܰܗܦܟܰܬ
perfect,2MS,ܗܦܰܟܬ,ܐܶܬܗܦܶܟܬ,ܗܰܦܶܟܬ,ܐܶܬܗܰܦܰܟܬ,ܐܰܗܦܶܟܬ,ܐܶܬܬܰܗܦܰܟܬ
perfect,2FS,ܗܦܰܟܬܝ,ܐܶܬܗܦܶܟܬܝ,ܗܰܦܶܟܬܝ,ܐܶܬܗܰܦܰܟܬܝ,ܐܰܗܦܶܟܬܝ,ܐܶܬܰܗܦܰܟܬܝ
perfect,1CS,ܗܶܦܟܶܬ,ܐܶܬܗܰܦܟܶܬ,ܗܰܦܟܶܬ,ܐܶܬܗܰܦܟܶܬ,ܐܰܗܦܟܶܬ,ܐܶܬܰܗܦܟܶܬ
perfect,3MP,ܗܦܰܟܘ,ܐܶܬܗܦܶܟܘ,ܗܰܦܶܟܘ,ܐܶܬܗܰܦܰܟܘ,ܐܰܗܦܶܟܘ,ܐܶܬܬܰܗܦܰܟܘ
perfect,3FP,ܗܦܰܟ̈ܝ,ܐܶܬܗܦܶܟ̈ܝ,ܗܰܦܶܟ̈ܝ,ܐܶܬܗܰܦܰܟ̈ܝ,ܐܰܗܦܶܟ̈ܝ,ܐܶܬܬܰܗܦܰܟ̈ܝ
perfect,2MP,ܗܦܰܟܬܽܘܢ,ܐܶܬܗܦܶܟܬܽܘܢ,ܗܰܦܶܟܬܽܘܢ,ܐܶܬܗܰܦܰܟܬܽܘܢ,ܐܰܗܦܶܟܬܽܘܢ,ܐܶܬܬܰܗܦܰܟܬܽܘܢ
perfect,2FP,ܗܦܰܟܬ̈ܶܝܢ,ܐܶܬܗܦܶܟ̈ܬܶܝܢ,ܗܰܦܶܟܬ̈ܶܝܢ,ܐܶܬܗܰܦܰܟ̈ܬܶܝܢ,ܐܰܗܦܶܟܬ̈ܶܝܢ,ܐܶܬܬܰܗܦܰܟ̈ܬܶܝܢ
perfect,1CP,ܗܦܰܟܢ,ܐܶܬܗܦܶܟܢ,ܗܰܦܶܟܢ,ܐܶܬܗܰܦܰܟܢ,ܐܰܗܦܶܟܢ,ܐܶܬܬܰܗܦܰܟܢ
imperfect,3MS,ܢܶܗܦܽܘܟ,ܢܶܬܗܦܶܟ,ܢܗܰܦܶܟ,ܢܶܬܗܰܦܰܟ,ܢܰܗܦܶܟ,ܢܶܬܬܰܗܦܰܟ
imperfect,3FS,ܬܶܗܦܽܘܟ,ܬܶܬܗܦܶܟ,ܬܗܰܦܶܟ,ܬܶܬܗܰܦܰܟ,ܬܰܗܦܶܟ,ܬܶܬܰܗܦܰܟܝ
imperfect,2MS,ܬܶܗܦܽܘܟ,ܬܶܬܗܦܶܟ,ܬܗܰܦܶܟ,ܬܶܬܗܰܦܰܟ,ܬܰܗܦܶܟ,ܬܶܬܰܗܦܰܟ
imperfect,2FS,ܬܶܗܦܟܺܝܢ,ܬܶܬܗܰܦܟܺܝܢ,ܬܗܰܦܟܺܝܢ,ܬܶܬܗܰܦܟܺܝܢ,ܬܰܗܦܟܺܝܢ,ܬܶܬܰܗܦܟܺܝܢ
imperfect,1CS,ܐܶܗܦܽܘܟ,ܐܶܬܗܦܶܟ,ܐܶܗܰܦܶܟ,ܐܶܬܗܰܦܰܟ,ܐܰܗܦܶܟ,ܐܶܬܬܰܗܦܰܟ
imperfect,3MP,ܢܶܗܦܟܽܘܢ,ܢܶܬܗܰܦܟܽܘܢ,ܢܗܰܦܟܽܘܢ,ܢܶܬܗܰܦܟܽܘܢ,ܢܰܗܦܟܽܘܢ,ܢܶܬܬܰܗܦܟܽܘܢ
imperfect,3FP,ܢܶܗ̈ܦܟܳܢ,ܢܶܬܗܰܦܟ̈ܳܢ,ܢܗܰܦܟ̈ܳܢ,ܢܶܬܗܰܦܟ̈ܳܢ,ܢܰܗܦܟ̈ܳܢ,ܢܶܬܬܰܗܦܟ̈ܳܢ
imperfect,2MP,ܬܶܗܦܟܽܘܢ,ܬܶܬܗܰܦܟܽܘܢ,ܬܗܰܦܟܽܘܢ,ܬܶܬܗܰܦܟܽܘܢ,ܬܰܗܦܟܽܘܢ,ܬܶܬܰܗܦܟܽܘܢ
imperfect,2FP,ܬܶܗ̈ܦܟܳܢ,ܬܶܬܗܰܦܟ̈ܳܢ,ܬܗܰܦܟ̈ܳܢ,ܬܶܬܗܰܦܟ̈ܳܢ,ܬܰܗܦܟ̈ܳܢ,ܬܶܬܰܗܦܟ̈ܳܢ
imperfect,1CP,ܢܶܗܦܽܘܟ,ܢܶܬܗܦܶܟ,ܢܗܰܦܶܟ,ܢܶܬܗܰܦܰܟ,ܢܰܗܦܶܟ,ܢܶܬܬܰܗܦܰܟ
imperative,MS,ܗܦܽܘܟ,ܐܶܬܗܰܦܟ,ܗܰܦܶܟ,ܐܶܬܗܰܦܰܟ,ܐܰܗܦܶܟ,ܐܶܬܬܰܗܦܰܟ
imperative,FS,ܗܦܽܘܟܝ,ܐܶܬܗܰܦܟܝ,ܗܰܦܶܟܝ,ܐܶܬܗܰܦܰܟܝ,ܐܰܗܦܶܟܝ,ܐܶܬܬܰܗܦܰܟܝ
