ܙܒܢ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܙܒܰܢ,´ܶܙܕܒܶܢ,ܙܰܒܶܢ,ܐܶܙܕܰܒܰܢ,ܐܰܙܒܶܢ,ܐܶܬܙܰܕܒܰܢ
perfect,3FS,ܙܶܒܢܰܬ,ܐܶܙܕܰܒܢܰܬ,ܙܰܒܢܰܬ,ܐܶܙܕܰܒܢܰܬ,ܐܰܙܒܢܰܬ,ܐܶܬܙܰܕܒܢܰܬ
perfect,2MS,ܙܒܰܢܬ,ܐܶܙܕܒܶܢܬ,ܙܰܒܶܢܬ,ܐܶܙܕܰܒܰܢܬ,ܐܰܙܒܶܢܬ,ܐܶܬܙܰܕܒܰܢܬ
perfect,2FS,ܙܒܰܢܬܝ,ܐܶܙܕܒܶܢܬܝ,ܙܰܒܶܢܬܝ,ܐܶܙܕܰܒܰܢܬܝ,ܐܰܙܒܶܢܬܝ,ܐܶܬܒܙܕܰܢܬܝ
perfect,1CS,ܙܶܒܢܶܬ,ܐܶܙܕܰܒܢܶܬ,ܙܰܒܢܶܬ,ܐܶܙܕܰܒܢܶܬ,ܐܰܙܒܢܶܬ,ܐܶܬܒܙܕܢܶܬ
perfect,3MP,ܙܒܰܢܘ,ܐܶܙܕܒܶܢܘ,ܙܰܒܶܢܘ,ܐܶܙܕܰܒܰܢܘ,ܐܰܙܒܶܢܘ,ܐܶܬܙܰܕܒܰܢܘ
perfect,3FP,ܙܒܰܢ̈ܝ,ܐܶܙܕܒܶܢ̈ܝ,ܙܰܒܶܢ̈ܝ,ܐܶܙܕܰܒܰܢ̈ܝ,ܐܰܙܒܶܢ̈ܝ,ܐܶܬܙܰܕܒܰܢ̈ܝ
perfect,2MP,ܙܒܰܢܬܽܘܢ,ܐܶܙܕܒܶܢܬܽܘܢ,ܙܰܒܶܢܬܽܘܢ,ܐܶܙܕܰܒܰܢܬܽܘܢ,ܐܰܙܒܶܢܬܽܘܢ,ܐܶܬܙܰܕܒܰܢܬܽܘܢ
perfect,2FP,ܙܒܰܢܬ̈ܶܝܢ,ܐܶܙܕܒܶܢ̈ܬܶܝܢ,ܙܰܒܶܢܬ̈ܶܝܢ,ܐܶܙܕܰܒܰܢ̈ܬܶܝܢ,ܐܰܙܒܶܢܬ̈ܶܝܢ,ܐܶܬܙܰܕܒܰܢ̈ܬܶܝܢ
perfect,1CP,ܙܒܰܢܢ,ܐܶܙܕܒܶܢܢ,ܙܰܒܶܢܢ,ܐܶܙܕܰܒܰܢܢ,ܐܰܙܒܶܢܢ,ܐܶܬܙܰܕܒܰܢܢ
imperfect,3MS,ܢܶܙܒܶܢ,ܢܶܙܕܒܶܢ,ܢܙܰܒܶܢ,ܢܶܙܕܰܒܰܢ,ܢܰܙܒܶܢ,ܢܶܬܙܰܕܒܰܢ
imperfect,3FS,ܬܶܙܒܶܢ,ܬܶܙܕܒܶܢ,ܬܙܰܒܶܢ,ܬܶܙܕܰܒܰܢ,ܬܰܙܒܶܢ,ܬܶܬܒܙܕܰܢܝ
imperfect,2MS,ܬܶܙܒܶܢ,ܬܶܙܕܒܶܢ,ܬܙܰܒܶܢ,ܬܶܙܕܰܒܰܢ,ܬܰܙܒܶܢ,ܬܶܬܒܙܕܰܢ
