ܙܕܩ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܙܕܰܩ,´ܶܙܕܕܶܩ,ܙܰܕܶܩ,ܐܶܙܕܰܕܰܩ,ܐܰܙܕܶܩ,ܐܶܬܙܰܕܕܰܩ
perfect,3FS,ܙܶܕܩܰܬ,ܐܶܙܕܰܕܩܰܬ,ܙܰܕܩܰܬ,ܐܶܙܕܰܕܩܰܬ,ܐܰܙܕܩܰܬ,ܐܶܬܙܰܕܕܩܰܬ
perfect,2MS,ܙܕܰܩܬ,ܐܶܙܕܕܶܩܬ,ܙܰܕܶܩܬ,ܐܶܙܕܰܕܰܩܬ,ܐܰܙܕܶܩܬ,ܐܶܬܙܰܕܕܰܩܬ
perfect,2FS,ܙܕܰܩܬܝ,ܐܶܙܕܕܶܩܬܝ,ܙܰܕܶܩܬܝ,ܐܶܙܕܰܕܰܩܬܝ,ܐܰܙܕܶܩܬܝ,ܐܶܬܕܙܕܰܩܬܝ
perfect,1CS,ܙܶܕܩܶܬ,ܐܶܙܕܰܕܩܶܬ,ܙܰܕܩܶܬ,ܐܶܙܕܰܕܩܶܬ,ܐܰܙܕܩܶܬ,ܐܶܬܕܙܕܩܶܬ
perfect,3MP,ܙܕܰܩܘ,ܐܶܙܕܕܶܩܘ,ܙܰܕܶܩܘ,ܐܶܙܕܰܕܰܩܘ,ܐܰܙܕܶܩܘ,ܐܶܬܙܰܕܕܰܩܘ
perfect,3FP,ܙܕܰܩ̈ܝ,ܐܶܙܕܕܶܩ̈ܝ,ܙܰܕܶܩ̈ܝ,ܐܶܙܕܰܕܰܩ̈ܝ,ܐܰܙܕܶܩ̈ܝ,ܐܶܬܙܰܕܕܰܩ̈ܝ
perfect,2MP,ܙܕܰܩܬܽܘܢ,ܐܶܙܕܕܶܩܬܽܘܢ,ܙܰܕܶܩܬܽܘܢ,ܐܶܙܕܰܕܰܩܬܽܘܢ,ܐܰܙܕܶܩܬܽܘܢ,ܐܶܬܙܰܕܕܰܩܬܽܘܢ
perfect,2FP,ܙܕܰܩܬ̈ܶܝܢ,ܐܶܙܕܕܶܩ̈ܬܶܝܢ,ܙܰܕܶܩܬ̈ܶܝܢ,ܐܶܙܕܰܕܰܩ̈ܬܶܝܢ,ܐܰܙܕܶܩܬ̈ܶܝܢ,ܐܶܬܙܰܕܕܰܩ̈ܬܶܝܢ
perfect,1CP,ܙܕܰܩܢ,ܐܶܙܕܕܶܩܢ,ܙܰܕܶܩܢ,ܐܶܙܕܰܕܰܩܢ,ܐܰܙܕܶܩܢ,ܐܶܬܙܰܕܕܰܩܢ
imperfect,3MS,ܢܶܙܕܽܘܩ,ܢܶܙܕܕܶܩ,ܢܙܰܕܶܩ,ܢܶܙܕܰܕܰܩ,ܢܰܙܕܶܩ,ܢܶܬܙܰܕܕܰܩ
imperfect,3FS,ܬܶܙܕܽܘܩ,ܬܶܙܕܕܶܩ,ܬܙܰܕܶܩ,ܬܶܙܕܰܕܰܩ,ܬܰܙܕܶܩ,ܬܶܬܕܙܕܰܩܝ
imperfect,2MS,ܬܶܙܕܽܘܩ,ܬܶܙܕܕܶܩ,ܬܙܰܕܶܩ,ܬܶܙܕܰܕܰܩ,ܬܰܙܕܶܩ,ܬܶܬܕܙܕܰܩ
imperfect,2FS,ܬܶܙܕܩܺܝܢ,ܬܶܙܕܰܕܩܺܝܢ,ܬܙܰܕܩܺܝܢ,ܬܶܙܕܰܕܩܺܝܢ,ܬܰܙܕܩܺܝܢ,ܬܶܬܕܙܕܩܺܝܢ
imperfect,1CS,ܐܶܙܕܽܘܩ,ܐܶܙܕܕܶܩ,ܐܶܙܰܕܶܩ,ܐܶܙܕܰܕܰܩ,ܐܰܙܕܶܩ,ܐܶܬܙܰܕܕܰܩ
