ܙܗܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܙܗܰܪ,ܐܶܙܕܗܰܪ,ܙܰܗܰܪ,ܐܶܙܕܰܗܰܪ,ܐܰܙܗܰܪ,ܐܶܬܙܰܕܗܰܪ
perfect,3FS,ܙܶܗܪܰܬ,ܐܶܙܕܰܗܪܰܬ,ܙܰܗܪܰܬ,ܐܶܙܕܰܗܪܰܬ,ܐܰܙܗܪܰܬ,ܐܶܬܙܰܕܗܪܰܬ
perfect,2MS,ܙܗܰܪܬ,ܐܶܙܕܗܰܪܬ,ܙܰܗܰܪܬ,ܐܶܙܕܰܗܰܪܬ,ܐܰܙܗܰܪܬ,ܐܶܬܙܰܕܗܰܪܬ
perfect,2FS,ܙܗܰܪܬܝ,ܐܶܙܕܗܰܪܬܝ,ܙܰܗܰܪܬܝ,ܐܶܙܕܰܗܰܪܬܝ,ܐܰܙܗܰܪܬܝ,ܐܶܬܗܙܕܰܪܬܝ
perfect,1S,ܙܶܗܪܶܬ,ܐܶܙܕܰܗܪܶܬ,ܙܰܗܪܶܬ,ܐܶܙܕܰܗܪܶܬ,ܐܰܙܗܪܶܬ,ܐܶܬܗܙܕܪܶܬ
perfect,3MP,ܙܗܰܪܘ,ܐܶܙܕܗܰܪܘ,ܙܰܗܰܪܘ,ܐܶܙܕܰܗܰܪܘ,ܐܰܙܗܰܪܘ,ܐܶܬܙܰܕܗܰܪܘ
perfect,3FP,ܙܗܰܪ̈ܝ,ܐܶܙܕܗܰܪ̈ܝ,ܙܰܗܰܪ̈ܝ,ܐܶܙܕܰܗܰܪ̈ܝ,ܐܰܙܗܰܪ̈ܝ,ܐܶܬܙܰܕܗܰܪ̈ܝ
perfect,2MP,ܙܗܰܪܬܽܘܢ,ܐܶܙܕܗܰܪܬܽܘܢ,ܙܰܗܰܪܬܽܘܢ,ܐܶܙܕܰܗܰܪܬܽܘܢ,ܐܰܙܗܰܪܬܽܘܢ,ܐܶܬܙܰܕܗܰܪܬܽܘܢ
perfect,2FP,ܙܗܰܪܬ̈ܶܝܢ,ܐܶܙܕܗܰܪ̈ܬܶܝܢ,ܙܰܗܰܪܬ̈ܶܝܢ,ܐܶܙܕܰܗܰܪ̈ܬܶܝܢ,ܐܰܙܗܰܪܬ̈ܶܝܢ,ܐܶܬܙܰܕܗܰܪ̈ܬܶܝܢ
perfect,1P,ܙܗܰܪܢ,ܐܶܙܕܗܰܪܢ,ܙܰܗܰܪܢ,ܐܶܙܕܰܗܰܪܢ,ܐܰܙܗܰܪܢ,ܐܶܬܙܰܕܗܰܪܢ
