ܙܪܥ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܙܪܰܥ,ܐܶܙܕܪܰܥ,ܙܰܪܰܥ,ܐܶܙܕܰܪܰܥ,ܐܰܙܪܰܥ,ܐܶܬܙܰܕܪܰܥ
perfect,3FS,ܙܶܪܥܰܬ,ܐܶܙܕܰܪܥܰܬ,ܙܰܪܥܰܬ,ܐܶܙܕܰܪܥܰܬ,ܐܰܙܪܥܰܬ,ܐܶܬܙܰܕܪܥܰܬ
perfect,2MS,ܙܪܰܥܬ,ܐܶܙܕܪܰܥܬ,ܙܰܪܰܥܬ,ܐܶܙܕܰܪܰܥܬ,ܐܰܙܪܰܥܬ,ܐܶܬܙܰܕܪܰܥܬ
perfect,2FS,ܙܪܰܥܬܝ,ܐܶܙܕܪܰܥܬܝ,ܙܰܪܰܥܬܝ,ܐܶܙܕܰܪܰܥܬܝ,ܐܰܙܪܰܥܬܝ,ܐܶܬܪܙܕܰܥܬܝ
perfect,1S,ܙܶܪܥܶܬ,ܐܶܙܕܰܪܥܶܬ,ܙܰܪܥܶܬ,ܐܶܙܕܰܪܥܶܬ,ܐܰܙܪܥܶܬ,ܐܶܬܪܙܕܥܶܬ
perfect,3MP,ܙܪܰܥܘ,ܐܶܙܕܪܰܥܘ,ܙܰܪܰܥܘ,ܐܶܙܕܰܪܰܥܘ,ܐܰܙܪܰܥܘ,ܐܶܬܙܰܕܪܰܥܘ
perfect,3FP,ܙܪܰܥ̈ܝ,ܐܶܙܕܪܰܥ̈ܝ,ܙܰܪܰܥ̈ܝ,ܐܶܙܕܰܪܰܥ̈ܝ,ܐܰܙܪܰܥ̈ܝ,ܐܶܬܙܰܕܪܰܥ̈ܝ
perfect,2MP,ܙܪܰܥܬܽܘܢ,ܐܶܙܕܪܰܥܬܽܘܢ,ܙܰܪܰܥܬܽܘܢ,ܐܶܙܕܰܪܰܥܬܽܘܢ,ܐܰܙܪܰܥܬܽܘܢ,ܐܶܬܙܰܕܪܰܥܬܽܘܢ
perfect,2FP,ܙܪܰܥܬ̈ܶܝܢ,ܐܶܙܕܪܰܥ̈ܬܶܝܢ,ܙܰܪܰܥܬ̈ܶܝܢ,ܐܶܙܕܰܪܰܥ̈ܬܶܝܢ,ܐܰܙܪܰܥܬ̈ܶܝܢ,ܐܶܬܙܰܕܪܰܥ̈ܬܶܝܢ
perfect,1P,ܙܪܰܥܢ,ܐܶܙܕܪܰܥܢ,ܙܰܪܰܥܢ,ܐܶܙܕܰܪܰܥܢ,ܐܰܙܪܰܥܢ,ܐܶܬܙܰܕܪܰܥܢ
imperfect,3MS,ܢܶܙܪܽܘܥ,ܢܶܙܕܪܰܥ,ܢܙܰܪܰܥ,ܢܶܙܕܰܪܰܥ,ܢܰܙܪܰܥ,ܢܶܬܙܰܕܪܰܥ
imperfect,3FS,ܬܶܙܪܽܘܥ,ܬܶܙܕܪܰܥ,ܬܙܰܪܰܥ,ܬܶܙܕܰܪܰܥ,ܬܰܙܪܰܥ,ܬܶܬܙܰܕܪܰܥܝ
imperfect,2MS,ܬܶܙܪܽܘܥ,ܬܶܙܕܪܰܥ,ܬܙܰܪܰܥ,ܬܶܙܕܰܪܰܥ,ܬܰܙܪܰܥ,ܬܶܬܙܰܕܪܰܥ
imperfect,2FS,ܬܶܙܪܥܺܝܢ,ܬܶܙܕܰܪܥܺܝܢ,ܬܙܰܪܥܺܝܢ,ܬܶܙܕܰܪܥܺܝܢ,ܬܰܙܪܥܺܝܢ,ܬܶܬܙܰܕܪܥܺܝܢ
imperfect,1S,ܐܶܙܪܽܘܥ,ܐܶܙܕܪܰܥ,ܐܶܙܰܪܰܥ,ܐܶܙܕܰܪܰܥ,ܐܰܙܪܰܥ,ܐܶܬܙܰܕܪܰܥ
imperfect,3MP,ܢܶܙܪܥܽܘܢ,ܢܶܙܕܰܪܥܽܘܢ,ܢܙܰܪܥܽܘܢ,ܢܶܙܕܰܪܥܽܘܢ,ܢܰܙܪܥܽܘܢ,ܢܶܬܙܰܕܪܥܽܘܢ
imperfect,3FP,ܢܶܙ̈ܪܥܳܢ,ܢܶܙܕܰܪܥ̈ܳܢ,ܢܙܰܪܥ̈ܳܢ,ܢܶܙܕܰܪܥ̈ܳܢ,ܢܰܙܪܥ̈ܳܢ,ܢܶܬܙܰܕܪܥ̈ܳܢ
imperfect,2MP,ܬܶܙܪܥܽܘܢ,ܬܶܙܕܰܪܥܽܘܢ,ܬܙܰܪܥܽܘܢ,ܬܶܙܕܰܪܥܽܘܢ,ܬܰܙܪܥܽܘܢ,ܬܶܬܙܰܕܪܥܽܘܢ
