ܚܒܠ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܚܒܰܠ,´ܶܬܚܒܶܠ,ܚܰܒܶܠ,ܐܶܬܚܰܒܰܠ,ܐܰܚܒܶܠ,ܐܶܬܬܰܚܒܰܠ
perfect,3FS,ܚܶܒܠܰܬ,ܐܶܬܚܰܒܠܰܬ,ܚܰܒܠܰܬ,ܐܶܬܚܰܒܠܰܬ,ܐܰܚܒܠܰܬ,ܐܶܬܬܰܚܒܠܰܬ
perfect,2MS,ܚܒܰܠܬ,ܐܶܬܚܒܶܠܬ,ܚܰܒܶܠܬ,ܐܶܬܚܰܒܰܠܬ,ܐܰܚܒܶܠܬ,ܐܶܬܬܰܚܒܰܠܬ
perfect,2FS,ܚܒܰܠܬܝ,ܐܶܬܚܒܶܠܬܝ,ܚܰܒܶܠܬܝ,ܐܶܬܚܰܒܰܠܬܝ,ܐܰܚܒܶܠܬܝ,ܐܶܬܰܚܒܰܠܬܝ
perfect,1S,ܚܶܒܠܶܬ,ܐܶܬܚܰܒܠܶܬ,ܚܰܒܠܶܬ,ܐܶܬܚܰܒܠܶܬ,ܐܰܚܒܠܶܬ,ܐܶܬܰܚܒܠܶܬ
perfect,3MP,ܚܒܰܠܘ,ܐܶܬܚܒܶܠܘ,ܚܰܒܶܠܘ,ܐܶܬܚܰܒܰܠܘ,ܐܰܚܒܶܠܘ,ܐܶܬܬܰܚܒܰܠܘ
perfect,3FP,ܚܒܰܠ̈ܝ,ܐܶܬܚܒܶܠ̈ܝ,ܚܰܒܶܠ̈ܝ,ܐܶܬܚܰܒܰܠ̈ܝ,ܐܰܚܒܶܠ̈ܝ,ܐܶܬܬܰܚܒܰܠ̈ܝ
perfect,2MP,ܚܒܰܠܬܽܘܢ,ܐܶܬܚܒܶܠܬܽܘܢ,ܚܰܒܶܠܬܽܘܢ,ܐܶܬܚܰܒܰܠܬܽܘܢ,ܐܰܚܒܶܠܬܽܘܢ,ܐܶܬܬܰܚܒܰܠܬܽܘܢ
perfect,2FP,ܚܒܰܠܬ̈ܶܝܢ,ܐܶܬܚܒܶܠ̈ܬܶܝܢ,ܚܰܒܶܠܬ̈ܶܝܢ,ܐܶܬܚܰܒܰܠ̈ܬܶܝܢ,ܐܰܚܒܶܠܬ̈ܶܝܢ,ܐܶܬܬܰܚܒܰܠ̈ܬܶܝܢ
perfect,1P,ܚܒܰܠܢ,ܐܶܬܚܒܶܠܢ,ܚܰܒܶܠܢ,ܐܶܬܚܰܒܰܠܢ,ܐܰܚܒܶܠܢ,ܐܶܬܬܰܚܒܰܠܢ
imperfect,3MS,ܢܶܚܒܰܠ,ܢܶܬܚܒܶܠ,ܢܚܰܒܶܠ,ܢܶܬܚܰܒܰܠ,ܢܰܚܒܶܠ,ܢܶܬܬܰܚܒܰܠ
imperfect,3FS,ܬܶܚܒܰܠ,ܬܶܬܚܒܶܠ,ܬܚܰܒܶܠ,ܬܶܬܚܰܒܰܠ,ܬܰܚܒܶܠ,ܬܶܬܰܚܒܰܠܝ
imperfect,2MS,ܬܶܚܒܰܠ,ܬܶܬܚܒܶܠ,ܬܚܰܒܶܠ,ܬܶܬܚܰܒܰܠ,ܬܰܚܒܶܠ,ܬܶܬܰܚܒܰܠ
imperfect,2FS,ܬܶܚܒܠܺܝܢ,ܬܶܬܚܰܒܠܺܝܢ,ܬܚܰܒܠܺܝܢ,ܬܶܬܚܰܒܠܺܝܢ,ܬܰܚܒܠܺܝܢ,ܬܶܬܰܚܒܠܺܝܢ
imperfect,1S,ܐܶܚܒܰܠ,ܐܶܬܚܒܶܠ,ܐܶܚܰܒܶܠ,ܐܶܬܚܰܒܰܠ,ܐܰܚܒܶܠ,ܐܶܬܬܰܚܒܰܠ
imperfect,3MP,ܢܶܚܒܠܽܘܢ,ܢܶܬܚܰܒܠܽܘܢ,ܢܚܰܒܠܽܘܢ,ܢܶܬܚܰܒܠܽܘܢ,ܢܰܚܒܠܽܘܢ,ܢܶܬܬܰܚܒܠܽܘܢ
imperfect,3FP,ܢܶܚ̈ܒܠܳܢ,ܢܶܬܚܰܒܠ̈ܳܢ,ܢܚܰܒܠ̈ܳܢ,ܢܶܬܚܰܒܠ̈ܳܢ,ܢܰܚܒܠ̈ܳܢ,ܢܶܬܬܰܚܒܠ̈ܳܢ
imperfect,2MP,ܬܶܚܒܠܽܘܢ,ܬܶܬܚܰܒܠܽܘܢ,ܬܚܰܒܠܽܘܢ,ܬܶܬܚܰܒܠܽܘܢ,ܬܰܚܒܠܽܘܢ,ܬܶܬܰܚܒܠܽܘܢ
imperfect,2FP,ܬܶܚ̈ܒܠܳܢ,ܬܶܬܚܰܒܠ̈ܳܢ,ܬܚܰܒܠ̈ܳܢ,ܬܶܬܚܰܒܠ̈ܳܢ,ܬܰܚܒܠ̈ܳܢ,ܬܶܬܰܚܒܠ̈ܳܢ
imperfect,1P,ܢܶܚܒܰܠ,ܢܶܬܚܒܶܠ,ܢܚܰܒܶܠ,ܢܶܬܚܰܒܰܠ,ܢܰܚܒܶܠ,ܢܶܬܬܰܚܒܰܠ
imperative,MS,ܚܒܰܠ,ܐܶܬܚܰܒܠ,ܚܰܒܶܠ,ܐܶܬܚܰܒܰܠ,ܐܰܚܒܶܠ,ܐܶܬܬܰܚܒܰܠ
imperative,FS,ܚܒܰܠܝ,ܐܶܬܚܰܒܠܝ,ܚܰܒܶܠܝ,ܐܶܬܚܰܒܰܠܝ,ܐܰܚܒܶܠܝ,ܐܶܬܬܰܚܒܰܠܝ
imperative,MP,ܚܒܰܠܘ,ܐܶܬܚܰܒܠܘ,ܚܰܒܶܠܘ,ܐܶܬܚܰܒܰܠܘ,ܐܰܚܒܶܠܘ,ܐܶܬܬܰܚܒܰܠܘ
imperative,FP,ܚܒܰܠ̈ܝ,ܐܶܬܚܰܒܠ̈ܝ,ܚܰܒܶܠ̈ܝ,ܐܶܬܚܰܒܰܠ̈ܝ,ܐܰܚܒܶܠ̈ܝ,ܐܶܬܬܰܚܒܰܠ̈ܝ
active-participle,MS,ܚܳܒܶܠ,ܡܶܬܚܒܶܠ,ܡܚܰܒܶܠ,ܡܶܬܚܰܒܰܠ,ܡܰܚܒܶܠ,ܡܶܬܬܰܚܒܰܠ
active-participle,FS,ܚܳܒܠܳܐ,ܡܶܬܚܰܒܠܳܐ,ܡܚܰܒܠܳܐ,ܡܶܬܚܰܒܠܳܐ,ܡܰܚܒܠܳܐ,ܡܶܬܬܰܚܒܠܳܐ
active-participle,MP,ܚܳܒܠܺܝܢ,ܡܶܬܚܰܒܠܺܝܢ,ܡܚܰܒܠܺܝܢ,ܡܶܬܚܰܒܠܺܝܢ,ܡܰܚܒܠܺܝܢ,ܡܶܬܬܰܚܒܠܺܝܢ
active-participle,FP,ܚܳܒ̈ܠܳܢ,ܡܶܬܚܰܒ̈ܠܳܢ,ܡܚܰܒ̈ܠܳܢ,ܡܶܬܚܰܒܠ̈ܳܢ,ܡܰܚܒܠ̈ܳܢ,ܡܶܬܬܰܚܒܠ̈ܳܢ
passive-participle,MS,ܚܒܺܝܠ,,ܡܚܰܒܰܠ,,ܡܰܚܒܰܠ,
passive-participle,FS,ܚܒܺܝܠܳܐ,,ܡܚܰܒܠܳܐ,,ܡܰܚܒܠܳܐ,
passive-participle,MP,ܚܒܺܝܠܺܝܢ,,ܡܚܰܒܠܺܝܢ,,ܡܰܚܒܠܺܝܢ,
passive-participle,FP,ܚܒܺܝ̈ܠܳܢ,,ܡܚܰܒ̈ܠܳܢ,,ܡܰܚܒ̈ܠܳܢ,
infinitive,,ܡܶܚܒܰܠ,ܡܶܬܚܒܳܠܽܘ,ܡܚܰܒܳܠܽܘ,ܡܶܬܚܰܒܳܠܽܘ,ܡܰܚܒܳܠܽܘ,ܡܶܬܬܰܚܒܳܠܽܘ
