ܚܠܛ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܚܠܰܛ,´ܶܬܚܠܶܛ,ܚܰܠܶܛ,ܐܶܬܚܰܠܰܛ,ܐܰܚܠܶܛ,ܐܶܬܬܰܚܠܰܛ
perfect,3FS,ܚܶܠܛܰܬ,ܐܶܬܚܰܠܛܰܬ,ܚܰܠܛܰܬ,ܐܶܬܚܰܠܛܰܬ,ܐܰܚܠܛܰܬ,ܐܶܬܬܰܚܠܛܰܬ
perfect,2MS,ܚܠܰܛܬ,ܐܶܬܚܠܶܛܬ,ܚܰܠܶܛܬ,ܐܶܬܚܰܠܰܛܬ,ܐܰܚܠܶܛܬ,ܐܶܬܬܰܚܠܰܛܬ
perfect,2FS,ܚܠܰܛܬܝ,ܐܶܬܚܠܶܛܬܝ,ܚܰܠܶܛܬܝ,ܐܶܬܚܰܠܰܛܬܝ,ܐܰܚܠܶܛܬܝ,ܐܶܬܰܚܠܰܛܬܝ
perfect,1CS,ܚܶܠܛܶܬ,ܐܶܬܚܰܠܛܶܬ,ܚܰܠܛܶܬ,ܐܶܬܚܰܠܛܶܬ,ܐܰܚܠܛܶܬ,ܐܶܬܰܚܠܛܶܬ
perfect,3MP,ܚܠܰܛܘ,ܐܶܬܚܠܶܛܘ,ܚܰܠܶܛܘ,ܐܶܬܚܰܠܰܛܘ,ܐܰܚܠܶܛܘ,ܐܶܬܬܰܚܠܰܛܘ
perfect,3FP,ܚܠܰܛ̈ܝ,ܐܶܬܚܠܶܛ̈ܝ,ܚܰܠܶܛ̈ܝ,ܐܶܬܚܰܠܰܛ̈ܝ,ܐܰܚܠܶܛ̈ܝ,ܐܶܬܬܰܚܠܰܛ̈ܝ
perfect,2MP,ܚܠܰܛܬܽܘܢ,ܐܶܬܚܠܶܛܬܽܘܢ,ܚܰܠܶܛܬܽܘܢ,ܐܶܬܚܰܠܰܛܬܽܘܢ,ܐܰܚܠܶܛܬܽܘܢ,ܐܶܬܬܰܚܠܰܛܬܽܘܢ
perfect,2FP,ܚܠܰܛܬ̈ܶܝܢ,ܐܶܬܚܠܶܛ̈ܬܶܝܢ,ܚܰܠܶܛܬ̈ܶܝܢ,ܐܶܬܚܰܠܰܛ̈ܬܶܝܢ,ܐܰܚܠܶܛܬ̈ܶܝܢ,ܐܶܬܬܰܚܠܰܛ̈ܬܶܝܢ
