ܚܪܒ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܚܪܶܒ,´ܶܬܚܪܶܒ,ܚܰܪܶܒ,ܐܶܬܚܰܪܰܒ,ܐܰܚܪܶܒ,ܐܶܬܬܰܚܪܰܒ
perfect,3FS,ܚܶܪܒܰܬ,ܐܶܬܚܰܪܒܰܬ,ܚܰܪܒܰܬ,ܐܶܬܚܰܪܒܰܬ,ܐܰܚܪܒܰܬ,ܐܶܬܬܰܚܪܒܰܬ
perfect,2MS,ܚܪܶܒܬ,ܐܶܬܚܪܶܒܬ,ܚܰܪܶܒܬ,ܐܶܬܚܰܪܰܒܬ,ܐܰܚܪܶܒܬ,ܐܶܬܬܰܚܪܰܒܬ
perfect,2FS,ܚܪܶܒܬܝ,ܐܶܬܚܪܶܒܬܝ,ܚܰܪܶܒܬܝ,ܐܶܬܚܰܪܰܒܬܝ,ܐܰܚܪܶܒܬܝ,ܐܶܬܰܚܪܰܒܬܝ
perfect,1CS,ܚܶܪܒܶܬ,ܐܶܬܚܰܪܒܶܬ,ܚܰܪܒܶܬ,ܐܶܬܚܰܪܒܶܬ,ܐܰܚܪܒܶܬ,ܐܶܬܰܚܪܒܶܬ
perfect,3MP,ܚܪܶܒܘ,ܐܶܬܚܪܶܒܘ,ܚܰܪܶܒܘ,ܐܶܬܚܰܪܰܒܘ,ܐܰܚܪܶܒܘ,ܐܶܬܬܰܚܪܰܒܘ
perfect,3FP,ܚܪܶܒ̈ܝ,ܐܶܬܚܪܶܒ̈ܝ,ܚܰܪܶܒ̈ܝ,ܐܶܬܚܰܪܰܒ̈ܝ,ܐܰܚܪܶܒ̈ܝ,ܐܶܬܬܰܚܪܰܒ̈ܝ
perfect,2MP,ܚܪܶܒܬܽܘܢ,ܐܶܬܚܪܶܒܬܽܘܢ,ܚܰܪܶܒܬܽܘܢ,ܐܶܬܚܰܪܰܒܬܽܘܢ,ܐܰܚܪܶܒܬܽܘܢ,ܐܶܬܬܰܚܪܰܒܬܽܘܢ
perfect,2FP,ܚܪܶܒܬ̈ܶܝܢ,ܐܶܬܚܪܶܒ̈ܬܶܝܢ,ܚܰܪܶܒܬ̈ܶܝܢ,ܐܶܬܚܰܪܰܒ̈ܬܶܝܢ,ܐܰܚܪܶܒܬ̈ܶܝܢ,ܐܶܬܬܰܚܪܰܒ̈ܬܶܝܢ
perfect,1CP,ܚܪܶܒܢ,ܐܶܬܚܪܶܒܢ,ܚܰܪܶܒܢ,ܐܶܬܚܰܪܰܒܢ,ܐܰܚܪܶܒܢ,ܐܶܬܬܰܚܪܰܒܢ
imperfect,3MS,ܢܶܚܪܰܒ,ܢܶܬܚܪܶܒ,ܢܚܰܪܶܒ,ܢܶܬܚܰܪܰܒ,ܢܰܚܪܶܒ,ܢܶܬܬܰܚܪܰܒ
imperfect,3FS,ܬܶܚܪܰܒ,ܬܶܬܚܪܶܒ,ܬܚܰܪܶܒ,ܬܶܬܚܰܪܰܒ,ܬܰܚܪܶܒ,ܬܶܬܰܚܪܰܒܝ
imperfect,2MS,ܬܶܚܪܰܒ,ܬܶܬܚܪܶܒ,ܬܚܰܪܶܒ,ܬܶܬܚܰܪܰܒ,ܬܰܚܪܶܒ,ܬܶܬܰܚܪܰܒ
imperfect,2FS,ܬܶܚܪܒܺܝܢ,ܬܶܬܚܰܪܒܺܝܢ,ܬܚܰܪܒܺܝܢ,ܬܶܬܚܰܪܒܺܝܢ,ܬܰܚܪܒܺܝܢ,ܬܶܬܰܚܪܒܺܝܢ
imperfect,1CS,ܐܶܚܪܰܒ,ܐܶܬܚܪܶܒ,ܐܶܚܰܪܶܒ,ܐܶܬܚܰܪܰܒ,ܐܰܚܪܶܒ,ܐܶܬܬܰܚܪܰܒ
imperfect,3MP,ܢܶܚܪܒܽܘܢ,ܢܶܬܚܰܪܒܽܘܢ,ܢܚܰܪܒܽܘܢ,ܢܶܬܚܰܪܒܽܘܢ,ܢܰܚܪܒܽܘܢ,ܢܶܬܬܰܚܪܒܽܘܢ
imperfect,3FP,ܢܶܚ̈ܪܒܳܢ,ܢܶܬܚܰܪܒ̈ܳܢ,ܢܚܰܪܒ̈ܳܢ,ܢܶܬܚܰܪܒ̈ܳܢ,ܢܰܚܪܒ̈ܳܢ,ܢܶܬܬܰܚܪܒ̈ܳܢ
