ܚܫܒ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܚܫܰܒ,´ܶܬܚܫܶܒ,ܚܰܫܶܒ,ܐܶܬܚܰܫܰܒ,ܐܰܚܫܶܒ,ܐܶܬܬܰܚܫܰܒ
perfect,3FS,ܚܶܫܒܰܬ,ܐܶܬܚܰܫܒܰܬ,ܚܰܫܒܰܬ,ܐܶܬܚܰܫܒܰܬ,ܐܰܚܫܒܰܬ,ܐܶܬܬܰܚܫܒܰܬ
perfect,2MS,ܚܫܰܒܬ,ܐܶܬܚܫܶܒܬ,ܚܰܫܶܒܬ,ܐܶܬܚܰܫܰܒܬ,ܐܰܚܫܶܒܬ,ܐܶܬܬܰܚܫܰܒܬ
perfect,2FS,ܚܫܰܒܬܝ,ܐܶܬܚܫܶܒܬܝ,ܚܰܫܶܒܬܝ,ܐܶܬܚܰܫܰܒܬܝ,ܐܰܚܫܶܒܬܝ,ܐܶܬܰܚܫܰܒܬܝ
perfect,1S,ܚܶܫܒܶܬ,ܐܶܬܚܰܫܒܶܬ,ܚܰܫܒܶܬ,ܐܶܬܚܰܫܒܶܬ,ܐܰܚܫܒܶܬ,ܐܶܬܰܚܫܒܶܬ
perfect,3MP,ܚܫܰܒܘ,ܐܶܬܚܫܶܒܘ,ܚܰܫܶܒܘ,ܐܶܬܚܰܫܰܒܘ,ܐܰܚܫܶܒܘ,ܐܶܬܬܰܚܫܰܒܘ
perfect,3FP,ܚܫܰܒ̈ܝ,ܐܶܬܚܫܶܒ̈ܝ,ܚܰܫܶܒ̈ܝ,ܐܶܬܚܰܫܰܒ̈ܝ,ܐܰܚܫܶܒ̈ܝ,ܐܶܬܬܰܚܫܰܒ̈ܝ
perfect,2MP,ܚܫܰܒܬܽܘܢ,ܐܶܬܚܫܶܒܬܽܘܢ,ܚܰܫܶܒܬܽܘܢ,ܐܶܬܚܰܫܰܒܬܽܘܢ,ܐܰܚܫܶܒܬܽܘܢ,ܐܶܬܬܰܚܫܰܒܬܽܘܢ
perfect,2FP,ܚܫܰܒܬ̈ܶܝܢ,ܐܶܬܚܫܶܒ̈ܬܶܝܢ,ܚܰܫܶܒܬ̈ܶܝܢ,ܐܶܬܚܰܫܰܒ̈ܬܶܝܢ,ܐܰܚܫܶܒܬ̈ܶܝܢ,ܐܶܬܬܰܚܫܰܒ̈ܬܶܝܢ
perfect,1P,ܚܫܰܒܢ,ܐܶܬܚܫܶܒܢ,ܚܰܫܶܒܢ,ܐܶܬܚܰܫܰܒܢ,ܐܰܚܫܶܒܢ,ܐܶܬܬܰܚܫܰܒܢ
imperfect,3MS,ܢܶܚܫܽܘܒ,ܢܶܬܚܫܶܒ,ܢܚܰܫܶܒ,ܢܶܬܚܰܫܰܒ,ܢܰܚܫܶܒ,ܢܶܬܬܰܚܫܰܒ
imperfect,3FS,ܬܶܚܫܽܘܒ,ܬܶܬܚܫܶܒ,ܬܚܰܫܶܒ,ܬܶܬܚܰܫܰܒ,ܬܰܚܫܶܒ,ܬܶܬܰܚܫܰܒܝ
imperfect,2MS,ܬܶܚܫܽܘܒ,ܬܶܬܚܫܶܒ,ܬܚܰܫܶܒ,ܬܶܬܚܰܫܰܒ,ܬܰܚܫܶܒ,ܬܶܬܰܚܫܰܒ
