ܚܫܟ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܚܫܶܟ,´ܶܬܚܫܶܟ,ܚܰܫܶܟ,ܐܶܬܚܰܫܰܟ,ܐܰܚܫܶܟ,ܐܶܬܬܰܚܫܰܟ
perfect,3FS,ܚܶܫܟܰܬ,ܐܶܬܚܰܫܟܰܬ,ܚܰܫܟܰܬ,ܐܶܬܚܰܫܟܰܬ,ܐܰܚܫܟܰܬ,ܐܶܬܬܰܚܫܟܰܬ
perfect,2MS,ܚܫܶܟܬ,ܐܶܬܚܫܶܟܬ,ܚܰܫܶܟܬ,ܐܶܬܚܰܫܰܟܬ,ܐܰܚܫܶܟܬ,ܐܶܬܬܰܚܫܰܟܬ
perfect,2FS,ܚܫܶܟܬܝ,ܐܶܬܚܫܶܟܬܝ,ܚܰܫܶܟܬܝ,ܐܶܬܚܰܫܰܟܬܝ,ܐܰܚܫܶܟܬܝ,ܐܶܬܰܚܫܰܟܬܝ
perfect,1S,ܚܶܫܟܶܬ,ܐܶܬܚܰܫܟܶܬ,ܚܰܫܟܶܬ,ܐܶܬܚܰܫܟܶܬ,ܐܰܚܫܟܶܬ,ܐܶܬܰܚܫܟܶܬ
perfect,3MP,ܚܫܶܟܘ,ܐܶܬܚܫܶܟܘ,ܚܰܫܶܟܘ,ܐܶܬܚܰܫܰܟܘ,ܐܰܚܫܶܟܘ,ܐܶܬܬܰܚܫܰܟܘ
perfect,3FP,ܚܫܶܟ̈ܝ,ܐܶܬܚܫܶܟ̈ܝ,ܚܰܫܶܟ̈ܝ,ܐܶܬܚܰܫܰܟ̈ܝ,ܐܰܚܫܶܟ̈ܝ,ܐܶܬܬܰܚܫܰܟ̈ܝ
perfect,2MP,ܚܫܶܟܬܽܘܢ,ܐܶܬܚܫܶܟܬܽܘܢ,ܚܰܫܶܟܬܽܘܢ,ܐܶܬܚܰܫܰܟܬܽܘܢ,ܐܰܚܫܶܟܬܽܘܢ,ܐܶܬܬܰܚܫܰܟܬܽܘܢ
perfect,2FP,ܚܫܶܟܬ̈ܶܝܢ,ܐܶܬܚܫܶܟ̈ܬܶܝܢ,ܚܰܫܶܟܬ̈ܶܝܢ,ܐܶܬܚܰܫܰܟ̈ܬܶܝܢ,ܐܰܚܫܶܟܬ̈ܶܝܢ,ܐܶܬܬܰܚܫܰܟ̈ܬܶܝܢ
perfect,1P,ܚܫܶܟܢ,ܐܶܬܚܫܶܟܢ,ܚܰܫܶܟܢ,ܐܶܬܚܰܫܰܟܢ,ܐܰܚܫܶܟܢ,ܐܶܬܬܰܚܫܰܟܢ
imperfect,3MS,ܢܶܚܫܰܟ,ܢܶܬܚܫܶܟ,ܢܚܰܫܶܟ,ܢܶܬܚܰܫܰܟ,ܢܰܚܫܶܟ,ܢܶܬܬܰܚܫܰܟ
imperfect,3FS,ܬܶܚܫܰܟ,ܬܶܬܚܫܶܟ,ܬܚܰܫܶܟ,ܬܶܬܚܰܫܰܟ,ܬܰܚܫܶܟ,ܬܶܬܰܚܫܰܟܝ
imperfect,2MS,ܬܶܚܫܰܟ,ܬܶܬܚܫܶܟ,ܬܚܰܫܶܟ,ܬܶܬܚܰܫܰܟ,ܬܰܚܫܶܟ,ܬܶܬܰܚܫܰܟ
imperfect,2FS,ܬܶܚܫܟܺܝܢ,ܬܶܬܚܰܫܟܺܝܢ,ܬܚܰܫܟܺܝܢ,ܬܶܬܚܰܫܟܺܝܢ,ܬܰܚܫܟܺܝܢ,ܬܶܬܰܚܫܟܺܝܢ
imperfect,1S,ܐܶܚܫܰܟ,ܐܶܬܚܫܶܟ,ܐܶܚܰܫܶܟ,ܐܶܬܚܰܫܰܟ,ܐܰܚܫܶܟ,ܐܶܬܬܰܚܫܰܟ
imperfect,3MP,ܢܶܚܫܟܽܘܢ,ܢܶܬܚܰܫܟܽܘܢ,ܢܚܰܫܟܽܘܢ,ܢܶܬܚܰܫܟܽܘܢ,ܢܰܚܫܟܽܘܢ,ܢܶܬܬܰܚܫܟܽܘܢ
imperfect,3FP,ܢܶܚ̈ܫܟܳܢ,ܢܶܬܚܰܫܟ̈ܳܢ,ܢܚܰܫܟ̈ܳܢ,ܢܶܬܚܰܫܟ̈ܳܢ,ܢܰܚܫܟ̈ܳܢ,ܢܶܬܬܰܚܫܟ̈ܳܢ
imperfect,2MP,ܬܶܚܫܟܽܘܢ,ܬܶܬܚܰܫܟܽܘܢ,ܬܚܰܫܟܽܘܢ,ܬܶܬܚܰܫܟܽܘܢ,ܬܰܚܫܟܽܘܢ,ܬܶܬܰܚܫܟܽܘܢ
imperfect,2FP,ܬܶܚ̈ܫܟܳܢ,ܬܶܬܚܰܫܟ̈ܳܢ,ܬܚܰܫܟ̈ܳܢ,ܬܶܬܚܰܫܟ̈ܳܢ,ܬܰܚܫܟ̈ܳܢ,ܬܶܬܰܚܫܟ̈ܳܢ
imperfect,1P,ܢܶܚܫܰܟ,ܢܶܬܚܫܶܟ,ܢܚܰܫܶܟ,ܢܶܬܚܰܫܰܟ,ܢܰܚܫܶܟ,ܢܶܬܬܰܚܫܰܟ
imperative,MS,ܚܫܰܟ,ܐܶܬܚܰܫܟ,ܚܰܫܶܟ,ܐܶܬܚܰܫܰܟ,ܐܰܚܫܶܟ,ܐܶܬܬܰܚܫܰܟ
imperative,FS,ܚܫܰܟܝ,ܐܶܬܚܰܫܟܝ,ܚܰܫܶܟܝ,ܐܶܬܚܰܫܰܟܝ,ܐܰܚܫܶܟܝ,ܐܶܬܬܰܚܫܰܟܝ
