ܟܢܫ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܟܢܰܫ,´ܶܬܟܢܶܫ,ܟܰܢܶܫ,ܐܶܬܟܰܢܰܫ,ܐܰܟܢܶܫ,ܐܶܬܬܰܟܢܰܫ
perfect,3FS,ܟܶܢܫܰܬ,ܐܶܬܟܰܢܫܰܬ,ܟܰܢܫܰܬ,ܐܶܬܟܰܢܫܰܬ,ܐܰܟܢܫܰܬ,ܐܶܬܬܰܟܢܫܰܬ
perfect,2MS,ܟܢܰܫܬ,ܐܶܬܟܢܶܫܬ,ܟܰܢܶܫܬ,ܐܶܬܟܰܢܰܫܬ,ܐܰܟܢܶܫܬ,ܐܶܬܬܰܟܢܰܫܬ
perfect,2FS,ܟܢܰܫܬܝ,ܐܶܬܟܢܶܫܬܝ,ܟܰܢܶܫܬܝ,ܐܶܬܟܰܢܰܫܬܝ,ܐܰܟܢܶܫܬܝ,ܐܶܬܰܟܢܰܫܬܝ
perfect,1CS,ܟܶܢܫܶܬ,ܐܶܬܟܰܢܫܶܬ,ܟܰܢܫܶܬ,ܐܶܬܟܰܢܫܶܬ,ܐܰܟܢܫܶܬ,ܐܶܬܰܟܢܫܶܬ
perfect,3MP,ܟܢܰܫܘ,ܐܶܬܟܢܶܫܘ,ܟܰܢܶܫܘ,ܐܶܬܟܰܢܰܫܘ,ܐܰܟܢܶܫܘ,ܐܶܬܬܰܟܢܰܫܘ
perfect,3FP,ܟܢܰܫ̈ܝ,ܐܶܬܟܢܶܫ̈ܝ,ܟܰܢܶܫ̈ܝ,ܐܶܬܟܰܢܰܫ̈ܝ,ܐܰܟܢܶܫ̈ܝ,ܐܶܬܬܰܟܢܰܫ̈ܝ
perfect,2MP,ܟܢܰܫܬܽܘܢ,ܐܶܬܟܢܶܫܬܽܘܢ,ܟܰܢܶܫܬܽܘܢ,ܐܶܬܟܰܢܰܫܬܽܘܢ,ܐܰܟܢܶܫܬܽܘܢ,ܐܶܬܬܰܟܢܰܫܬܽܘܢ
perfect,2FP,ܟܢܰܫܬ̈ܶܝܢ,ܐܶܬܟܢܶܫ̈ܬܶܝܢ,ܟܰܢܶܫܬ̈ܶܝܢ,ܐܶܬܟܰܢܰܫ̈ܬܶܝܢ,ܐܰܟܢܶܫܬ̈ܶܝܢ,ܐܶܬܬܰܟܢܰܫ̈ܬܶܝܢ
perfect,1CP,ܟܢܰܫܢ,ܐܶܬܟܢܶܫܢ,ܟܰܢܶܫܢ,ܐܶܬܟܰܢܰܫܢ,ܐܰܟܢܶܫܢ,ܐܶܬܬܰܟܢܰܫܢ
imperfect,3MS,ܢܶܟܢܽܘܫ,ܢܶܬܟܢܶܫ,ܢܟܰܢܶܫ,ܢܶܬܟܰܢܰܫ,ܢܰܟܢܶܫ,ܢܶܬܬܰܟܢܰܫ
imperfect,3FS,ܬܶܟܢܽܘܫ,ܬܶܬܟܢܶܫ,ܬܟܰܢܶܫ,ܬܶܬܟܰܢܰܫ,ܬܰܟܢܶܫ,ܬܶܬܰܟܢܰܫܝ
imperfect,2MS,ܬܶܟܢܽܘܫ,ܬܶܬܟܢܶܫ,ܬܟܰܢܶܫ,ܬܶܬܟܰܢܰܫ,ܬܰܟܢܶܫ,ܬܶܬܰܟܢܰܫ
imperfect,2FS,ܬܶܟܢܫܺܝܢ,ܬܶܬܟܰܢܫܺܝܢ,ܬܟܰܢܫܺܝܢ,ܬܶܬܟܰܢܫܺܝܢ,ܬܰܟܢܫܺܝܢ,ܬܶܬܰܟܢܫܺܝܢ
imperfect,1CS,ܐܶܟܢܽܘܫ,ܐܶܬܟܢܶܫ,ܐܶܟܰܢܶܫ,ܐܶܬܟܰܢܰܫ,ܐܰܟܢܶܫ,ܐܶܬܬܰܟܢܰܫ
imperfect,3MP,ܢܶܟܢܫܽܘܢ,ܢܶܬܟܰܢܫܽܘܢ,ܢܟܰܢܫܽܘܢ,ܢܶܬܟܰܢܫܽܘܢ,ܢܰܟܢܫܽܘܢ,ܢܶܬܬܰܟܢܫܽܘܢ
imperfect,3FP,ܢܶܟ̈ܢܫܳܢ,ܢܶܬܟܰܢܫ̈ܳܢ,ܢܟܰܢܫ̈ܳܢ,ܢܶܬܟܰܢܫ̈ܳܢ,ܢܰܟܢܫ̈ܳܢ,ܢܶܬܬܰܟܢܫ̈ܳܢ
imperfect,2MP,ܬܶܟܢܫܽܘܢ,ܬܶܬܟܰܢܫܽܘܢ,ܬܟܰܢܫܽܘܢ,ܬܶܬܟܰܢܫܽܘܢ,ܬܰܟܢܫܽܘܢ,ܬܶܬܰܟܢܫܽܘܢ
imperfect,2FP,ܬܶܟ̈ܢܫܳܢ,ܬܶܬܟܰܢܫ̈ܳܢ,ܬܟܰܢܫ̈ܳܢ,ܬܶܬܟܰܢܫ̈ܳܢ,ܬܰܟܢܫ̈ܳܢ,ܬܶܬܰܟܢܫ̈ܳܢ
imperfect,1CP,ܢܶܟܢܽܘܫ,ܢܶܬܟܢܶܫ,ܢܟܰܢܶܫ,ܢܶܬܟܰܢܰܫ,ܢܰܟܢܶܫ,ܢܶܬܬܰܟܢܰܫ
imperative,MS,ܟܢܽܘܫ,ܐܶܬܟܰܢܫ,ܟܰܢܶܫ,ܐܶܬܟܰܢܰܫ,ܐܰܟܢܶܫ,ܐܶܬܬܰܟܢܰܫ
imperative,FS,ܟܢܽܘܫܝ,ܐܶܬܟܰܢܫܝ,ܟܰܢܶܫܝ,ܐܶܬܟܰܢܰܫܝ,ܐܰܟܢܶܫܝ,ܐܶܬܬܰܟܢܰܫܝ
imperative,MP,ܟܢܽܘܫܘ,ܐܶܬܟܰܢܫܘ,ܟܰܢܶܫܘ,ܐܶܬܟܰܢܰܫܘ,ܐܰܟܢܶܫܘ,ܐܶܬܬܰܟܢܰܫܘ
imperative,FP,ܟܢܽܘܫ̈ܝ,ܐܶܬܟܰܢܫ̈ܝ,ܟܰܢܶܫ̈ܝ,ܐܶܬܟܰܢܰܫ̈ܝ,ܐܰܟܢܶܫ̈ܝ,ܐܶܬܬܰܟܢܰܫ̈ܝ
active-participle,MS,ܟܳܢܶܫ,ܡܶܬܟܢܶܫ,ܡܟܰܢܶܫ,ܡܶܬܟܰܢܰܫ,ܡܰܟܢܶܫ,ܡܶܬܬܰܟܢܰܫ
active-participle,FS,ܟܳܢܫܳܐ,ܡܶܬܟܰܢܫܳܐ,ܡܟܰܢܫܳܐ,ܡܶܬܟܰܢܫܳܐ,ܡܰܟܢܫܳܐ,ܡܶܬܬܰܟܢܫܳܐ
active-participle,MP,ܟܳܢܫܺܝܢ,ܡܶܬܟܰܢܫܺܝܢ,ܡܟܰܢܫܺܝܢ,ܡܶܬܟܰܢܫܺܝܢ,ܡܰܟܢܫܺܝܢ,ܡܶܬܬܰܟܢܫܺܝܢ
active-participle,FP,ܟܳܢ̈ܫܳܢ,ܡܶܬܟܰܢ̈ܫܳܢ,ܡܟܰܢ̈ܫܳܢ,ܡܶܬܟܰܢܫ̈ܳܢ,ܡܰܟܢܫ̈ܳܢ,ܡܶܬܬܰܟܢܫ̈ܳܢ
passive-participle,MS,ܟܢܺܝܫ,,ܡܟܰܢܰܫ,,ܡܰܟܢܰܫ,
passive-participle,FS,ܟܢܺܝܫܳܐ,,ܡܟܰܢܫܳܐ,,ܡܰܟܢܫܳܐ,
passive-participle,MP,ܟܢܺܝܫܺܝܢ,,ܡܟܰܢܫܺܝܢ,,ܡܰܟܢܫܺܝܢ,
passive-participle,FP,ܟܢܺܝ̈ܫܳܢ,,ܡܟܰܢ̈ܫܳܢ,,ܡܰܟܢ̈ܫܳܢ,
infinitive,,ܡܶܟܢܰܫ,ܡܶܬܟܢܳܫܽܘ,ܡܟܰܢܳܫܽܘ,ܡܶܬܟܰܢܳܫܽܘ,ܡܰܟܢܳܫܽܘ,ܡܶܬܬܰܟܢܳܫܽܘ
