ܟܦܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܟܦܰܪ,ܐܶܬܟܦܰܪ,ܟܰܦܰܪ,ܐܶܬܟܰܦܰܪ,ܐܰܟܦܰܪ,ܐܶܬܬܰܟܦܰܪ
perfect,3FS,ܟܶܦܪܰܬ,ܐܶܬܟܰܦܪܰܬ,ܟܰܦܪܰܬ,ܐܶܬܟܰܦܪܰܬ,ܐܰܟܦܪܰܬ,ܐܶܬܬܰܟܦܪܰܬ
perfect,2MS,ܟܦܰܪܬ,ܐܶܬܟܦܰܪܬ,ܟܰܦܰܪܬ,ܐܶܬܟܰܦܰܪܬ,ܐܰܟܦܰܪܬ,ܐܶܬܬܰܟܦܰܪܬ
perfect,2FS,ܟܦܰܪܬܝ,ܐܶܬܟܦܰܪܬܝ,ܟܰܦܰܪܬܝ,ܐܶܬܟܰܦܰܪܬܝ,ܐܰܟܦܰܪܬܝ,ܐܶܬܰܟܦܰܪܬܝ
perfect,1CS,ܟܶܦܪܶܬ,ܐܶܬܟܰܦܪܶܬ,ܟܰܦܪܶܬ,ܐܶܬܟܰܦܪܶܬ,ܐܰܟܦܪܶܬ,ܐܶܬܰܟܦܪܶܬ
perfect,3MP,ܟܦܰܪܘ,ܐܶܬܟܦܰܪܘ,ܟܰܦܰܪܘ,ܐܶܬܟܰܦܰܪܘ,ܐܰܟܦܰܪܘ,ܐܶܬܬܰܟܦܰܪܘ
perfect,3FP,ܟܦܰܪ̈ܝ,ܐܶܬܟܦܰܪ̈ܝ,ܟܰܦܰܪ̈ܝ,ܐܶܬܟܰܦܰܪ̈ܝ,ܐܰܟܦܰܪ̈ܝ,ܐܶܬܬܰܟܦܰܪ̈ܝ
perfect,2MP,ܟܦܰܪܬܽܘܢ,ܐܶܬܟܦܰܪܬܽܘܢ,ܟܰܦܰܪܬܽܘܢ,ܐܶܬܟܰܦܰܪܬܽܘܢ,ܐܰܟܦܰܪܬܽܘܢ,ܐܶܬܬܰܟܦܰܪܬܽܘܢ
perfect,2FP,ܟܦܰܪܬ̈ܶܝܢ,ܐܶܬܟܦܰܪ̈ܬܶܝܢ,ܟܰܦܰܪܬ̈ܶܝܢ,ܐܶܬܟܰܦܰܪ̈ܬܶܝܢ,ܐܰܟܦܰܪܬ̈ܶܝܢ,ܐܶܬܬܰܟܦܰܪ̈ܬܶܝܢ
perfect,1CP,ܟܦܰܪܢ,ܐܶܬܟܦܰܪܢ,ܟܰܦܰܪܢ,ܐܶܬܟܰܦܰܪܢ,ܐܰܟܦܰܪܢ,ܐܶܬܬܰܟܦܰܪܢ
imperfect,3MS,ܢܶܟܦܽܘܪ,ܢܶܬܟܦܰܪ,ܢܟܰܦܰܪ,ܢܶܬܟܰܦܰܪ,ܢܰܟܦܰܪ,ܢܶܬܬܰܟܦܰܪ
imperfect,3FS,ܬܶܟܦܽܘܪ,ܬܶܬܟܦܰܪ,ܬܟܰܦܰܪ,ܬܶܬܟܰܦܰܪ,ܬܰܟܦܰܪ,ܬܶܬܬܰܟܦܰܪܝ
imperfect,2MS,ܬܶܟܦܽܘܪ,ܬܶܬܟܦܰܪ,ܬܟܰܦܰܪ,ܬܶܬܟܰܦܰܪ,ܬܰܟܦܰܪ,ܬܶܬܬܰܟܦܰܪ
imperfect,2FS,ܬܶܟܦܪܺܝܢ,ܬܶܬܟܰܦܪܺܝܢ,ܬܟܰܦܪܺܝܢ,ܬܶܬܟܰܦܪܺܝܢ,ܬܰܟܦܪܺܝܢ,ܬܶܬܬܰܟܦܪܺܝܢ
imperfect,1CS,ܐܶܟܦܽܘܪ,ܐܶܬܟܦܰܪ,ܐܶܟܰܦܰܪ,ܐܶܬܟܰܦܰܪ,ܐܰܟܦܰܪ,ܐܶܬܬܰܟܦܰܪ
imperfect,3MP,ܢܶܟܦܪܽܘܢ,ܢܶܬܟܰܦܪܽܘܢ,ܢܟܰܦܪܽܘܢ,ܢܶܬܟܰܦܪܽܘܢ,ܢܰܟܦܪܽܘܢ,ܢܶܬܬܰܟܦܪܽܘܢ
imperfect,3FP,ܢܶܟ̈ܦܪܳܢ,ܢܶܬܟܰܦܪ̈ܳܢ,ܢܟܰܦܪ̈ܳܢ,ܢܶܬܟܰܦܪ̈ܳܢ,ܢܰܟܦܪ̈ܳܢ,ܢܶܬܬܰܟܦܪ̈ܳܢ
imperfect,2MP,ܬܶܟܦܪܽܘܢ,ܬܶܬܟܰܦܪܽܘܢ,ܬܟܰܦܪܽܘܢ,ܬܶܬܟܰܦܪܽܘܢ,ܬܰܟܦܪܽܘܢ,ܬܶܬܬܰܟܦܪܽܘܢ
imperfect,2FP,ܬܶܟ̈ܦܪܳܢ,ܬܶܬܟܰܦܪ̈ܳܢ,ܬܟܰܦܪ̈ܳܢ,ܬܶܬܟܰܦܪ̈ܳܢ,ܬܰܟܦܪ̈ܳܢ,ܬܶܬܬܰܟܦܪ̈ܳܢ
imperfect,1CP,ܢܶܟܦܽܘܪ,ܢܶܬܟܦܰܪ,ܢܟܰܦܰܪ,ܢܶܬܟܰܦܰܪ,ܢܰܟܦܰܪ,ܢܶܬܬܰܟܦܰܪ
imperative,MS,ܟܦܽܘܪ,ܐܶܬܟܰܦܪ,ܟܰܦܰܪ,ܐܶܬܟܰܦܰܪ,ܐܰܟܦܰܪ,ܐܶܬܬܰܟܦܰܪ
imperative,FS,ܟܦܽܘܪܝ,ܐܶܬܟܰܦܪܝ,ܟܰܦܰܪܝ,ܐܶܬܟܰܦܰܪܝ,ܐܰܟܦܰܪܝ,ܐܶܬܬܰܟܦܰܪܝ
imperative,MP,ܟܦܽܘܪܘ,ܐܶܬܟܰܦܪܘ,ܟܰܦܰܪܘ,ܐܶܬܟܰܦܰܪܘ,ܐܰܟܦܰܪܘ,ܐܶܬܬܰܟܦܰܪܘ
imperative,FP,ܟܦܽܘܪ̈ܝ,ܐܶܬܟܰܦܪ̈ܝ,ܟܰܦܰܪ̈ܝ,ܐܶܬܟܰܦܰܪ̈ܝ,ܐܰܟܦܰܪ̈ܝ,ܐܶܬܬܰܟܦܰܪ̈ܝ
