ܟܪܙ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܟܪܰܙ,´ܶܬܟܪܶܙ,ܟܰܪܶܙ,ܐܶܬܟܰܪܰܙ,ܐܰܟܪܶܙ,ܐܶܬܬܰܟܪܰܙ
perfect,3FS,ܟܶܪܙܰܬ,ܐܶܬܟܰܪܙܰܬ,ܟܰܪܙܰܬ,ܐܶܬܟܰܪܙܰܬ,ܐܰܟܪܙܰܬ,ܐܶܬܬܰܟܪܙܰܬ
perfect,2MS,ܟܪܰܙܬ,ܐܶܬܟܪܶܙܬ,ܟܰܪܶܙܬ,ܐܶܬܟܰܪܰܙܬ,ܐܰܟܪܶܙܬ,ܐܶܬܬܰܟܪܰܙܬ
perfect,2FS,ܟܪܰܙܬܝ,ܐܶܬܟܪܶܙܬܝ,ܟܰܪܶܙܬܝ,ܐܶܬܟܰܪܰܙܬܝ,ܐܰܟܪܶܙܬܝ,ܐܶܬܰܟܪܰܙܬܝ
perfect,1CS,ܟܶܪܙܶܬ,ܐܶܬܟܰܪܙܶܬ,ܟܰܪܙܶܬ,ܐܶܬܟܰܪܙܶܬ,ܐܰܟܪܙܶܬ,ܐܶܬܰܟܪܙܶܬ
perfect,3MP,ܟܪܰܙܘ,ܐܶܬܟܪܶܙܘ,ܟܰܪܶܙܘ,ܐܶܬܟܰܪܰܙܘ,ܐܰܟܪܶܙܘ,ܐܶܬܬܰܟܪܰܙܘ
perfect,3FP,ܟܪܰܙ̈ܝ,ܐܶܬܟܪܶܙ̈ܝ,ܟܰܪܶܙ̈ܝ,ܐܶܬܟܰܪܰܙ̈ܝ,ܐܰܟܪܶܙ̈ܝ,ܐܶܬܬܰܟܪܰܙ̈ܝ
perfect,2MP,ܟܪܰܙܬܽܘܢ,ܐܶܬܟܪܶܙܬܽܘܢ,ܟܰܪܶܙܬܽܘܢ,ܐܶܬܟܰܪܰܙܬܽܘܢ,ܐܰܟܪܶܙܬܽܘܢ,ܐܶܬܬܰܟܪܰܙܬܽܘܢ
perfect,2FP,ܟܪܰܙܬ̈ܶܝܢ,ܐܶܬܟܪܶܙ̈ܬܶܝܢ,ܟܰܪܶܙܬ̈ܶܝܢ,ܐܶܬܟܰܪܰܙ̈ܬܶܝܢ,ܐܰܟܪܶܙܬ̈ܶܝܢ,ܐܶܬܬܰܟܪܰܙ̈ܬܶܝܢ
