ܟܪܟ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܟܪܰܟ,´ܶܬܟܪܶܟ,ܟܰܪܶܟ,ܐܶܬܟܰܪܰܟ,ܐܰܟܪܶܟ,ܐܶܬܬܰܟܪܰܟ
perfect,3FS,ܟܶܪܟܰܬ,ܐܶܬܟܰܪܟܰܬ,ܟܰܪܟܰܬ,ܐܶܬܟܰܪܟܰܬ,ܐܰܟܪܟܰܬ,ܐܶܬܬܰܟܪܟܰܬ
perfect,2MS,ܟܪܰܟܬ,ܐܶܬܟܪܶܟܬ,ܟܰܪܶܟܬ,ܐܶܬܟܰܪܰܟܬ,ܐܰܟܪܶܟܬ,ܐܶܬܬܰܟܪܰܟܬ
perfect,2FS,ܟܪܰܟܬܝ,ܐܶܬܟܪܶܟܬܝ,ܟܰܪܶܟܬܝ,ܐܶܬܟܰܪܰܟܬܝ,ܐܰܟܪܶܟܬܝ,ܐܶܬܰܟܪܰܟܬܝ
perfect,1S,ܟܶܪܟܶܬ,ܐܶܬܟܰܪܟܶܬ,ܟܰܪܟܶܬ,ܐܶܬܟܰܪܟܶܬ,ܐܰܟܪܟܶܬ,ܐܶܬܰܟܪܟܶܬ
perfect,3MP,ܟܪܰܟܘ,ܐܶܬܟܪܶܟܘ,ܟܰܪܶܟܘ,ܐܶܬܟܰܪܰܟܘ,ܐܰܟܪܶܟܘ,ܐܶܬܬܰܟܪܰܟܘ
perfect,3FP,ܟܪܰܟ̈ܝ,ܐܶܬܟܪܶܟ̈ܝ,ܟܰܪܶܟ̈ܝ,ܐܶܬܟܰܪܰܟ̈ܝ,ܐܰܟܪܶܟ̈ܝ,ܐܶܬܬܰܟܪܰܟ̈ܝ
perfect,2MP,ܟܪܰܟܬܽܘܢ,ܐܶܬܟܪܶܟܬܽܘܢ,ܟܰܪܶܟܬܽܘܢ,ܐܶܬܟܰܪܰܟܬܽܘܢ,ܐܰܟܪܶܟܬܽܘܢ,ܐܶܬܬܰܟܪܰܟܬܽܘܢ
perfect,2FP,ܟܪܰܟܬ̈ܶܝܢ,ܐܶܬܟܪܶܟ̈ܬܶܝܢ,ܟܰܪܶܟܬ̈ܶܝܢ,ܐܶܬܟܰܪܰܟ̈ܬܶܝܢ,ܐܰܟܪܶܟܬ̈ܶܝܢ,ܐܶܬܬܰܟܪܰܟ̈ܬܶܝܢ
perfect,1P,ܟܪܰܟܢ,ܐܶܬܟܪܶܟܢ,ܟܰܪܶܟܢ,ܐܶܬܟܰܪܰܟܢ,ܐܰܟܪܶܟܢ,ܐܶܬܬܰܟܪܰܟܢ
imperfect,3MS,ܢܶܟܪܰܟ,ܢܶܬܟܪܶܟ,ܢܟܰܪܶܟ,ܢܶܬܟܰܪܰܟ,ܢܰܟܪܶܟ,ܢܶܬܬܰܟܪܰܟ
imperfect,3FS,ܬܶܟܪܰܟ,ܬܶܬܟܪܶܟ,ܬܟܰܪܶܟ,ܬܶܬܟܰܪܰܟ,ܬܰܟܪܶܟ,ܬܶܬܰܟܪܰܟܝ
imperfect,2MS,ܬܶܟܪܰܟ,ܬܶܬܟܪܶܟ,ܬܟܰܪܶܟ,ܬܶܬܟܰܪܰܟ,ܬܰܟܪܶܟ,ܬܶܬܰܟܪܰܟ
