ܟܬܒ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܟܬܰܒ,´ܶܬܟܬܶܒ,ܟܰܬܶܒ,ܐܶܬܟܰܬܰܒ,ܐܰܟܬܶܒ,ܐܶܬܬܰܟܬܰܒ
perfect,3FS,ܟܶܬܒܰܬ,ܐܶܬܟܰܬܒܰܬ,ܟܰܬܒܰܬ,ܐܶܬܟܰܬܒܰܬ,ܐܰܟܬܒܰܬ,ܐܶܬܬܰܟܬܒܰܬ
perfect,2MS,ܟܬܰܒܬ,ܐܶܬܟܬܶܒܬ,ܟܰܬܶܒܬ,ܐܶܬܟܰܬܰܒܬ,ܐܰܟܬܶܒܬ,ܐܶܬܬܰܟܬܰܒܬ
perfect,2FS,ܟܬܰܒܬܝ,ܐܶܬܟܬܶܒܬܝ,ܟܰܬܶܒܬܝ,ܐܶܬܟܰܬܰܒܬܝ,ܐܰܟܬܶܒܬܝ,ܐܶܬܰܟܬܰܒܬܝ
perfect,1S,ܟܶܬܒܶܬ,ܐܶܬܟܰܬܒܶܬ,ܟܰܬܒܶܬ,ܐܶܬܟܰܬܒܶܬ,ܐܰܟܬܒܶܬ,ܐܶܬܰܟܬܒܶܬ
perfect,3MP,ܟܬܰܒܘ,ܐܶܬܟܬܶܒܘ,ܟܰܬܶܒܘ,ܐܶܬܟܰܬܰܒܘ,ܐܰܟܬܶܒܘ,ܐܶܬܬܰܟܬܰܒܘ
perfect,3FP,ܟܬܰܒ̈ܝ,ܐܶܬܟܬܶܒ̈ܝ,ܟܰܬܶܒ̈ܝ,ܐܶܬܟܰܬܰܒ̈ܝ,ܐܰܟܬܶܒ̈ܝ,ܐܶܬܬܰܟܬܰܒ̈ܝ
perfect,2MP,ܟܬܰܒܬܽܘܢ,ܐܶܬܟܬܶܒܬܽܘܢ,ܟܰܬܶܒܬܽܘܢ,ܐܶܬܟܰܬܰܒܬܽܘܢ,ܐܰܟܬܶܒܬܽܘܢ,ܐܶܬܬܰܟܬܰܒܬܽܘܢ
perfect,2FP,ܟܬܰܒܬ̈ܶܝܢ,ܐܶܬܟܬܶܒ̈ܬܶܝܢ,ܟܰܬܶܒܬ̈ܶܝܢ,ܐܶܬܟܰܬܰܒ̈ܬܶܝܢ,ܐܰܟܬܶܒܬ̈ܶܝܢ,ܐܶܬܬܰܟܬܰܒ̈ܬܶܝܢ
perfect,1P,ܟܬܰܒܢ,ܐܶܬܟܬܶܒܢ,ܟܰܬܶܒܢ,ܐܶܬܟܰܬܰܒܢ,ܐܰܟܬܶܒܢ,ܐܶܬܬܰܟܬܰܒܢ
imperfect,3MS,ܢܶܟܬܽܘܒ,ܢܶܬܟܬܶܒ,ܢܟܰܬܶܒ,ܢܶܬܟܰܬܰܒ,ܢܰܟܬܶܒ,ܢܶܬܬܰܟܬܰܒ
imperfect,3FS,ܬܶܟܬܽܘܒ,ܬܶܬܟܬܶܒ,ܬܟܰܬܶܒ,ܬܶܬܟܰܬܰܒ,ܬܰܟܬܶܒ,ܬܶܬܰܟܬܰܒܝ
imperfect,2MS,ܬܶܟܬܽܘܒ,ܬܶܬܟܬܶܒ,ܬܟܰܬܶܒ,ܬܶܬܟܰܬܰܒ,ܬܰܟܬܶܒ,ܬܶܬܰܟܬܰܒ
imperfect,2FS,ܬܶܟܬܒܺܝܢ,ܬܶܬܟܰܬܒܺܝܢ,ܬܟܰܬܒܺܝܢ,ܬܶܬܟܰܬܒܺܝܢ,ܬܰܟܬܒܺܝܢ,ܬܶܬܰܟܬܒܺܝܢ
imperfect,1S,ܐܶܟܬܽܘܒ,ܐܶܬܟܬܶܒ,ܐܶܟܰܬܶܒ,ܐܶܬܟܰܬܰܒ,ܐܰܟܬܶܒ,ܐܶܬܬܰܟܬܰܒ
imperfect,3MP,ܢܶܟܬܒܽܘܢ,ܢܶܬܟܰܬܒܽܘܢ,ܢܟܰܬܒܽܘܢ,ܢܶܬܟܰܬܒܽܘܢ,ܢܰܟܬܒܽܘܢ,ܢܶܬܬܰܟܬܒܽܘܢ
imperfect,3FP,ܢܶܟ̈ܬܒܳܢ,ܢܶܬܟܰܬܒ̈ܳܢ,ܢܟܰܬܒ̈ܳܢ,ܢܶܬܟܰܬܒ̈ܳܢ,ܢܰܟܬܒ̈ܳܢ,ܢܶܬܬܰܟܬܒ̈ܳܢ
imperfect,2MP,ܬܶܟܬܒܽܘܢ,ܬܶܬܟܰܬܒܽܘܢ,ܬܟܰܬܒܽܘܢ,ܬܶܬܟܰܬܒܽܘܢ,ܬܰܟܬܒܽܘܢ,ܬܶܬܰܟܬܒܽܘܢ
imperfect,2FP,ܬܶܟ̈ܬܒܳܢ,ܬܶܬܟܰܬܒ̈ܳܢ,ܬܟܰܬܒ̈ܳܢ,ܬܶܬܟܰܬܒ̈ܳܢ,ܬܰܟܬܒ̈ܳܢ,ܬܶܬܰܟܬܒ̈ܳܢ
imperfect,1P,ܢܶܟܬܽܘܒ,ܢܶܬܟܬܶܒ,ܢܟܰܬܶܒ,ܢܶܬܟܰܬܰܒ,ܢܰܟܬܶܒ,ܢܶܬܬܰܟܬܰܒ
imperative,MS,ܟܬܽܘܒ,ܐܶܬܟܰܬܒ,ܟܰܬܶܒ,ܐܶܬܟܰܬܰܒ,ܐܰܟܬܶܒ,ܐܶܬܬܰܟܬܰܒ
imperative,FS,ܟܬܽܘܒܝ,ܐܶܬܟܰܬܒܝ,ܟܰܬܶܒܝ,ܐܶܬܟܰܬܰܒܝ,ܐܰܟܬܶܒܝ,ܐܶܬܬܰܟܬܰܒܝ
imperative,MP,ܟܬܽܘܒܘ,ܐܶܬܟܰܬܒܘ,ܟܰܬܶܒܘ,ܐܶܬܟܰܬܰܒܘ,ܐܰܟܬܶܒܘ,ܐܶܬܬܰܟܬܰܒܘ
imperative,FP,ܟܬܽܘܒ̈ܝ,ܐܶܬܟܰܬܒ̈ܝ,ܟܰܬܶܒ̈ܝ,ܐܶܬܟܰܬܰܒ̈ܝ,ܐܰܟܬܶܒ̈ܝ,ܐܶܬܬܰܟܬܰܒ̈ܝ
active-participle,MS,ܟܳܬܶܒ,ܡܶܬܟܬܶܒ,ܡܟܰܬܶܒ,ܡܶܬܟܰܬܰܒ,ܡܰܟܬܶܒ,ܡܶܬܬܰܟܬܰܒ
active-participle,FS,ܟܳܬܒܳܐ,ܡܶܬܟܰܬܒܳܐ,ܡܟܰܬܒܳܐ,ܡܶܬܟܰܬܒܳܐ,ܡܰܟܬܒܳܐ,ܡܶܬܬܰܟܬܒܳܐ
active-participle,MP,ܟܳܬܒܺܝܢ,ܡܶܬܟܰܬܒܺܝܢ,ܡܟܰܬܒܺܝܢ,ܡܶܬܟܰܬܒܺܝܢ,ܡܰܟܬܒܺܝܢ,ܡܶܬܬܰܟܬܒܺܝܢ
active-participle,FP,ܟܳܬ̈ܒܳܢ,ܡܶܬܟܰܬ̈ܒܳܢ,ܡܟܰܬ̈ܒܳܢ,ܡܶܬܟܰܬܒ̈ܳܢ,ܡܰܟܬܒ̈ܳܢ,ܡܶܬܬܰܟܬܒ̈ܳܢ
passive-participle,MS,ܟܬܺܝܒ,,ܡܟܰܬܰܒ,,ܡܰܟܬܰܒ,
passive-participle,FS,ܟܬܺܝܒܳܐ,,ܡܟܰܬܒܳܐ,,ܡܰܟܬܒܳܐ,
passive-participle,MP,ܟܬܺܝܒܺܝܢ,,ܡܟܰܬܒܺܝܢ,,ܡܰܟܬܒܺܝܢ,
passive-participle,FP,ܟܬܺܝ̈ܒܳܢ,,ܡܟܰܬ̈ܒܳܢ,,ܡܰܟܬ̈ܒܳܢ,
infinitive,,ܡܶܟܬܰܒ,ܡܶܬܟܬܳܒܽܘ,ܡܟܰܬܳܒܽܘ,ܡܶܬܟܰܬܳܒܽܘ,ܡܰܟܬܳܒܽܘ,ܡܶܬܬܰܟܬܳܒܽܘ
