ܠܚܫ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܠܚܰܫ,´ܶܬܠܚܶܫ,ܠܰܚܶܫ,ܐܶܬܠܰܚܰܫ,ܐܰܠܚܶܫ,ܐܶܬܬܰܠܚܰܫ
perfect,3FS,ܠܶܚܫܰܬ,ܐܶܬܠܰܚܫܰܬ,ܠܰܚܫܰܬ,ܐܶܬܠܰܚܫܰܬ,ܐܰܠܚܫܰܬ,ܐܶܬܬܰܠܚܫܰܬ
perfect,2MS,ܠܚܰܫܬ,ܐܶܬܠܚܶܫܬ,ܠܰܚܶܫܬ,ܐܶܬܠܰܚܰܫܬ,ܐܰܠܚܶܫܬ,ܐܶܬܬܰܠܚܰܫܬ
perfect,2FS,ܠܚܰܫܬܝ,ܐܶܬܠܚܶܫܬܝ,ܠܰܚܶܫܬܝ,ܐܶܬܠܰܚܰܫܬܝ,ܐܰܠܚܶܫܬܝ,ܐܶܬܰܠܚܰܫܬܝ
perfect,1S,ܠܶܚܫܶܬ,ܐܶܬܠܰܚܫܶܬ,ܠܰܚܫܶܬ,ܐܶܬܠܰܚܫܶܬ,ܐܰܠܚܫܶܬ,ܐܶܬܰܠܚܫܶܬ
perfect,3MP,ܠܚܰܫܘ,ܐܶܬܠܚܶܫܘ,ܠܰܚܶܫܘ,ܐܶܬܠܰܚܰܫܘ,ܐܰܠܚܶܫܘ,ܐܶܬܬܰܠܚܰܫܘ
perfect,3FP,ܠܚܰܫ̈ܝ,ܐܶܬܠܚܶܫ̈ܝ,ܠܰܚܶܫ̈ܝ,ܐܶܬܠܰܚܰܫ̈ܝ,ܐܰܠܚܶܫ̈ܝ,ܐܶܬܬܰܠܚܰܫ̈ܝ
perfect,2MP,ܠܚܰܫܬܽܘܢ,ܐܶܬܠܚܶܫܬܽܘܢ,ܠܰܚܶܫܬܽܘܢ,ܐܶܬܠܰܚܰܫܬܽܘܢ,ܐܰܠܚܶܫܬܽܘܢ,ܐܶܬܬܰܠܚܰܫܬܽܘܢ
perfect,2FP,ܠܚܰܫܬ̈ܶܝܢ,ܐܶܬܠܚܶܫ̈ܬܶܝܢ,ܠܰܚܶܫܬ̈ܶܝܢ,ܐܶܬܠܰܚܰܫ̈ܬܶܝܢ,ܐܰܠܚܶܫܬ̈ܶܝܢ,ܐܶܬܬܰܠܚܰܫ̈ܬܶܝܢ
perfect,1P,ܠܚܰܫܢ,ܐܶܬܠܚܶܫܢ,ܠܰܚܶܫܢ,ܐܶܬܠܰܚܰܫܢ,ܐܰܠܚܶܫܢ,ܐܶܬܬܰܠܚܰܫܢ
imperfect,3MS,ܢܶܠܚܰܫ,ܢܶܬܠܚܶܫ,ܢܠܰܚܶܫ,ܢܶܬܠܰܚܰܫ,ܢܰܠܚܶܫ,ܢܶܬܬܰܠܚܰܫ
imperfect,3FS,ܬܶܠܚܰܫ,ܬܶܬܠܚܶܫ,ܬܠܰܚܶܫ,ܬܶܬܠܰܚܰܫ,ܬܰܠܚܶܫ,ܬܶܬܰܠܚܰܫܝ
imperfect,2MS,ܬܶܠܚܰܫ,ܬܶܬܠܚܶܫ,ܬܠܰܚܶܫ,ܬܶܬܠܰܚܰܫ,ܬܰܠܚܶܫ,ܬܶܬܰܠܚܰܫ
imperfect,2FS,ܬܶܠܚܫܺܝܢ,ܬܶܬܠܰܚܫܺܝܢ,ܬܠܰܚܫܺܝܢ,ܬܶܬܠܰܚܫܺܝܢ,ܬܰܠܚܫܺܝܢ,ܬܶܬܰܠܚܫܺܝܢ
imperfect,1S,ܐܶܠܚܰܫ,ܐܶܬܠܚܶܫ,ܐܶܠܰܚܶܫ,ܐܶܬܠܰܚܰܫ,ܐܰܠܚܶܫ,ܐܶܬܬܰܠܚܰܫ
imperfect,3MP,ܢܶܠܚܫܽܘܢ,ܢܶܬܠܰܚܫܽܘܢ,ܢܠܰܚܫܽܘܢ,ܢܶܬܠܰܚܫܽܘܢ,ܢܰܠܚܫܽܘܢ,ܢܶܬܬܰܠܚܫܽܘܢ
imperfect,3FP,ܢܶܠ̈ܚܫܳܢ,ܢܶܬܠܰܚܫ̈ܳܢ,ܢܠܰܚܫ̈ܳܢ,ܢܶܬܠܰܚܫ̈ܳܢ,ܢܰܠܚܫ̈ܳܢ,ܢܶܬܬܰܠܚܫ̈ܳܢ
imperfect,2MP,ܬܶܠܚܫܽܘܢ,ܬܶܬܠܰܚܫܽܘܢ,ܬܠܰܚܫܽܘܢ,ܬܶܬܠܰܚܫܽܘܢ,ܬܰܠܚܫܽܘܢ,ܬܶܬܰܠܚܫܽܘܢ
imperfect,2FP,ܬܶܠ̈ܚܫܳܢ,ܬܶܬܠܰܚܫ̈ܳܢ,ܬܠܰܚܫ̈ܳܢ,ܬܶܬܠܰܚܫ̈ܳܢ,ܬܰܠܚܫ̈ܳܢ,ܬܶܬܰܠܚܫ̈ܳܢ
imperfect,1P,ܢܶܠܚܰܫ,ܢܶܬܠܚܶܫ,ܢܠܰܚܶܫ,ܢܶܬܠܰܚܰܫ,ܢܰܠܚܶܫ,ܢܶܬܬܰܠܚܰܫ
imperative,MS,ܠܚܰܫ,ܐܶܬܠܰܚܫ,ܠܰܚܶܫ,ܐܶܬܠܰܚܰܫ,ܐܰܠܚܶܫ,ܐܶܬܬܰܠܚܰܫ
imperative,FS,ܠܚܽܰܫܝ,ܐܶܬܠܰܚܫܝ,ܠܰܚܶܫܝ,ܐܶܬܠܰܚܰܫܝ,ܐܰܠܚܶܫܝ,ܐܶܬܬܰܠܚܰܫܝ
imperative,MP,ܠܚܰܫܘ,ܐܶܬܠܰܚܫܘ,ܠܰܚܶܫܘ,ܐܶܬܠܰܚܰܫܘ,ܐܰܠܚܶܫܘ,ܐܶܬܬܰܠܚܰܫܘ
