ܡܠܟ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܡܠܰܟ,´ܶܬܡܠܶܟ,ܡܰܠܶܟ,ܐܶܬܡܰܠܰܟ,ܐܰܡܠܶܟ,ܐܶܬܬܰܡܠܰܟ
perfect,3FS,ܡܶܠܟܰܬ,ܐܶܬܡܰܠܟܰܬ,ܡܰܠܟܰܬ,ܐܶܬܡܰܠܟܰܬ,ܐܰܡܠܟܰܬ,ܐܶܬܬܰܡܠܟܰܬ
perfect,2MS,ܡܠܰܟܬ,ܐܶܬܡܠܶܟܬ,ܡܰܠܶܟܬ,ܐܶܬܡܰܠܰܟܬ,ܐܰܡܠܶܟܬ,ܐܶܬܬܰܡܠܰܟܬ
perfect,2FS,ܡܠܰܟܬܝ,ܐܶܬܡܠܶܟܬܝ,ܡܰܠܶܟܬܝ,ܐܶܬܡܰܠܰܟܬܝ,ܐܰܡܠܶܟܬܝ,ܐܶܬܰܡܠܰܟܬܝ
perfect,1S,ܡܶܠܟܶܬ,ܐܶܬܡܰܠܟܶܬ,ܡܰܠܟܶܬ,ܐܶܬܡܰܠܟܶܬ,ܐܰܡܠܟܶܬ,ܐܶܬܰܡܠܟܶܬ
perfect,3MP,ܡܠܰܟܘ,ܐܶܬܡܠܶܟܘ,ܡܰܠܶܟܘ,ܐܶܬܡܰܠܰܟܘ,ܐܰܡܠܶܟܘ,ܐܶܬܬܰܡܠܰܟܘ
perfect,3FP,ܡܠܰܟ̈ܝ,ܐܶܬܡܠܶܟ̈ܝ,ܡܰܠܶܟ̈ܝ,ܐܶܬܡܰܠܰܟ̈ܝ,ܐܰܡܠܶܟ̈ܝ,ܐܶܬܬܰܡܠܰܟ̈ܝ
perfect,2MP,ܡܠܰܟܬܽܘܢ,ܐܶܬܡܠܶܟܬܽܘܢ,ܡܰܠܶܟܬܽܘܢ,ܐܶܬܡܰܠܰܟܬܽܘܢ,ܐܰܡܠܶܟܬܽܘܢ,ܐܶܬܬܰܡܠܰܟܬܽܘܢ
perfect,2FP,ܡܠܰܟܬ̈ܶܝܢ,ܐܶܬܡܠܶܟ̈ܬܶܝܢ,ܡܰܠܶܟܬ̈ܶܝܢ,ܐܶܬܡܰܠܰܟ̈ܬܶܝܢ,ܐܰܡܠܶܟܬ̈ܶܝܢ,ܐܶܬܬܰܡܠܰܟ̈ܬܶܝܢ
perfect,1P,ܡܠܰܟܢ,ܐܶܬܡܠܶܟܢ,ܡܰܠܶܟܢ,ܐܶܬܡܰܠܰܟܢ,ܐܰܡܠܶܟܢ,ܐܶܬܬܰܡܠܰܟܢ
imperfect,3MS,ܢܶܡܠܽܘܟ,ܢܶܬܡܠܶܟ,ܢܡܰܠܶܟ,ܢܶܬܡܰܠܰܟ,ܢܰܡܠܶܟ,ܢܶܬܬܰܡܠܰܟ
imperfect,3FS,ܬܶܡܠܽܘܟ,ܬܶܬܡܠܶܟ,ܬܡܰܠܶܟ,ܬܶܬܡܰܠܰܟ,ܬܰܡܠܶܟ,ܬܶܬܰܡܠܰܟܝ
imperfect,2MS,ܬܶܡܠܽܘܟ,ܬܶܬܡܠܶܟ,ܬܡܰܠܶܟ,ܬܶܬܡܰܠܰܟ,ܬܰܡܠܶܟ,ܬܶܬܰܡܠܰܟ
imperfect,2FS,ܬܶܡܠܟܺܝܢ,ܬܶܬܡܰܠܟܺܝܢ,ܬܡܰܠܟܺܝܢ,ܬܶܬܡܰܠܟܺܝܢ,ܬܰܡܠܟܺܝܢ,ܬܶܬܰܡܠܟܺܝܢ
imperfect,1S,ܐܶܡܠܽܘܟ,ܐܶܬܡܠܶܟ,ܐܶܡܰܠܶܟ,ܐܶܬܡܰܠܰܟ,ܐܰܡܠܶܟ,ܐܶܬܬܰܡܠܰܟ
imperfect,3MP,ܢܶܡܠܟܽܘܢ,ܢܶܬܡܰܠܟܽܘܢ,ܢܡܰܠܟܽܘܢ,ܢܶܬܡܰܠܟܽܘܢ,ܢܰܡܠܟܽܘܢ,ܢܶܬܬܰܡܠܟܽܘܢ
imperfect,3FP,ܢܶܡ̈ܠܟܳܢ,ܢܶܬܡܰܠܟ̈ܳܢ,ܢܡܰܠܟ̈ܳܢ,ܢܶܬܡܰܠܟ̈ܳܢ,ܢܰܡܠܟ̈ܳܢ,ܢܶܬܬܰܡܠܟ̈ܳܢ
imperfect,2MP,ܬܶܡܠܟܽܘܢ,ܬܶܬܡܰܠܟܽܘܢ,ܬܡܰܠܟܽܘܢ,ܬܶܬܡܰܠܟܽܘܢ,ܬܰܡܠܟܽܘܢ,ܬܶܬܰܡܠܟܽܘܢ
imperfect,2FP,ܬܶܡ̈ܠܟܳܢ,ܬܶܬܡܰܠܟ̈ܳܢ,ܬܡܰܠܟ̈ܳܢ,ܬܶܬܡܰܠܟ̈ܳܢ,ܬܰܡܠܟ̈ܳܢ,ܬܶܬܰܡܠܟ̈ܳܢ
