ܣܒܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܣܒܰܪ,ܐܶܣܬܒܰܪ,ܣܰܒܰܪ,ܐܶܣܬܰܒܰܪ,ܐܰܣܒܰܪ,ܐܶܬܣܰܬܒܰܪ
perfect,3FS,ܣܶܒܪܰܬ,ܐܶܣܬܰܒܪܰܬ,ܣܰܒܪܰܬ,ܐܶܣܬܰܒܪܰܬ,ܐܰܣܒܪܰܬ,ܐܶܬܣܰܬܒܪܰܬ
perfect,2MS,ܣܒܰܪܬ,ܐܶܣܬܒܰܪܬ,ܣܰܒܰܪܬ,ܐܶܣܬܰܒܰܪܬ,ܐܰܣܒܰܪܬ,ܐܶܬܣܰܬܒܰܪܬ
perfect,2FS,ܣܒܰܪܬܝ,ܐܶܣܬܒܰܪܬܝ,ܣܰܒܰܪܬܝ,ܐܶܣܬܰܒܰܪܬܝ,ܐܰܣܒܰܪܬܝ,ܐܶܬܒܣܬܰܪܬܝ
perfect,1CS,ܣܶܒܪܶܬ,ܐܶܣܬܰܒܪܶܬ,ܣܰܒܪܶܬ,ܐܶܣܬܰܒܪܶܬ,ܐܰܣܒܪܶܬ,ܐܶܬܒܣܬܪܶܬ
perfect,3MP,ܣܒܰܪܘ,ܐܶܣܬܒܰܪܘ,ܣܰܒܰܪܘ,ܐܶܣܬܰܒܰܪܘ,ܐܰܣܒܰܪܘ,ܐܶܬܣܰܬܒܰܪܘ
perfect,3FP,ܣܒܰܪ̈ܝ,ܐܶܣܬܒܰܪ̈ܝ,ܣܰܒܰܪ̈ܝ,ܐܶܣܬܰܒܰܪ̈ܝ,ܐܰܣܒܰܪ̈ܝ,ܐܶܬܣܰܬܒܰܪ̈ܝ
perfect,2MP,ܣܒܰܪܬܽܘܢ,ܐܶܣܬܒܰܪܬܽܘܢ,ܣܰܒܰܪܬܽܘܢ,ܐܶܣܬܰܒܰܪܬܽܘܢ,ܐܰܣܒܰܪܬܽܘܢ,ܐܶܬܣܰܬܒܰܪܬܽܘܢ
perfect,2FP,ܣܒܰܪܬ̈ܶܝܢ,ܐܶܣܬܒܰܪ̈ܬܶܝܢ,ܣܰܒܰܪܬ̈ܶܝܢ,ܐܶܣܬܰܒܰܪ̈ܬܶܝܢ,ܐܰܣܒܰܪܬ̈ܶܝܢ,ܐܶܬܣܰܬܒܰܪ̈ܬܶܝܢ
perfect,1CP,ܣܒܰܪܢ,ܐܶܣܬܒܰܪܢ,ܣܰܒܰܪܢ,ܐܶܣܬܰܒܰܪܢ,ܐܰܣܒܰܪܢ,ܐܶܬܣܰܬܒܰܪܢ
imperfect,3MS,ܢܶܣܒܰܪ,ܢܶܣܬܒܰܪ,ܢܣܰܒܰܪ,ܢܶܣܬܰܒܰܪ,ܢܰܣܒܰܪ,ܢܶܬܣܰܬܒܰܪ
imperfect,3FS,ܬܶܣܒܰܪ,ܬܶܣܬܒܰܪ,ܬܣܰܒܰܪ,ܬܶܣܬܰܒܰܪ,ܬܰܣܒܰܪ,ܬܶܬܣܰܬܒܰܪܝ
imperfect,2MS,ܬܶܣܒܰܪ,ܬܶܣܬܒܰܪ,ܬܣܰܒܰܪ,ܬܶܣܬܰܒܰܪ,ܬܰܣܒܰܪ,ܬܶܬܣܰܬܒܰܪ
imperfect,2FS,ܬܶܣܒܪܺܝܢ,ܬܶܣܬܰܒܪܺܝܢ,ܬܣܰܒܪܺܝܢ,ܬܶܣܬܰܒܪܺܝܢ,ܬܰܣܒܪܺܝܢ,ܬܶܬܣܰܬܒܪܺܝܢ
imperfect,1CS,ܐܶܣܒܰܪ,ܐܶܣܬܒܰܪ,ܐܶܣܰܒܰܪ,ܐܶܣܬܰܒܰܪ,ܐܰܣܒܰܪ,ܐܶܬܣܰܬܒܰܪ
imperfect,3MP,ܢܶܣܒܪܽܘܢ,ܢܶܣܬܰܒܪܽܘܢ,ܢܣܰܒܪܽܘܢ,ܢܶܣܬܰܒܪܽܘܢ,ܢܰܣܒܪܽܘܢ,ܢܶܬܣܰܬܒܪܽܘܢ
imperfect,3FP,ܢܶܣ̈ܒܪܳܢ,ܢܶܣܬܰܒܪ̈ܳܢ,ܢܣܰܒܪ̈ܳܢ,ܢܶܣܬܰܒܪ̈ܳܢ,ܢܰܣܒܪ̈ܳܢ,ܢܶܬܣܰܬܒܪ̈ܳܢ
imperfect,2MP,ܬܶܣܒܪܽܘܢ,ܬܶܣܬܰܒܪܽܘܢ,ܬܣܰܒܪܽܘܢ,ܬܶܣܬܰܒܪܽܘܢ,ܬܰܣܒܪܽܘܢ,ܬܶܬܣܰܬܒܪܽܘܢ
imperfect,2FP,ܬܶܣ̈ܒܪܳܢ,ܬܶܣܬܰܒܪ̈ܳܢ,ܬܣܰܒܪ̈ܳܢ,ܬܶܣܬܰܒܪ̈ܳܢ,ܬܰܣܒܪ̈ܳܢ,ܬܶܬܣܰܬܒܪ̈ܳܢ
imperfect,1CP,ܢܶܣܒܰܪ,ܢܶܣܬܒܰܪ,ܢܣܰܒܰܪ,ܢܶܣܬܰܒܰܪ,ܢܰܣܒܰܪ,ܢܶܬܣܰܬܒܰܪ
imperative,MS,ܣܒܽܘܪ,ܐܶܣܬܰܒܪ,ܣܰܒܰܪ,ܐܶܣܬܰܒܰܪ,ܐܰܣܒܰܪ,ܐܶܬܣܰܬܒܰܪ
imperative,FS,ܣܒܽܘܪܝ,ܐܶܣܬܰܒܪܝ,ܣܰܒܰܪܝ,ܐܶܣܬܰܒܰܪܝ,ܐܰܣܒܰܪܝ,ܐܶܬܣܰܬܒܰܪܝ
imperative,MP,ܣܒܽܘܪܘ,ܐܶܣܬܰܒܪܘ,ܣܰܒܰܪܘ,ܐܶܣܬܰܒܰܪܘ,ܐܰܣܒܰܪܘ,ܐܶܬܣܰܬܒܰܪܘ
imperative,FP,ܣܒܽܘܪ̈ܝ,ܐܶܣܬܰܒܪ̈ܝ,ܣܰܒܰܪ̈ܝ,ܐܶܣܬܰܒܰܪ̈ܝ,ܐܰܣܒܰܪ̈ܝ,ܐܶܬܣܰܬܒܰܪ̈ܝ
active-participle,MS,ܣܳܒܰܪ,ܡܶܣܬܒܰܪ,ܡܣܰܒܰܪ,ܡܶܣܬܰܒܰܪ,ܡܰܣܒܰܪ,ܡܶܬܣܰܬܒܰܪ
active-participle,FS,ܣܳܒܪܳܐ,ܡܶܣܬܰܒܪܳܐ,ܡܣܰܒܪܳܐ,ܡܶܣܬܰܒܪܳܐ,ܡܰܣܒܪܳܐ,ܡܶܬܣܰܬܒܪܳܐ
active-participle,MP,ܣܳܒܪܺܝܢ,ܡܶܣܬܰܒܪܺܝܢ,ܡܣܰܒܪܺܝܢ,ܡܶܣܬܰܒܪܺܝܢ,ܡܰܣܒܪܺܝܢ,ܡܶܬܣܰܬܒܪܺܝܢ
active-participle,FP,ܣܳܒ̈ܪܳܢ,ܡܶܣܬܰܒܪ̈ܳܢ,ܡܣܰܒܪ̈ܳܢ,ܡܶܣܬܰܒܪ̈ܳܢ,ܡܰܣܒܪ̈ܳܢ,ܡܶܬܣܰܬܒܪ̈ܳܢ
passive-participle,MS,ܣܒܺܝܪ,,ܡܣܰܒܰܪ,,ܡܰܣܒܰܪ,
passive-participle,FS,ܣܒܺܝܪܳܐ,,ܡܣܰܒܪܳܐ,,ܡܰܣܒܪܳܐ,
passive-participle,MP,ܣܒܺܝܪܺܝܢ,,ܡܣܰܒܪܺܝܢ,,ܡܰܣܒܪܺܝܢ,
passive-participle,FP,ܣܒܺܝ̈ܪܳܢ,,ܡܣܰܒ̈ܪܳܢ,,ܡܰܣܒ̈ܪܳܢ,
infinitive,,ܡܶܣܒܰܪ,ܡܶܣܬܒܳܪܽܘ,ܡܣܰܒܳܪܽܘ,ܡܶܣܬܰܒܳܪܽܘ,ܡܰܣܒܳܪܽܘ,ܡܶܬܣܰܬܒܳܪܽܘ
