ܣܓܕ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܣܓܶܕ,´ܶܣܬܓܶܕ,ܣܰܓܶܕ,ܐܶܣܬܰܓܰܕ,ܐܰܣܓܶܕ,ܐܶܬܣܰܬܓܰܕ
perfect,3FS,ܣܶܓܕܰܬ,ܐܶܣܬܰܓܕܰܬ,ܣܰܓܕܰܬ,ܐܶܣܬܰܓܕܰܬ,ܐܰܣܓܕܰܬ,ܐܶܬܣܰܬܓܕܰܬ
perfect,2MS,ܣܓܶܕܬ,ܐܶܣܬܓܶܕܬ,ܣܰܓܶܕܬ,ܐܶܣܬܰܓܰܕܬ,ܐܰܣܓܶܕܬ,ܐܶܬܣܰܬܓܰܕܬ
perfect,2FS,ܣܓܶܕܬܝ,ܐܶܣܬܓܶܕܬܝ,ܣܰܓܶܕܬܝ,ܐܶܣܬܰܓܰܕܬܝ,ܐܰܣܓܶܕܬܝ,ܐܶܬܓܣܬܰܕܬܝ
perfect,1CS,ܣܶܓܕܶܬ,ܐܶܣܬܰܓܕܶܬ,ܣܰܓܕܶܬ,ܐܶܣܬܰܓܕܶܬ,ܐܰܣܓܕܶܬ,ܐܶܬܓܣܬܕܶܬ
perfect,3MP,ܣܓܶܕܘ,ܐܶܣܬܓܶܕܘ,ܣܰܓܶܕܘ,ܐܶܣܬܰܓܰܕܘ,ܐܰܣܓܶܕܘ,ܐܶܬܣܰܬܓܰܕܘ
perfect,3FP,ܣܓܶܕ̈ܝ,ܐܶܣܬܓܶܕ̈ܝ,ܣܰܓܶܕ̈ܝ,ܐܶܣܬܰܓܰܕ̈ܝ,ܐܰܣܓܶܕ̈ܝ,ܐܶܬܣܰܬܓܰܕ̈ܝ
perfect,2MP,ܣܓܶܕܬܽܘܢ,ܐܶܣܬܓܶܕܬܽܘܢ,ܣܰܓܶܕܬܽܘܢ,ܐܶܣܬܰܓܰܕܬܽܘܢ,ܐܰܣܓܶܕܬܽܘܢ,ܐܶܬܣܰܬܓܰܕܬܽܘܢ
perfect,2FP,ܣܓܶܕܬ̈ܶܝܢ,ܐܶܣܬܓܶܕ̈ܬܶܝܢ,ܣܰܓܶܕܬ̈ܶܝܢ,ܐܶܣܬܰܓܰܕ̈ܬܶܝܢ,ܐܰܣܓܶܕܬ̈ܶܝܢ,ܐܶܬܣܰܬܓܰܕ̈ܬܶܝܢ
perfect,1CP,ܣܓܶܕܢ,ܐܶܣܬܓܶܕܢ,ܣܰܓܶܕܢ,ܐܶܣܬܰܓܰܕܢ,ܐܰܣܓܶܕܢ,ܐܶܬܣܰܬܓܰܕܢ
imperfect,3MS,ܢܶܣܓܰܕ,ܢܶܣܬܓܶܕ,ܢܣܰܓܶܕ,ܢܶܣܬܰܓܰܕ,ܢܰܣܓܶܕ,ܢܶܬܣܰܬܓܰܕ
imperfect,3FS,ܬܶܣܓܰܕ,ܬܶܣܬܓܶܕ,ܬܣܰܓܶܕ,ܬܶܣܬܰܓܰܕ,ܬܰܣܓܶܕ,ܬܶܬܓܣܬܰܕܝ
imperfect,2MS,ܬܶܣܓܰܕ,ܬܶܣܬܓܶܕ,ܬܣܰܓܶܕ,ܬܶܣܬܰܓܰܕ,ܬܰܣܓܶܕ,ܬܶܬܓܣܬܰܕ
imperfect,2FS,ܬܶܣܓܕܺܝܢ,ܬܶܣܬܰܓܕܺܝܢ,ܬܣܰܓܕܺܝܢ,ܬܶܣܬܰܓܕܺܝܢ,ܬܰܣܓܕܺܝܢ,ܬܶܬܓܣܬܕܺܝܢ
imperfect,1CS,ܐܶܣܓܰܕ,ܐܶܣܬܓܶܕ,ܐܶܣܰܓܶܕ,ܐܶܣܬܰܓܰܕ,ܐܰܣܓܶܕ,ܐܶܬܣܰܬܓܰܕ
imperfect,3MP,ܢܶܣܓܕܽܘܢ,ܢܶܣܬܰܓܕܽܘܢ,ܢܣܰܓܕܽܘܢ,ܢܶܣܬܰܓܕܽܘܢ,ܢܰܣܓܕܽܘܢ,ܢܶܬܣܰܬܓܕܽܘܢ
imperfect,3FP,ܢܶܣ̈ܓܕܳܢ,ܢܶܣܬܰܓܕ̈ܳܢ,ܢܣܰܓܕ̈ܳܢ,ܢܶܣܬܰܓܕ̈ܳܢ,ܢܰܣܓܕ̈ܳܢ,ܢܶܬܣܰܬܓܕ̈ܳܢ
imperfect,2MP,ܬܶܣܓܕܽܘܢ,ܬܶܣܬܰܓܕܽܘܢ,ܬܣܰܓܕܽܘܢ,ܬܶܣܬܰܓܕܽܘܢ,ܬܰܣܓܕܽܘܢ,ܬܶܬܓܣܬܕܽܘܢ
imperfect,2FP,ܬܶܣ̈ܓܕܳܢ,ܬܶܣܬܰܓܕ̈ܳܢ,ܬܣܰܓܕ̈ܳܢ,ܬܶܣܬܰܓܕ̈ܳܢ,ܬܰܣܓܕ̈ܳܢ,ܬܶܬܓܣܬܕ̈ܳܢ
imperfect,1CP,ܢܶܣܓܰܕ,ܢܶܣܬܓܶܕ,ܢܣܰܓܶܕ,ܢܶܣܬܰܓܰܕ,ܢܰܣܓܶܕ,ܢܶܬܣܰܬܓܰܕ
imperative,MS,ܣܓܰܕ,ܐܶܣܬܰܓܕ,ܣܰܓܶܕ,ܐܶܣܬܰܓܰܕ,ܐܰܣܓܶܕ,ܐܶܬܣܰܬܓܰܕ
imperative,FS,ܣܓܰܕܝ,ܐܶܣܬܰܓܕܝ,ܣܰܓܶܕܝ,ܐܶܣܬܰܓܰܕܝ,ܐܰܣܓܶܕܝ,ܐܶܬܣܰܬܓܰܕܝ
imperative,MP,ܣܓܰܕܘ,ܐܶܣܬܰܓܕܘ,ܣܰܓܶܕܘ,ܐܶܣܬܰܓܰܕܘ,ܐܰܣܓܶܕܘ,ܐܶܬܣܰܬܓܰܕܘ
imperative,FP,ܣܓܰܕ̈ܝ,ܐܶܣܬܰܓܕ̈ܝ,ܣܰܓܶܕ̈ܝ,ܐܶܣܬܰܓܰܕ̈ܝ,ܐܰܣܓܶܕ̈ܝ,ܐܶܬܣܰܬܓܰܕ̈ܝ
active-participle,MS,ܣܳܓܶܕ,ܡܶܣܬܓܶܕ,ܡܣܰܓܶܕ,ܡܶܣܬܰܓܰܕ,ܡܰܣܓܶܕ,ܡܶܬܣܰܬܓܰܕ
active-participle,FS,ܣܳܓܕܳܐ,ܡܶܣܬܰܓܕܳܐ,ܡܣܰܓܕܳܐ,ܡܶܣܬܰܓܕܳܐ,ܡܰܣܓܕܳܐ,ܡܶܬܣܰܬܓܕܳܐ
active-participle,MP,ܣܳܓܕܺܝܢ,ܡܶܣܬܰܓܕܺܝܢ,ܡܣܰܓܕܺܝܢ,ܡܶܣܬܰܓܕܺܝܢ,ܡܰܣܓܕܺܝܢ,ܡܶܬܣܰܬܓܕܺܝܢ
active-participle,FP,ܣܳܓ̈ܕܳܢ,ܡܶܣܬܰܓ̈ܕܳܢ,ܡܣܰܓ̈ܕܳܢ,ܡܶܣܬܰܓܕ̈ܳܢ,ܡܰܣܓܕ̈ܳܢ,ܡܶܬܣܰܬܓܕ̈ܳܢ
passive-participle,MS,ܣܓܺܝܕ,,ܡܣܰܓܰܕ,,ܡܰܣܓܰܕ,
passive-participle,FS,ܣܓܺܝܕܳܐ,,ܡܣܰܓܕܳܐ,,ܡܰܣܓܕܳܐ,
passive-participle,MP,ܣܓܺܝܕܺܝܢ,,ܡܣܰܓܕܺܝܢ,,ܡܰܣܓܕܺܝܢ,
passive-participle,FP,ܣܓܺܝ̈ܕܳܢ,,ܡܣܰܓ̈ܕܳܢ,,ܡܰܣܓ̈ܕܳܢ,
infinitive,,ܡܶܣܓܰܕ,ܡܶܣܬܓܳܕܽܘ,ܡܣܰܓܳܕܽܘ,ܡܶܣܬܰܓܳܕܽܘ,ܡܰܣܓܳܕܽܘ,ܡܶܬܣܰܬܓܳܕܽܘ
