ܣܟܠ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܣܟܰܠ,´ܶܣܬܟܶܠ,ܣܰܟܶܠ,ܐܶܣܬܰܟܰܠ,ܐܰܣܟܶܠ,ܐܶܬܣܰܬܟܰܠ
perfect,3FS,ܣܶܟܠܰܬ,ܐܶܣܬܰܟܠܰܬ,ܣܰܟܠܰܬ,ܐܶܣܬܰܟܠܰܬ,ܐܰܣܟܠܰܬ,ܐܶܬܣܰܬܟܠܰܬ
perfect,2MS,ܣܟܰܠܬ,ܐܶܣܬܟܶܠܬ,ܣܰܟܶܠܬ,ܐܶܣܬܰܟܰܠܬ,ܐܰܣܟܶܠܬ,ܐܶܬܣܰܬܟܰܠܬ
perfect,2FS,ܣܟܰܠܬܝ,ܐܶܣܬܟܶܠܬܝ,ܣܰܟܶܠܬܝ,ܐܶܣܬܰܟܰܠܬܝ,ܐܰܣܟܶܠܬܝ,ܐܶܬܟܣܬܰܠܬܝ
perfect,1S,ܣܶܟܠܶܬ,ܐܶܣܬܰܟܠܶܬ,ܣܰܟܠܶܬ,ܐܶܣܬܰܟܠܶܬ,ܐܰܣܟܠܶܬ,ܐܶܬܟܣܬܠܶܬ
perfect,3MP,ܣܟܰܠܘ,ܐܶܣܬܟܶܠܘ,ܣܰܟܶܠܘ,ܐܶܣܬܰܟܰܠܘ,ܐܰܣܟܶܠܘ,ܐܶܬܣܰܬܟܰܠܘ
perfect,3FP,ܣܟܰܠ̈ܝ,ܐܶܣܬܟܶܠ̈ܝ,ܣܰܟܶܠ̈ܝ,ܐܶܣܬܰܟܰܠ̈ܝ,ܐܰܣܟܶܠ̈ܝ,ܐܶܬܣܰܬܟܰܠ̈ܝ
perfect,2MP,ܣܟܰܠܬܽܘܢ,ܐܶܣܬܟܶܠܬܽܘܢ,ܣܰܟܶܠܬܽܘܢ,ܐܶܣܬܰܟܰܠܬܽܘܢ,ܐܰܣܟܶܠܬܽܘܢ,ܐܶܬܣܰܬܟܰܠܬܽܘܢ
perfect,2FP,ܣܟܰܠܬ̈ܶܝܢ,ܐܶܣܬܟܶܠ̈ܬܶܝܢ,ܣܰܟܶܠܬ̈ܶܝܢ,ܐܶܣܬܰܟܰܠ̈ܬܶܝܢ,ܐܰܣܟܶܠܬ̈ܶܝܢ,ܐܶܬܣܰܬܟܰܠ̈ܬܶܝܢ
perfect,1P,ܣܟܰܠܢ,ܐܶܣܬܟܶܠܢ,ܣܰܟܶܠܢ,ܐܶܣܬܰܟܰܠܢ,ܐܰܣܟܶܠܢ,ܐܶܬܣܰܬܟܰܠܢ
imperfect,3MS,ܢܶܣܟܽܘܠ,ܢܶܣܬܟܶܠ,ܢܣܰܟܶܠ,ܢܶܣܬܰܟܰܠ,ܢܰܣܟܶܠ,ܢܶܬܣܰܬܟܰܠ
imperfect,3FS,ܬܶܣܟܽܘܠ,ܬܶܣܬܟܶܠ,ܬܣܰܟܶܠ,ܬܶܣܬܰܟܰܠ,ܬܰܣܟܶܠ,ܬܶܬܟܣܬܰܠܝ
imperfect,2MS,ܬܶܣܟܽܘܠ,ܬܶܣܬܟܶܠ,ܬܣܰܟܶܠ,ܬܶܣܬܰܟܰܠ,ܬܰܣܟܶܠ,ܬܶܬܟܣܬܰܠ
imperfect,2FS,ܬܶܣܟܠܺܝܢ,ܬܶܣܬܰܟܠܺܝܢ,ܬܣܰܟܠܺܝܢ,ܬܶܣܬܰܟܠܺܝܢ,ܬܰܣܟܠܺܝܢ,ܬܶܬܟܣܬܠܺܝܢ
imperfect,1S,ܐܶܣܟܽܘܠ,ܐܶܣܬܟܶܠ,ܐܶܣܰܟܶܠ,ܐܶܣܬܰܟܰܠ,ܐܰܣܟܶܠ,ܐܶܬܣܰܬܟܰܠ
imperfect,3MP,ܢܶܣܟܠܽܘܢ,ܢܶܣܬܰܟܠܽܘܢ,ܢܣܰܟܠܽܘܢ,ܢܶܣܬܰܟܠܽܘܢ,ܢܰܣܟܠܽܘܢ,ܢܶܬܣܰܬܟܠܽܘܢ
imperfect,3FP,ܢܶܣ̈ܟܠܳܢ,ܢܶܣܬܰܟܠ̈ܳܢ,ܢܣܰܟܠ̈ܳܢ,ܢܶܣܬܰܟܠ̈ܳܢ,ܢܰܣܟܠ̈ܳܢ,ܢܶܬܣܰܬܟܠ̈ܳܢ
imperfect,2MP,ܬܶܣܟܠܽܘܢ,ܬܶܣܬܰܟܠܽܘܢ,ܬܣܰܟܠܽܘܢ,ܬܶܣܬܰܟܠܽܘܢ,ܬܰܣܟܠܽܘܢ,ܬܶܬܟܣܬܠܽܘܢ
imperfect,2FP,ܬܶܣ̈ܟܠܳܢ,ܬܶܣܬܰܟܠ̈ܳܢ,ܬܣܰܟܠ̈ܳܢ,ܬܶܣܬܰܟܠ̈ܳܢ,ܬܰܣܟܠ̈ܳܢ,ܬܶܬܟܣܬܠ̈ܳܢ
imperfect,1P,ܢܶܣܟܽܘܠ,ܢܶܣܬܟܶܠ,ܢܣܰܟܶܠ,ܢܶܣܬܰܟܰܠ,ܢܰܣܟܶܠ,ܢܶܬܣܰܬܟܰܠ
imperative,MS,ܣܟܽܘܠ,ܐܶܣܬܰܟܠ,ܣܰܟܶܠ,ܐܶܣܬܰܟܰܠ,ܐܰܣܟܶܠ,ܐܶܬܣܰܬܟܰܠ
imperative,FS,ܣܟܽܘܠܝ,ܐܶܣܬܰܟܠܝ,ܣܰܟܶܠܝ,ܐܶܣܬܰܟܰܠܝ,ܐܰܣܟܶܠܝ,ܐܶܬܣܰܬܟܰܠܝ
imperative,MP,ܣܟܽܘܠܘ,ܐܶܣܬܰܟܠܘ,ܣܰܟܶܠܘ,ܐܶܣܬܰܟܰܠܘ,ܐܰܣܟܶܠܘ,ܐܶܬܣܰܬܟܰܠܘ
imperative,FP,ܣܟܽܘܠ̈ܝ,ܐܶܣܬܰܟܠ̈ܝ,ܣܰܟܶܠ̈ܝ,ܐܶܣܬܰܟܰܠ̈ܝ,ܐܰܣܟܶܠ̈ܝ,ܐܶܬܣܰܬܟܰܠ̈ܝ
active-participle,MS,ܣܳܟܶܠ,ܡܶܣܬܟܶܠ,ܡܣܰܟܶܠ,ܡܶܣܬܰܟܰܠ,ܡܰܣܟܶܠ,ܡܶܬܣܰܬܟܰܠ
active-participle,FS,ܣܳܟܠܳܐ,ܡܶܣܬܰܟܠܳܐ,ܡܣܰܟܠܳܐ,ܡܶܣܬܰܟܠܳܐ,ܡܰܣܟܠܳܐ,ܡܶܬܣܰܬܟܠܳܐ
active-participle,MP,ܣܳܟܠܺܝܢ,ܡܶܣܬܰܟܠܺܝܢ,ܡܣܰܟܠܺܝܢ,ܡܶܣܬܰܟܠܺܝܢ,ܡܰܣܟܠܺܝܢ,ܡܶܬܣܰܬܟܠܺܝܢ
