ܣܥܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܣܥܰܪ,ܐܶܣܬܥܰܪ,ܣܰܥܰܪ,ܐܶܣܬܰܥܰܪ,ܐܰܣܥܰܪ,ܐܶܬܣܰܬܥܰܪ
perfect,3FS,ܣܶܥܪܰܬ,ܐܶܣܬܰܥܪܰܬ,ܣܰܥܪܰܬ,ܐܶܣܬܰܥܪܰܬ,ܐܰܣܥܪܰܬ,ܐܶܬܣܰܬܥܪܰܬ
perfect,2MS,ܣܥܰܪܬ,ܐܶܣܬܥܰܪܬ,ܣܰܥܰܪܬ,ܐܶܣܬܰܥܰܪܬ,ܐܰܣܥܰܪܬ,ܐܶܬܣܰܬܥܰܪܬ
perfect,2FS,ܣܥܰܪܬܝ,ܐܶܣܬܥܰܪܬܝ,ܣܰܥܰܪܬܝ,ܐܶܣܬܰܥܰܪܬܝ,ܐܰܣܥܰܪܬܝ,ܐܶܬܥܣܬܰܪܬܝ
perfect,1CS,ܣܶܥܪܶܬ,ܐܶܣܬܰܥܪܶܬ,ܣܰܥܪܶܬ,ܐܶܣܬܰܥܪܶܬ,ܐܰܣܥܪܶܬ,ܐܶܬܥܣܬܪܶܬ
perfect,3MP,ܣܥܰܪܘ,ܐܶܣܬܥܰܪܘ,ܣܰܥܰܪܘ,ܐܶܣܬܰܥܰܪܘ,ܐܰܣܥܰܪܘ,ܐܶܬܣܰܬܥܰܪܘ
perfect,3FP,ܣܥܰܪ̈ܝ,ܐܶܣܬܥܰܪ̈ܝ,ܣܰܥܰܪ̈ܝ,ܐܶܣܬܰܥܰܪ̈ܝ,ܐܰܣܥܰܪ̈ܝ,ܐܶܬܣܰܬܥܰܪ̈ܝ
perfect,2MP,ܣܥܰܪܬܽܘܢ,ܐܶܣܬܥܰܪܬܽܘܢ,ܣܰܥܰܪܬܽܘܢ,ܐܶܣܬܰܥܰܪܬܽܘܢ,ܐܰܣܥܰܪܬܽܘܢ,ܐܶܬܣܰܬܥܰܪܬܽܘܢ
perfect,2FP,ܣܥܰܪܬ̈ܶܝܢ,ܐܶܣܬܥܰܪ̈ܬܶܝܢ,ܣܰܥܰܪܬ̈ܶܝܢ,ܐܶܣܬܰܥܰܪ̈ܬܶܝܢ,ܐܰܣܥܰܪܬ̈ܶܝܢ,ܐܶܬܣܰܬܥܰܪ̈ܬܶܝܢ
perfect,1CP,ܣܥܰܪܢ,ܐܶܣܬܥܰܪܢ,ܣܰܥܰܪܢ,ܐܶܣܬܰܥܰܪܢ,ܐܰܣܥܰܪܢ,ܐܶܬܣܰܬܥܰܪܢ
imperfect,3MS,ܢܶܣܥܽܘܪ,ܢܶܣܬܥܰܪ,ܢܣܰܥܰܪ,ܢܶܣܬܰܥܰܪ,ܢܰܣܥܰܪ,ܢܶܬܣܰܬܥܰܪ
imperfect,3FS,ܬܶܣܥܽܘܪ,ܬܶܣܬܥܰܪ,ܬܣܰܥܰܪ,ܬܶܣܬܰܥܰܪ,ܬܰܣܥܰܪ,ܬܶܬܣܰܬܥܰܪܝ
imperfect,2MS,ܬܶܣܥܽܘܪ,ܬܶܣܬܥܰܪ,ܬܣܰܥܰܪ,ܬܶܣܬܰܥܰܪ,ܬܰܣܥܰܪ,ܬܶܬܣܰܬܥܰܪ
imperfect,2FS,ܬܶܣܥܪܺܝܢ,ܬܶܣܬܰܥܪܺܝܢ,ܬܣܰܥܪܺܝܢ,ܬܶܣܬܰܥܪܺܝܢ,ܬܰܣܥܪܺܝܢ,ܬܶܬܣܰܬܥܪܺܝܢ
imperfect,1CS,ܐܶܣܥܽܘܪ,ܐܶܣܬܥܰܪ,ܐܶܣܰܥܰܪ,ܐܶܣܬܰܥܰܪ,ܐܰܣܥܰܪ,ܐܶܬܣܰܬܥܰܪ
imperfect,3MP,ܢܶܣܥܪܽܘܢ,ܢܶܣܬܰܥܪܽܘܢ,ܢܣܰܥܪܽܘܢ,ܢܶܣܬܰܥܪܽܘܢ,ܢܰܣܥܪܽܘܢ,ܢܶܬܣܰܬܥܪܽܘܢ
imperfect,3FP,ܢܶܣ̈ܥܪܳܢ,ܢܶܣܬܰܥܪ̈ܳܢ,ܢܣܰܥܪ̈ܳܢ,ܢܶܣܬܰܥܪ̈ܳܢ,ܢܰܣܥܪ̈ܳܢ,ܢܶܬܣܰܬܥܪ̈ܳܢ
imperfect,2MP,ܬܶܣܥܪܽܘܢ,ܬܶܣܬܰܥܪܽܘܢ,ܬܣܰܥܪܽܘܢ,ܬܶܣܬܰܥܪܽܘܢ,ܬܰܣܥܪܽܘܢ,ܬܶܬܣܰܬܥܪܽܘܢ
imperfect,2FP,ܬܶܣ̈ܥܪܳܢ,ܬܶܣܬܰܥܪ̈ܳܢ,ܬܣܰܥܪ̈ܳܢ,ܬܶܣܬܰܥܪ̈ܳܢ,ܬܰܣܥܪ̈ܳܢ,ܬܶܬܣܰܬܥܪ̈ܳܢ
imperfect,1CP,ܢܶܣܥܽܘܪ,ܢܶܣܬܥܰܪ,ܢܣܰܥܰܪ,ܢܶܣܬܰܥܰܪ,ܢܰܣܥܰܪ,ܢܶܬܣܰܬܥܰܪ
imperative,MS,ܣܥܽܘܪ,ܐܶܣܬܰܥܪ,ܣܰܥܰܪ,ܐܶܣܬܰܥܰܪ,ܐܰܣܥܰܪ,ܐܶܬܣܰܬܥܰܪ
imperative,FS,ܣܥܽܘܪܝ,ܐܶܣܬܰܥܪܝ,ܣܰܥܰܪܝ,ܐܶܣܬܰܥܰܪܝ,ܐܰܣܥܰܪܝ,ܐܶܬܣܰܬܥܰܪܝ
imperative,MP,ܣܥܽܘܪܘ,ܐܶܣܬܰܥܪܘ,ܣܰܥܰܪܘ,ܐܶܣܬܰܥܰܪܘ,ܐܰܣܥܰܪܘ,ܐܶܬܣܰܬܥܰܪܘ
imperative,FP,ܣܥܽܘܪ̈ܝ,ܐܶܣܬܰܥܪ̈ܝ,ܣܰܥܰܪ̈ܝ,ܐܶܣܬܰܥܰܪ̈ܝ,ܐܰܣܥܰܪ̈ܝ,ܐܶܬܣܰܬܥܰܪ̈ܝ
active-participle,MS,ܣܳܥܰܪ,ܡܶܣܬܥܰܪ,ܡܣܰܥܰܪ,ܡܶܣܬܰܥܰܪ,ܡܰܣܥܰܪ,ܡܶܬܣܰܬܥܰܪ
active-participle,FS,ܣܳܥܪܳܐ,ܡܶܣܬܰܥܪܳܐ,ܡܣܰܥܪܳܐ,ܡܶܣܬܰܥܪܳܐ,ܡܰܣܥܪܳܐ,ܡܶܬܣܰܬܥܪܳܐ
active-participle,MP,ܣܳܥܪܺܝܢ,ܡܶܣܬܰܥܪܺܝܢ,ܡܣܰܥܪܺܝܢ,ܡܶܣܬܰܥܪܺܝܢ,ܡܰܣܥܪܺܝܢ,ܡܶܬܣܰܬܥܪܺܝܢ
