ܣܦܩ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܣܦܰܩ,´ܶܣܬܦܶܩ,ܣܰܦܶܩ,ܐܶܣܬܰܦܰܩ,ܐܰܣܦܶܩ,ܐܶܬܣܰܬܦܰܩ
perfect,3FS,ܣܶܦܩܰܬ,ܐܶܣܬܰܦܩܰܬ,ܣܰܦܩܰܬ,ܐܶܣܬܰܦܩܰܬ,ܐܰܣܦܩܰܬ,ܐܶܬܣܰܬܦܩܰܬ
perfect,2MS,ܣܦܰܩܬ,ܐܶܣܬܦܶܩܬ,ܣܰܦܶܩܬ,ܐܶܣܬܰܦܰܩܬ,ܐܰܣܦܶܩܬ,ܐܶܬܣܰܬܦܰܩܬ
perfect,2FS,ܣܦܰܩܬܝ,ܐܶܣܬܦܶܩܬܝ,ܣܰܦܶܩܬܝ,ܐܶܣܬܰܦܰܩܬܝ,ܐܰܣܦܶܩܬܝ,ܐܶܬܦܣܬܰܩܬܝ
perfect,1CS,ܣܶܦܩܶܬ,ܐܶܣܬܰܦܩܶܬ,ܣܰܦܩܶܬ,ܐܶܣܬܰܦܩܶܬ,ܐܰܣܦܩܶܬ,ܐܶܬܦܣܬܩܶܬ
perfect,3MP,ܣܦܰܩܘ,ܐܶܣܬܦܶܩܘ,ܣܰܦܶܩܘ,ܐܶܣܬܰܦܰܩܘ,ܐܰܣܦܶܩܘ,ܐܶܬܣܰܬܦܰܩܘ
perfect,3FP,ܣܦܰܩ̈ܝ,ܐܶܣܬܦܶܩ̈ܝ,ܣܰܦܶܩ̈ܝ,ܐܶܣܬܰܦܰܩ̈ܝ,ܐܰܣܦܶܩ̈ܝ,ܐܶܬܣܰܬܦܰܩ̈ܝ
perfect,2MP,ܣܦܰܩܬܽܘܢ,ܐܶܣܬܦܶܩܬܽܘܢ,ܣܰܦܶܩܬܽܘܢ,ܐܶܣܬܰܦܰܩܬܽܘܢ,ܐܰܣܦܶܩܬܽܘܢ,ܐܶܬܣܰܬܦܰܩܬܽܘܢ
perfect,2FP,ܣܦܰܩܬ̈ܶܝܢ,ܐܶܣܬܦܶܩ̈ܬܶܝܢ,ܣܰܦܶܩܬ̈ܶܝܢ,ܐܶܣܬܰܦܰܩ̈ܬܶܝܢ,ܐܰܣܦܶܩܬ̈ܶܝܢ,ܐܶܬܣܰܬܦܰܩ̈ܬܶܝܢ
perfect,1CP,ܣܦܰܩܢ,ܐܶܣܬܦܶܩܢ,ܣܰܦܶܩܢ,ܐܶܣܬܰܦܰܩܢ,ܐܰܣܦܶܩܢ,ܐܶܬܣܰܬܦܰܩܢ
imperfect,3MS,ܢܶܣܦܰܩ,ܢܶܣܬܦܶܩ,ܢܣܰܦܶܩ,ܢܶܣܬܰܦܰܩ,ܢܰܣܦܶܩ,ܢܶܬܣܰܬܦܰܩ
imperfect,3FS,ܬܶܣܦܰܩ,ܬܶܣܬܦܶܩ,ܬܣܰܦܶܩ,ܬܶܣܬܰܦܰܩ,ܬܰܣܦܶܩ,ܬܶܬܦܣܬܰܩܝ
imperfect,2MS,ܬܶܣܦܰܩ,ܬܶܣܬܦܶܩ,ܬܣܰܦܶܩ,ܬܶܣܬܰܦܰܩ,ܬܰܣܦܶܩ,ܬܶܬܦܣܬܰܩ
imperfect,2FS,ܬܶܣܦܩܺܝܢ,ܬܶܣܬܰܦܩܺܝܢ,ܬܣܰܦܩܺܝܢ,ܬܶܣܬܰܦܩܺܝܢ,ܬܰܣܦܩܺܝܢ,ܬܶܬܦܣܬܩܺܝܢ
imperfect,1CS,ܐܶܣܦܰܩ,ܐܶܣܬܦܶܩ,ܐܶܣܰܦܶܩ,ܐܶܣܬܰܦܰܩ,ܐܰܣܦܶܩ,ܐܶܬܣܰܬܦܰܩ
imperfect,3MP,ܢܶܣܦܩܽܘܢ,ܢܶܣܬܰܦܩܽܘܢ,ܢܣܰܦܩܽܘܢ,ܢܶܣܬܰܦܩܽܘܢ,ܢܰܣܦܩܽܘܢ,ܢܶܬܣܰܬܦܩܽܘܢ
imperfect,3FP,ܢܶܣ̈ܦܩܳܢ,ܢܶܣܬܰܦܩ̈ܳܢ,ܢܣܰܦܩ̈ܳܢ,ܢܶܣܬܰܦܩ̈ܳܢ,ܢܰܣܦܩ̈ܳܢ,ܢܶܬܣܰܬܦܩ̈ܳܢ
imperfect,2MP,ܬܶܣܦܩܽܘܢ,ܬܶܣܬܰܦܩܽܘܢ,ܬܣܰܦܩܽܘܢ,ܬܶܣܬܰܦܩܽܘܢ,ܬܰܣܦܩܽܘܢ,ܬܶܬܦܣܬܩܽܘܢ
imperfect,2FP,ܬܶܣ̈ܦܩܳܢ,ܬܶܣܬܰܦܩ̈ܳܢ,ܬܣܰܦܩ̈ܳܢ,ܬܶܣܬܰܦܩ̈ܳܢ,ܬܰܣܦܩ̈ܳܢ,ܬܶܬܦܣܬܩ̈ܳܢ
imperfect,1CP,ܢܶܣܦܰܩ,ܢܶܣܬܦܶܩ,ܢܣܰܦܶܩ,ܢܶܣܬܰܦܰܩ,ܢܰܣܦܶܩ,ܢܶܬܣܰܬܦܰܩ
imperative,MS,ܣܦܰܩ,ܐܶܣܬܰܦܩ,ܣܰܦܶܩ,ܐܶܣܬܰܦܰܩ,ܐܰܣܦܶܩ,ܐܶܬܣܰܬܦܰܩ
