ܥܒܕ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܥܒܰܕ,´ܶܬܥܒܶܕ,ܥܰܒܶܕ,ܐܶܬܥܰܒܰܕ,ܐܰܥܒܶܕ,ܐܶܬܬܰܥܒܰܕ
perfect,3FS,ܥܶܒܕܰܬ,ܐܶܬܥܰܒܕܰܬ,ܥܰܒܕܰܬ,ܐܶܬܥܰܒܕܰܬ,ܐܰܥܒܕܰܬ,ܐܶܬܬܰܥܒܕܰܬ
perfect,2MS,ܥܒܰܕܬ,ܐܶܬܥܒܶܕܬ,ܥܰܒܶܕܬ,ܐܶܬܥܰܒܰܕܬ,ܐܰܥܒܶܕܬ,ܐܶܬܬܰܥܒܰܕܬ
perfect,2FS,ܥܒܰܕܬܝ,ܐܶܬܥܒܶܕܬܝ,ܥܰܒܶܕܬܝ,ܐܶܬܥܰܒܰܕܬܝ,ܐܰܥܒܶܕܬܝ,ܐܶܬܰܥܒܰܕܬܝ
perfect,1CS,ܥܶܒܕܶܬ,ܐܶܬܥܰܒܕܶܬ,ܥܰܒܕܶܬ,ܐܶܬܥܰܒܕܶܬ,ܐܰܥܒܕܶܬ,ܐܶܬܰܥܒܕܶܬ
perfect,3MP,ܥܒܰܕܘ,ܐܶܬܥܒܶܕܘ,ܥܰܒܶܕܘ,ܐܶܬܥܰܒܰܕܘ,ܐܰܥܒܶܕܘ,ܐܶܬܬܰܥܒܰܕܘ
perfect,3FP,ܥܒܰܕ̈ܝ,ܐܶܬܥܒܶܕ̈ܝ,ܥܰܒܶܕ̈ܝ,ܐܶܬܥܰܒܰܕ̈ܝ,ܐܰܥܒܶܕ̈ܝ,ܐܶܬܬܰܥܒܰܕ̈ܝ
perfect,2MP,ܥܒܰܕܬܽܘܢ,ܐܶܬܥܒܶܕܬܽܘܢ,ܥܰܒܶܕܬܽܘܢ,ܐܶܬܥܰܒܰܕܬܽܘܢ,ܐܰܥܒܶܕܬܽܘܢ,ܐܶܬܬܰܥܒܰܕܬܽܘܢ
perfect,2FP,ܥܒܰܕܬ̈ܶܝܢ,ܐܶܬܥܒܶܕ̈ܬܶܝܢ,ܥܰܒܶܕܬ̈ܶܝܢ,ܐܶܬܥܰܒܰܕ̈ܬܶܝܢ,ܐܰܥܒܶܕܬ̈ܶܝܢ,ܐܶܬܬܰܥܒܰܕ̈ܬܶܝܢ
