ܥܡܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܥܡܰܪ,ܐܶܬܥܡܰܪ,ܥܰܡܰܪ,ܐܶܬܥܰܡܰܪ,ܐܰܥܡܰܪ,ܐܶܬܬܰܥܡܰܪ
perfect,3FS,ܥܶܡܪܰܬ,ܐܶܬܥܰܡܪܰܬ,ܥܰܡܪܰܬ,ܐܶܬܥܰܡܪܰܬ,ܐܰܥܡܪܰܬ,ܐܶܬܬܰܥܡܪܰܬ
perfect,2MS,ܥܡܰܪܬ,ܐܶܬܥܡܰܪܬ,ܥܰܡܰܪܬ,ܐܶܬܥܰܡܰܪܬ,ܐܰܥܡܰܪܬ,ܐܶܬܬܰܥܡܰܪܬ
perfect,2FS,ܥܡܰܪܬܝ,ܐܶܬܥܡܰܪܬܝ,ܥܰܡܰܪܬܝ,ܐܶܬܥܰܡܰܪܬܝ,ܐܰܥܡܰܪܬܝ,ܐܶܬܰܥܡܰܪܬܝ
perfect,1CS,ܥܶܡܪܶܬ,ܐܶܬܥܰܡܪܶܬ,ܥܰܡܪܶܬ,ܐܶܬܥܰܡܪܶܬ,ܐܰܥܡܪܶܬ,ܐܶܬܰܥܡܪܶܬ
perfect,3MP,ܥܡܰܪܘ,ܐܶܬܥܡܰܪܘ,ܥܰܡܰܪܘ,ܐܶܬܥܰܡܰܪܘ,ܐܰܥܡܰܪܘ,ܐܶܬܬܰܥܡܰܪܘ
perfect,3FP,ܥܡܰܪ̈ܝ,ܐܶܬܥܡܰܪ̈ܝ,ܥܰܡܰܪ̈ܝ,ܐܶܬܥܰܡܰܪ̈ܝ,ܐܰܥܡܰܪ̈ܝ,ܐܶܬܬܰܥܡܰܪ̈ܝ
perfect,2MP,ܥܡܰܪܬܽܘܢ,ܐܶܬܥܡܰܪܬܽܘܢ,ܥܰܡܰܪܬܽܘܢ,ܐܶܬܥܰܡܰܪܬܽܘܢ,ܐܰܥܡܰܪܬܽܘܢ,ܐܶܬܬܰܥܡܰܪܬܽܘܢ
perfect,2FP,ܥܡܰܪܬ̈ܶܝܢ,ܐܶܬܥܡܰܪ̈ܬܶܝܢ,ܥܰܡܰܪܬ̈ܶܝܢ,ܐܶܬܥܰܡܰܪ̈ܬܶܝܢ,ܐܰܥܡܰܪܬ̈ܶܝܢ,ܐܶܬܬܰܥܡܰܪ̈ܬܶܝܢ
perfect,1CP,ܥܡܰܪܢ,ܐܶܬܥܡܰܪܢ,ܥܰܡܰܪܢ,ܐܶܬܥܰܡܰܪܢ,ܐܰܥܡܰܪܢ,ܐܶܬܬܰܥܡܰܪܢ
imperfect,3MS,ܢܶܥܡܽܘܪ,ܢܶܬܥܡܰܪ,ܢܥܰܡܰܪ,ܢܶܬܥܰܡܰܪ,ܢܰܥܡܰܪ,ܢܶܬܬܰܥܡܰܪ
imperfect,3FS,ܬܶܥܡܽܘܪ,ܬܶܬܥܡܰܪ,ܬܥܰܡܰܪ,ܬܶܬܥܰܡܰܪ,ܬܰܥܡܰܪ,ܬܶܬܬܰܥܡܰܪܝ
imperfect,2MS,ܬܶܥܡܽܘܪ,ܬܶܬܥܡܰܪ,ܬܥܰܡܰܪ,ܬܶܬܥܰܡܰܪ,ܬܰܥܡܰܪ,ܬܶܬܬܰܥܡܰܪ
imperfect,2FS,ܬܶܥܡܪܺܝܢ,ܬܶܬܥܰܡܪܺܝܢ,ܬܥܰܡܪܺܝܢ,ܬܶܬܥܰܡܪܺܝܢ,ܬܰܥܡܪܺܝܢ,ܬܶܬܬܰܥܡܪܺܝܢ
imperfect,1CS,ܐܶܥܡܽܘܪ,ܐܶܬܥܡܰܪ,ܐܶܥܰܡܰܪ,ܐܶܬܥܰܡܰܪ,ܐܰܥܡܰܪ,ܐܶܬܬܰܥܡܰܪ
imperfect,3MP,ܢܶܥܡܪܽܘܢ,ܢܶܬܥܰܡܪܽܘܢ,ܢܥܰܡܪܽܘܢ,ܢܶܬܥܰܡܪܽܘܢ,ܢܰܥܡܪܽܘܢ,ܢܶܬܬܰܥܡܪܽܘܢ
imperfect,3FP,ܢܶܥ̈ܡܪܳܢ,ܢܶܬܥܰܡܪ̈ܳܢ,ܢܥܰܡܪ̈ܳܢ,ܢܶܬܥܰܡܪ̈ܳܢ,ܢܰܥܡܪ̈ܳܢ,ܢܶܬܬܰܥܡܪ̈ܳܢ
imperfect,2MP,ܬܶܥܡܪܽܘܢ,ܬܶܬܥܰܡܪܽܘܢ,ܬܥܰܡܪܽܘܢ,ܬܶܬܥܰܡܪܽܘܢ,ܬܰܥܡܪܽܘܢ,ܬܶܬܬܰܥܡܪܽܘܢ
imperfect,2FP,ܬܶܥ̈ܡܪܳܢ,ܬܶܬܥܰܡܪ̈ܳܢ,ܬܥܰܡܪ̈ܳܢ,ܬܶܬܥܰܡܪ̈ܳܢ,ܬܰܥܡܪ̈ܳܢ,ܬܶܬܬܰܥܡܪ̈ܳܢ
imperfect,1CP,ܢܶܥܡܽܘܪ,ܢܶܬܥܡܰܪ,ܢܥܰܡܰܪ,ܢܶܬܥܰܡܰܪ,ܢܰܥܡܰܪ,ܢܶܬܬܰܥܡܰܪ
imperative,MS,ܥܡܽܘܪ,ܐܶܬܥܰܡܪ,ܥܰܡܰܪ,ܐܶܬܥܰܡܰܪ,ܐܰܥܡܰܪ,ܐܶܬܬܰܥܡܰܪ
imperative,FS,ܥܡܽܘܪܝ,ܐܶܬܥܰܡܪܝ,ܥܰܡܰܪܝ,ܐܶܬܥܰܡܰܪܝ,ܐܰܥܡܰܪܝ,ܐܶܬܬܰܥܡܰܪܝ
imperative,MP,ܥܡܽܘܪܘ,ܐܶܬܥܰܡܪܘ,ܥܰܡܰܪܘ,ܐܶܬܥܰܡܰܪܘ,ܐܰܥܡܰܪܘ,ܐܶܬܬܰܥܡܰܪܘ
imperative,FP,ܥܡܽܘܪ̈ܝ,ܐܶܬܥܰܡܪ̈ܝ,ܥܰܡܰܪ̈ܝ,ܐܶܬܥܰܡܰܪ̈ܝ,ܐܰܥܡܰܪ̈ܝ,ܐܶܬܬܰܥܡܰܪ̈ܝ
active-participle,MS,ܥܳܡܰܪ,ܡܶܬܥܡܰܪ,ܡܥܰܡܰܪ,ܡܶܬܥܰܡܰܪ,ܡܰܥܡܰܪ,ܡܶܬܬܰܥܡܰܪ
active-participle,FS,ܥܳܡܪܳܐ,ܡܶܬܥܰܡܪܳܐ,ܡܥܰܡܪܳܐ,ܡܶܬܥܰܡܪܳܐ,ܡܰܥܡܪܳܐ,ܡܶܬܬܰܥܡܪܳܐ
active-participle,MP,ܥܳܡܪܺܝܢ,ܡܶܬܥܰܡܪܺܝܢ,ܡܥܰܡܪܺܝܢ,ܡܶܬܥܰܡܪܺܝܢ,ܡܰܥܡܪܺܝܢ,ܡܶܬܬܰܥܡܪܺܝܢ
active-participle,FP,ܥܳܡ̈ܪܳܢ,ܡܶܬܥܰܡܪ̈ܳܢ,ܡܥܰܡܪ̈ܳܢ,ܡܶܬܥܰܡܪ̈ܳܢ,ܡܰܥܡܪ̈ܳܢ,ܡܶܬܬܰܥܡܪ̈ܳܢ
passive-participle,MS,ܥܡܺܝܪ,,ܡܥܰܡܰܪ,,ܡܰܥܡܰܪ,
passive-participle,FS,ܥܡܺܝܪܳܐ,,ܡܥܰܡܪܳܐ,,ܡܰܥܡܪܳܐ,
passive-participle,MP,ܥܡܺܝܪܺܝܢ,,ܡܥܰܡܪܺܝܢ,,ܡܰܥܡܪܺܝܢ,
passive-participle,FP,ܥܡܺܝ̈ܪܳܢ,,ܡܥܰܡ̈ܪܳܢ,,ܡܰܥܡ̈ܪܳܢ,
infinitive,,ܡܶܥܡܰܪ,ܡܶܬܥܡܳܪܽܘ,ܡܥܰܡܳܪܽܘ,ܡܶܬܥܰܡܳܪܽܘ,ܡܰܥܡܳܪܽܘ,ܡܶܬܬܰܥܡܳܪܽܘ
