ܥܪܩ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܥܪܰܩ,´ܶܬܥܪܶܩ,ܥܰܪܶܩ,ܐܶܬܥܰܪܰܩ,ܐܰܥܪܶܩ,ܐܶܬܬܰܥܪܰܩ
perfect,3FS,ܥܶܪܩܰܬ,ܐܶܬܥܰܪܩܰܬ,ܥܰܪܩܰܬ,ܐܶܬܥܰܪܩܰܬ,ܐܰܥܪܩܰܬ,ܐܶܬܬܰܥܪܩܰܬ
perfect,2MS,ܥܪܰܩܬ,ܐܶܬܥܪܶܩܬ,ܥܰܪܶܩܬ,ܐܶܬܥܰܪܰܩܬ,ܐܰܥܪܶܩܬ,ܐܶܬܬܰܥܪܰܩܬ
perfect,2FS,ܥܪܰܩܬܝ,ܐܶܬܥܪܶܩܬܝ,ܥܰܪܶܩܬܝ,ܐܶܬܥܰܪܰܩܬܝ,ܐܰܥܪܶܩܬܝ,ܐܶܬܰܥܪܰܩܬܝ
perfect,1CS,ܥܶܪܩܶܬ,ܐܶܬܥܰܪܩܶܬ,ܥܰܪܩܶܬ,ܐܶܬܥܰܪܩܶܬ,ܐܰܥܪܩܶܬ,ܐܶܬܰܥܪܩܶܬ
perfect,3MP,ܥܪܰܩܘ,ܐܶܬܥܪܶܩܘ,ܥܰܪܶܩܘ,ܐܶܬܥܰܪܰܩܘ,ܐܰܥܪܶܩܘ,ܐܶܬܬܰܥܪܰܩܘ
perfect,3FP,ܥܪܰܩ̈ܝ,ܐܶܬܥܪܶܩ̈ܝ,ܥܰܪܶܩ̈ܝ,ܐܶܬܥܰܪܰܩ̈ܝ,ܐܰܥܪܶܩ̈ܝ,ܐܶܬܬܰܥܪܰܩ̈ܝ
perfect,2MP,ܥܪܰܩܬܽܘܢ,ܐܶܬܥܪܶܩܬܽܘܢ,ܥܰܪܶܩܬܽܘܢ,ܐܶܬܥܰܪܰܩܬܽܘܢ,ܐܰܥܪܶܩܬܽܘܢ,ܐܶܬܬܰܥܪܰܩܬܽܘܢ
perfect,2FP,ܥܪܰܩܬ̈ܶܝܢ,ܐܶܬܥܪܶܩ̈ܬܶܝܢ,ܥܰܪܶܩܬ̈ܶܝܢ,ܐܶܬܥܰܪܰܩ̈ܬܶܝܢ,ܐܰܥܪܶܩܬ̈ܶܝܢ,ܐܶܬܬܰܥܪܰܩ̈ܬܶܝܢ
perfect,1CP,ܥܪܰܩܢ,ܐܶܬܥܪܶܩܢ,ܥܰܪܶܩܢ,ܐܶܬܥܰܪܰܩܢ,ܐܰܥܪܶܩܢ,ܐܶܬܬܰܥܪܰܩܢ
imperfect,3MS,ܢܶܥܪܽܘܩ,ܢܶܬܥܪܶܩ,ܢܥܰܪܶܩ,ܢܶܬܥܰܪܰܩ,ܢܰܥܪܶܩ,ܢܶܬܬܰܥܪܰܩ
imperfect,3FS,ܬܶܥܪܽܘܩ,ܬܶܬܥܪܶܩ,ܬܥܰܪܶܩ,ܬܶܬܥܰܪܰܩ,ܬܰܥܪܶܩ,ܬܶܬܰܥܪܰܩܝ
imperfect,2MS,ܬܶܥܪܽܘܩ,ܬܶܬܥܪܶܩ,ܬܥܰܪܶܩ,ܬܶܬܥܰܪܰܩ,ܬܰܥܪܶܩ,ܬܶܬܰܥܪܰܩ
imperfect,2FS,ܬܶܥܪܩܺܝܢ,ܬܶܬܥܰܪܩܺܝܢ,ܬܥܰܪܩܺܝܢ,ܬܶܬܥܰܪܩܺܝܢ,ܬܰܥܪܩܺܝܢ,ܬܶܬܰܥܪܩܺܝܢ
imperfect,1CS,ܐܶܥܪܽܘܩ,ܐܶܬܥܪܶܩ,ܐܶܥܰܪܶܩ,ܐܶܬܥܰܪܰܩ,ܐܰܥܪܶܩ,ܐܶܬܬܰܥܪܰܩ
imperfect,3MP,ܢܶܥܪܩܽܘܢ,ܢܶܬܥܰܪܩܽܘܢ,ܢܥܰܪܩܽܘܢ,ܢܶܬܥܰܪܩܽܘܢ,ܢܰܥܪܩܽܘܢ,ܢܶܬܬܰܥܪܩܽܘܢ
imperfect,3FP,ܢܶܥ̈ܪܩܳܢ,ܢܶܬܥܰܪܩ̈ܳܢ,ܢܥܰܪܩ̈ܳܢ,ܢܶܬܥܰܪܩ̈ܳܢ,ܢܰܥܪܩ̈ܳܢ,ܢܶܬܬܰܥܪܩ̈ܳܢ
imperfect,2MP,ܬܶܥܪܩܽܘܢ,ܬܶܬܥܰܪܩܽܘܢ,ܬܥܰܪܩܽܘܢ,ܬܶܬܥܰܪܩܽܘܢ,ܬܰܥܪܩܽܘܢ,ܬܶܬܰܥܪܩܽܘܢ
imperfect,2FP,ܬܶܥ̈ܪܩܳܢ,ܬܶܬܥܰܪܩ̈ܳܢ,ܬܥܰܪܩ̈ܳܢ,ܬܶܬܥܰܪܩ̈ܳܢ,ܬܰܥܪܩ̈ܳܢ,ܬܶܬܰܥܪܩ̈ܳܢ
imperfect,1CP,ܢܶܥܪܽܘܩ,ܢܶܬܥܪܶܩ,ܢܥܰܪܶܩ,ܢܶܬܥܰܪܰܩ,ܢܰܥܪܶܩ,ܢܶܬܬܰܥܪܰܩ
imperative,MS,ܥܪܽܘܩ,ܐܶܬܥܰܪܩ,ܥܰܪܶܩ,ܐܶܬܥܰܪܰܩ,ܐܰܥܪܶܩ,ܐܶܬܬܰܥܪܰܩ
imperative,FS,ܥܪܽܘܩܝ,ܐܶܬܥܰܪܩܝ,ܥܰܪܶܩܝ,ܐܶܬܥܰܪܰܩܝ,ܐܰܥܪܶܩܝ,ܐܶܬܬܰܥܪܰܩܝ
